candidate,condition,out_v,gain,bandwidth_hz,current_a,power_w,numerical_usable,terminal_supported,all_assessed_pass
AL37W,supply_097,0.44060216858976886,-6.01574350445139,1700546.0784149945,3.559603757941388e-05,3.4527965518900166e-05,True,True,False
AL37W,hot_85,0.5050402013522863,-5.253912561205997,1696871.514020039,3.5410251551499996e-05,3.540997432001364e-05,True,True,False
AL37W,cload_2p,0.5000000000071417,-5.999993876205422,856251.1847997488,3.7500000000255604e-05,3.749979901638584e-05,True,True,False
AL37W,rload_80k,0.4058738586497189,-4.876806086107398,2096751.3306628524,3.755426858533022e-05,3.755406613286805e-05,True,True,False
AR37,supply_097,0.4392675574496727,-6.025426705892791,1739658.5140568465,3.5611741181007216e-05,3.4543183548583163e-05,True,True,False
AR37,hot_85,0.5013626610769766,-5.359562611958256,1735673.6629914057,3.545470014050943e-05,3.545439784010655e-05,True,True,False
AR37,cload_2p,0.4999999999737336,-5.999994163856758,877172.4914701658,3.7500000000402256e-05,3.7499783925375834e-05,True,True,False
AR37,rload_80k,0.4076318823404657,-4.905142722569899,2136023.7518283213,3.75761416513563e-05,3.7575923862468297e-05,True,True,False
AI37,supply_097,0.4399847229004813,-6.0251078935842965,1735053.6828922806,3.5611640459063125e-05,3.454301783968094e-05,True,True,False
AI37,hot_85,0.5048571759818468,-5.31631047719234,1731335.097725964,3.5466852397883874e-05,3.5466446901177884e-05,True,True,False
AI37,cload_2p,0.5000000000146831,-5.99999413501658,874972.6623567403,3.750000000050889e-05,3.749971218749087e-05,True,True,False
AI37,rload_80k,0.407460422927847,-4.903002510028424,2131147.3096020687,3.7575139388187657e-05,3.7574849549226685e-05,True,True,False
AB37,supply_097,0.43977721228650296,-6.023249160631687,1727604.537976771,3.560771537573883e-05,3.4539245471160775e-05,True,True,False
AB37,hot_85,0.5033240237529646,-5.3224065014124955,1724006.0589353503,3.544759645331147e-05,3.54472443639707e-05,True,True,False
AB37,cload_2p,0.5000000000060179,-5.999994079532702,870881.8570609156,3.750000000026463e-05,3.7499749046165346e-05,True,True,False
AB37,rload_80k,0.40711049104247504,-4.897500984377243,2123711.0007584332,3.7570329047099526e-05,3.7570076243673926e-05,True,True,False
