candidate,trial,out_v,gain,bandwidth_hz,current_a,power_w,area_um2,terminal_supported,final_status
AB37,trial-000,0.52337840440109,-5.911493909982207,1740798.6032827217,3.743355913186538e-05,3.743332404382098e-05,3.403847987709275,True,
AB37,trial-001,0.5230844312591436,-5.912956356882084,1740754.8504238187,3.743380052205303e-05,3.743356532661805e-05,3.4055722196969844,True,
AB37,trial-002,0.5237425094931984,-5.906862423455621,1740829.998282662,3.7433259988692364e-05,3.743302505624368e-05,3.403847987709275,True,
AB37,trial-003,0.5223942025894965,-5.912279859051322,1740546.5668396608,3.740174056566466e-05,3.740150543646933e-05,3.403847987709275,True,
AB37,trial-004,0.5236806060623418,-5.910289050120755,1740726.987261103,3.7432735922991874e-05,3.743250050365164e-05,3.4089331313129847,True,
AB37,trial-005,0.5040167188992012,-6.022009596470891,1735363.749269427,3.735835122139984e-05,3.735809881281869e-05,3.6611756602821863,True,
AB37,trial-006,0.5037182168964363,-6.023443962330179,1735326.4270139239,3.7358586250910736e-05,3.735833373149644e-05,3.663075943056826,True,
AB37,trial-007,0.5043943062965839,-6.01729118978843,1735386.854660914,3.7358053764898855e-05,3.7357801521613764e-05,3.6611756602821863,True,
AB37,trial-008,0.5030309412989504,-6.022705715933741,1735142.4996502076,3.7326564922323576e-05,3.7326312479616755e-05,3.6611756602821863,True,
AB37,trial-009,0.504322592162423,-6.020824576503826,1735290.5900874739,3.7357541250349446e-05,3.735728848266039e-05,3.6665994897209973,True,
AB37,trial-010,0.5013527331335528,-6.008611905619836,1735402.6067066798,3.745214793224804e-05,3.745189564003308e-05,3.699515457889067,True,
AB37,trial-011,0.501055823698425,-6.01000774552369,1735365.6974702612,3.7452382147711946e-05,3.74521297459254e-05,3.701466788894081,True,
AB37,trial-012,0.5017371587090923,-6.003871859449939,1735425.5862499145,3.745184452140363e-05,3.7451592395564655e-05,3.699515457889067,True,
AB37,trial-013,0.5003646897514905,-6.009300629704074,1735183.100118626,3.742028792837833e-05,3.7420035602461264e-05,3.699515457889067,True,
AB37,trial-014,0.5016568039107044,-6.00746869565878,1735328.1605963423,3.7451333386575634e-05,3.745108073553843e-05,3.7049649059842844,True,
AB37,trial-015,0.5000805003950486,-6.000213359387321,1735703.897168407,3.7498076906100424e-05,3.749782590092658e-05,3.699935274312233,True,
AB37,trial-016,0.49978445688705336,-6.00159017712072,1735667.156327706,3.749831108798125e-05,3.749805997435333e-05,3.701902107415149,True,
AB37,trial-017,0.5004682346684903,-5.995464151230225,1735726.8602085125,3.7497770034096e-05,3.749751919492359e-05,3.699935274312233,True,
AB37,trial-018,0.49909148791355523,-6.000899335854997,1735484.8706867914,3.746618183547369e-05,3.7465930796864106e-05,3.699935274312233,True,
AB37,trial-019,0.5003836186876292,-5.99909200517463,1735628.4107110847,3.7497258031248424e-05,3.749700666941441e-05,3.7053700448601137,True,
AB37,trial-020,0.5000002338934691,-6.000000554019816,1735715.016549607,3.7499995050240624e-05,3.749974409598719e-05,3.700000107125262,True,
AB37,trial-021,0.4997042211402109,-6.001376535991441,1735678.2899282256,3.750022923090023e-05,3.749997816824488e-05,3.701967685957299,True,
AB37,trial-022,0.5003881272455344,-5.995250847320117,1735737.9689137228,3.749968802312625e-05,3.7499437234822886e-05,3.700000107125262,True,
AB37,trial-023,0.4990111793188395,-6.000686320096708,1735496.0416230885,3.74680984996491e-05,3.746784751197054e-05,3.700000107125262,True,
AB37,trial-024,0.5003033169795996,-5.998880167915321,1735639.4771807422,3.749917596917466e-05,3.749892465837755e-05,3.705434260928751,True,
AB37,trial-025,0.49999999998921846,-5.999999998717796,1735715.0489429268,3.750000000391136e-05,3.749974904986085e-05,3.700000001001658,True,
AB37,trial-026,0.4997039873107237,-6.001375978388877,1735678.3223630842,3.7500234184467123e-05,3.7499983121906734e-05,3.7019675817310356,True,
AB37,trial-027,0.5003878937697019,-5.995250290659838,1735738.001269645,3.7499692976014e-05,3.7499442187940426e-05,3.700000001001658,True,
AB37,trial-028,0.4990109453231005,-6.000685764156602,1735496.0741764563,3.7468103449889796e-05,3.746785246246939e-05,3.700000001001658,True,
AB37,trial-029,0.500303082994986,-5.998879615278821,1735639.5094229763,3.7499180922872375e-05,3.749892961218009e-05,3.705434152693556,True,
AB37,trial-030,0.5000000000060179,-5.999999999994434,1735715.048930116,3.750000000026463e-05,3.7499749046165346e-05,3.6999999999996867,True,
AB37,trial-031,0.49970398733692034,-6.001375979665098,1735678.3223503567,3.750023418100627e-05,3.749998311847996e-05,3.701967580727434,True,
AB37,trial-032,0.5003878937889342,-5.995250291938089,1735738.0012552675,3.7499692972372425e-05,3.749944218430526e-05,3.6999999999996867,True,
AB37,trial-033,0.49901094533747453,-6.000685765436459,1735496.0741621363,3.7468103446125e-05,3.746785245868342e-05,3.6999999999996867,True,
AB37,trial-034,0.5003030830028449,-5.998879616564715,1735639.5094075792,3.7499180918814206e-05,3.749892960815541e-05,3.705434151691211,True,
AB37,final,0.5000000000060179,-5.999999999994434,1735715.048930116,3.750000000026463e-05,3.7499749046165346e-05,3.6999999999996867,True,NOMINAL_DESIGN_FOUND
AI37,trial-000,0.5306378473744029,-5.856189600758942,1749694.345777146,3.747364984112045e-05,3.7473408668416644e-05,3.1961622097038918,True,
AI37,trial-001,0.530346277342802,-5.857667245830002,1749645.9026167165,3.747390597802417e-05,3.747366469452148e-05,3.1979183719135955,True,
AI37,trial-002,0.530995408017328,-5.851597131362733,1749731.2847599355,3.7473335556554695e-05,3.747309454444632e-05,3.1961622097038918,True,
AI37,trial-003,0.529657667199126,-5.857041995502058,1749418.4430658866,3.744184109812424e-05,3.7441599880454246e-05,3.1961622097038918,True,
AI37,trial-004,0.5309546944725092,-5.854640223283158,1749728.7142597144,3.747337222601554e-05,3.747313071369375e-05,3.1979183719135955,True,
AI37,trial-005,0.5040268205370957,-6.002365727572527,1744531.7492029849,3.7410105191599974e-05,3.7409826129866726e-05,3.5644415988514866,True,
AI37,trial-006,0.5037295185738804,-6.0037997438704975,1744491.4893954576,3.7410357702853e-05,3.741007852060949e-05,3.566566040450338,True,
AI37,trial-007,0.5044035962180389,-5.997649200520265,1744558.2033163137,3.740978500506748e-05,3.7409506127389796e-05,3.5644415988514866,True,
AI37,trial-008,0.5030447790264767,-6.003105657798674,1744295.3519041983,3.737832122829701e-05,3.73780421300846e-05,3.5644415988514866,True,
AI37,trial-009,0.5043483240325803,-6.000867810344818,1744556.5378527227,3.740983299695419e-05,3.740955353515961e-05,3.566566040450338,True,
AI37,trial-010,0.5004382521575428,-5.999358036478244,1743852.2070253263,3.7495514727347936e-05,3.74952282232874e-05,3.684196392471548,True,
AI37,trial-011,0.5001420266287295,-6.000756158721528,1743812.5440865774,3.749576586683091e-05,3.749547924125131e-05,3.68644058886402,True,
AI37,trial-012,0.5008221652796017,-5.994614207323847,1743878.2105374984,3.7495189067929816e-05,3.749490275420389e-05,3.684196392471548,True,
