candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,bandwidth_hz,current_a,dc_ac_current_pass,sine_assessed,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A37,0,nominal,DEVELOPMENT,True,True,0.5092519694939991,0.00925196949399909,-6.030658318659487,1751274.9085486284,3.7778369306532935e-05,True,True,True,0.5105663759203658,ace1e9c33f9b54ca0edb3e41d5b09b1681f4b8eaad3696c06656fefc054d09d1,20aa1c7344e8012a315504ee69fbf1a98d7af34f7e4ea171fd9f982111a523e8
A37,0,supply_097,DEVELOPMENT,True,True,0.44849700524496655,-0.05150299475503345,-6.0576786308625215,1741999.588689183,3.5881636410207645e-05,False,False,,0.45062042521285733,ace1e9c33f9b54ca0edb3e41d5b09b1681f4b8eaad3696c06656fefc054d09d1,e0fa0e3869865bee88c88712dd61fa0345a74deb0be678267154ec3166e18bfc
A37,1,nominal,DEVELOPMENT,True,True,0.5662180970104541,0.06621809701045411,-5.995126104414061,1769805.785124772,3.8192346901767826e-05,False,True,False,0.5651058836719315,955b261ea09e9f6bf6ded3e9b5cd1f2c8259d4109a6655c41359d13236f84249,e9faeef6660d1496b836a0c554e1fbfb4b8014aa4a6ae863ab9a41c01f46a42e
A37,1,supply_097,DEVELOPMENT,True,True,0.503844095888252,0.003844095888251964,-6.037553044294913,1755927.8116706184,3.6280062421593785e-05,True,False,,0.505159932964423,955b261ea09e9f6bf6ded3e9b5cd1f2c8259d4109a6655c41359d13236f84249,902aba078152d1717a13d00a3cc2973dbf209124592bcdac7c3d6cdc91f01aec
A37,2,nominal,DEVELOPMENT,True,True,0.5177621499571259,0.017762149957125883,-5.870144655971256,1746590.6590782509,3.731562192350844e-05,True,False,,0.5195682455570807,c53f9348afd2e39b321a0c5bf41fddffbd556288763569104459778a4b474ec2,1501b9f728f59d4221823c31543d82cb5b7c0d5f80d10b014eb9aa02f3f528fa
A37,2,supply_097,DEVELOPMENT,True,True,0.4583580670191326,-0.04164193298086738,-5.896602304421039,1737287.1023754356,3.543339436100595e-05,False,False,,0.45962229484957223,c53f9348afd2e39b321a0c5bf41fddffbd556288763569104459778a4b474ec2,489d20b4a4113bc484582c792042a49ece4e6485db0df4e5598f38c71949bad0
A37,3,nominal,DEVELOPMENT,True,True,0.5101378158880037,0.010137815888003665,-5.985972265090499,1749684.3076184497,3.7544994850864644e-05,True,False,,0.512534402825032,8a17d0080a9e4573a0a9a090989c26cdf15ab5f3f7fdc975feda992fc04fc1ad,31de357d102f17205918b265b5f03e3f1fee0328c1f8ac85144f009cb1bb02ff
A37,3,supply_097,DEVELOPMENT,True,True,0.44949647015274885,-0.05050352984725115,-6.012686531663949,1740436.818685535,3.564994105991128e-05,False,False,,0.4525884521175236,8a17d0080a9e4573a0a9a090989c26cdf15ab5f3f7fdc975feda992fc04fc1ad,e862a1c286a885d1d69134d75e26c8a7d46bc21ee9b769b5a8fdb7b3e9b72906
A37,4,nominal,DEVELOPMENT,True,True,0.5032397271916212,0.0032397271916212445,-5.968857845047408,1746880.1114770637,3.7530444950309495e-05,True,False,,0.5042317589871828,4f197c1d34c96c33f92cc983e91e8ef3b746f22fcf772255f87097d76eb7ecf9,f8e0094142c5c49f1378936258f0a2e39c05b15d656f408c89dcb81e4c9c54fd
A37,4,supply_097,DEVELOPMENT,True,True,0.44330363090786107,-0.05669636909213893,-5.993706193496795,1738161.903454443,3.564195687419242e-05,False,False,,0.4442858082796743,4f197c1d34c96c33f92cc983e91e8ef3b746f22fcf772255f87097d76eb7ecf9,2c0cb048702ad634fd5d64ab890592ba6e2023f74f65327450d820eab696346b
A37,5,nominal,DEVELOPMENT,True,True,0.3962836081015606,-0.1037163918984394,-6.116340273002916,1732026.3003749978,3.6430316777497234e-05,False,False,,0.39520415961805966,c73b8ada384f6203ee214f0a377558dc4d4ac84322a049a8b8cc068e12d1d8a7,9f390bf4a5d062b11ee1f5d8574ab3475392c565ac9f9591c652aa7e180dffab
A37,5,supply_097,DEVELOPMENT,True,True,0.3383102556320887,-0.16168974436791128,-6.11809055750669,1729611.5647744904,3.456115705903418e-05,False,False,,0.3352582089105512,c73b8ada384f6203ee214f0a377558dc4d4ac84322a049a8b8cc068e12d1d8a7,bd776812d3c1fc27c826fa7bee29b27d4bf307dc2425334963785c16d5e190d0
A37,6,nominal,DEVELOPMENT,True,True,0.5219608665433976,0.021960866543397572,-5.8995551554462,1749059.04021993,3.754333130101306e-05,True,False,,0.5234255989378891,45d742fa6e381364db422ae8b5401b5b53ac48c74d261ac91830fc687e99913f,61b40e05f43179d60ed27f02f647abf05693483bf374ec040ca4c73d43485b75
A37,6,supply_097,DEVELOPMENT,True,True,0.4625975081280699,-0.03740249187193012,-5.927072812769552,1739490.2809216916,3.565999817032273e-05,False,False,,0.4634796482303806,45d742fa6e381364db422ae8b5401b5b53ac48c74d261ac91830fc687e99913f,50f049e6fb62f5cd532eab9ee4a7872ff0c66b69cad97d0a114c5625d6752b37
A37,7,nominal,DEVELOPMENT,True,True,0.6074365385227504,0.10743653852275037,-5.870380059198339,1785453.271523891,3.852278151833989e-05,False,False,,0.6064777007491483,6b383458c012b46c873460450fb39594b273b09c981a1ad5160d6d27785d0348,e7b0cb3bd20de6a926964ccf26ef31af4c1ce079a0d44d37b942563ef5ff19ef
A37,7,supply_097,DEVELOPMENT,True,True,0.5450437272697779,0.0450437272697779,-5.92777667624137,1766769.9413949242,3.661037413645522e-05,False,False,,0.5465317500416398,6b383458c012b46c873460450fb39594b273b09c981a1ad5160d6d27785d0348,57d40a9ce80e2b57cf8c8a7a1954ae020897ef1223ff497901c86309465fa309
