candidate,frequency_hz,output_psd_v2_per_hz,input_psd_v2_per_hz
A37,1000.0,3.5027610423860005e-12,9.729888593319225e-14
A37,1014.4952080687361,3.453238573149819e-12,9.592326316983493e-14
A37,1029.2005271944283,3.404423685372739e-12,9.456729541424277e-14
A37,1044.1190029805646,3.3563062690534383e-12,9.323070188731465e-14
A37,1059.2537251772892,3.3088763586431814e-12,9.191320571376843e-14
A37,1074.6078283213178,3.2621241309818735e-12,9.061453408390665e-14
A37,1090.1844923851281,3.2160399032635785e-12,8.933441797479473e-14
A37,1105.98694343556,3.170614131031139e-12,8.807259232012301e-14
A37,1122.018454301964,3.125837406199429e-12,8.682879572642349e-14
A37,1138.2823452540329,3.081700455106847e-12,8.560277065117412e-14
A37,1154.781984689459,3.0381941365946694e-12,8.439426311381255e-14
A37,1171.520789831561,2.9953094401138255e-12,8.320302288223775e-14
A37,1188.5022274370194,2.9530374838587322e-12,8.202880317837372e-14
A37,1205.7298145138755,2.9113695129277974e-12,8.087136087323024e-14
A37,1223.2071190499328,2.8702968975102003e-12,7.973045618676558e-14
A37,1240.9377607517208,2.829811131098575e-12,7.860585289167488e-14
A37,1258.9254117941684,2.789903828727239e-12,7.749731800729593e-14
A37,1277.1737975811443,2.7505667252355924e-12,7.640462201230211e-14
A37,1295.686697517021,2.7117916735563278e-12,7.532753853238916e-14
A37,1314.4679457894238,2.673570643028094e-12,7.426584456205722e-14
A37,1333.5214321633257,2.6358957177322914e-12,7.321932014581148e-14
A37,1352.851102786652,2.598759094853592e-12,7.21877486092258e-14
A37,1372.4609610075638,2.562153083063914e-12,7.117091623338377e-14
A37,1392.3550682035861,2.526070100929488e-12,7.016861249542549e-14
A37,1412.5375446227565,2.4905026753406577e-12,6.918062973594905e-14
A37,1433.012570236965,2.4554434399641454e-12,6.820676340924935e-14
A37,1453.7843856076643,2.420885133717409e-12,6.724681174339498e-14
A37,1474.8572927641271,2.386820599264813e-12,6.630057600037659e-14
A37,1496.235656094436,2.3532427815352706e-12,6.536786012856668e-14
A37,1517.923903249387,2.320144726261085e-12,6.444847103300445e-14
A37,1539.926526059495,2.2875195785376512e-12,6.354221821993872e-14
A37,1562.2480814652934,2.2553605814037436e-12,6.264891407748479e-14
A37,1584.8931924611168,2.2236610744420962e-12,6.176837351194496e-14
A37,1607.866549052564,2.192414492399958e-12,6.090041423908189e-14
A37,1631.1729092278417,2.1616143638293784e-12,6.004485641190131e-14
A37,1654.817099943185,2.13125430974691e-12,5.920152292279772e-14
A37,1678.804018122564,2.1013280423124548e-12,5.837023902247757e-14
A37,1703.1386316718808,2.071829363527014e-12,5.755083263324135e-14
A37,1727.8259805078674,2.042752163949013e-12,5.67431339587165e-14
A37,1752.871177601897,2.014090421428978e-12,5.5946975808549926e-14
A37,1778.2794100389272,1.985838199862305e-12,5.5162193198613496e-14
A37,1804.0559400917907,1.957989647959834e-12,5.438862368739151e-14
A37,1830.2061063110607,1.9305389980359887e-12,5.3626106966309955e-14
A37,1856.735324630711,1.9034805648142444e-12,5.2874485208115164e-14
A37,1883.6490894898054,1.876808744249653e-12,5.2133602646970914e-14
A37,1910.9529749704457,1.8505180123681953e-12,5.140330593913369e-14
A37,1938.6526359522127,1.8246029241227126e-12,5.0683443732451535e-14
A37,1966.7538092833438,1.7990581122651848e-12,4.997386703965383e-14
A37,1995.2623149688852,1.7738782862351408e-12,4.927442879687588e-14
A37,2024.1840573760674,1.7490582310639139e-12,4.85849842498922e-14
A37,2053.525026457152,1.72459280629459e-12,4.790539050128085e-14
A37,2083.291298990005,1.7004769449173654e-12,4.723550690994134e-14
A37,2113.489039836653,1.676705652320123e-12,4.657519462650126e-14
A37,2144.1245032200786,1.653274005254005e-12,4.5924317006472516e-14
A37,2175.2040340195294,1.6301771508137626e-12,4.5282739133492806e-14
A37,2206.7340690845967,1.6074103054326713e-12,4.465032824648541e-14
A37,2238.7211385683468,1.5849687538918159e-12,4.402695325031643e-14
A37,2271.171867279773,1.5628478483435205e-12,4.341248515733721e-14
A37,2304.0929760558533,1.5410430073487436e-12,4.2806796585026213e-14
A37,2337.4912831534966,1.5195497149282107e-12,4.2209762212306226e-14
A37,2371.3737056616637,1.4983635196271226e-12,4.162125826372717e-14
A37,2405.7472609339593,1.477480033593211e-12,4.104116298096462e-14
A37,2440.619068041989,1.4568949316679793e-12,4.046935609308728e-14
A37,2475.9963492497827,1.4366039504909186e-12,3.9905719303656775e-14
A37,2511.8864315095893,1.4166028876165288e-12,3.9350135746610965e-14
A37,2548.296747979356,1.396887600643953e-12,3.8802490489399905e-14
A37,2585.2348395622007,1.3774540063590473e-12,3.82626699740009e-14
A37,2622.7083564682007,1.3582980798887098e-12,3.77305625365415e-14
A37,2660.7250597988204,1.3394158538672921e-12,3.720605783294952e-14
A37,2699.2928231543046,1.320803417614922e-12,3.668904737552806e-14
A37,2738.4196342643727,1.3024569163275625e-12,3.6179423942728256e-14
A37,2778.1135966425472,1.2843725502786486e-12,3.567708213315857e-14
A37,2818.382931264466,1.2665465740321298e-12,3.518191775895288e-14
A37,2859.235978270519,1.248975295666751e-12,3.469382841771236e-14
A37,2900.6811986931666,1.2316550760114238e-12,3.421271286892562e-14
A37,2942.727176209295,1.214582327891522e-12,3.373847162435933e-14
A37,2985.382618917973,1.1977535153859387e-12,3.327100630697004e-14
A37,3028.6563611439774,1.1811651530947706e-12,3.281022026027714e-14
A37,3072.5573652674607,1.164813805417452e-12,3.2356017889190316e-14
A37,3117.0947235801405,1.1486960858412138e-12,3.190830528891608e-14
A37,3162.277660168394,1.132808656239705e-12,3.146698956710616e-14
A37,3208.115532823651,1.117148226181632e-12,3.103197949286887e-14
A37,3254.617834980474,1.101711552249283e-12,3.060318479962548e-14
A37,3301.7941976827356,1.0864954373667795e-12,3.0180516854816826e-14
A37,3349.6543915782927,1.0714967301379368e-12,2.976388794283569e-14
A37,3398.208328942576,1.0567123241935786e-12,2.9353211956039645e-14
A37,3447.4660657315108,1.0421391575481757e-12,2.89484036571078e-14
A37,3497.437803664196,1.0277742119656827e-12,2.854937939199143e-14
A37,3548.133892335772,1.0136145123344273e-12,2.8156056331022795e-14
A37,3599.564831360914,9.996571260509412e-13,2.776835320445719e-14
A37,3651.7412725483955,9.858991624125872e-13,2.7386189521641098e-14
A37,3704.674022107176,9.723377720188643e-13,2.7009486329820776e-14
A37,3758.3740428844612,9.58970146181273e-13,2.6638165410654323e-14
A37,3812.8524566362084,9.457935163416057e-13,2.627215006298642e-14
A37,3868.1205463305423,9.328051534985509e-13,2.591136427596594e-14
A37,3924.189758484557,9.200023676424917e-13,2.5555733536509832e-14
A37,3981.071705534994,9.073825071983752e-13,2.520518397826466e-14
A37,4038.7781682432824,8.949429584765501e-13,2.4859643214507526e-14
A37,4097.321098135438,8.826811451314389e-13,2.4519039462165062e-14
A37,4156.712619977334,8.70594527627952e-13,2.418330240092501e-14
A37,4216.965034285847,8.586806027155315e-13,2.3852362271501256e-14
A37,4278.0908198764055,8.46936902909693e-13,2.3526150761756226e-14
A37,4340.102636447464,8.353609959809892e-13,2.3204600078373366e-14
A37,4403.01332720244,8.239504844512697e-13,2.2887643860818783e-14
A37,4466.835921509658,8.127030050971374e-13,2.257521622555538e-14
A37,4531.583637600846,8.016162284605012e-13,2.226725270870016e-14
A37,4597.26988530875,7.906878583661215e-13,2.1963689281886088e-14
A37,4663.908268844436,7.799156314460455e-13,2.1664463324501178e-14
A37,4731.512589614835,7.692973166708426e-13,2.1369512610274415e-14
A37,4800.0968490811465,7.58830714887533e-13,2.107877631001372e-14
A37,4869.675251658663,7.485136583641197e-13,2.0792193947961432e-14
A37,4940.26220765863,7.383440103406271e-13,2.050970643598003e-14
A37,5011.872336272756,7.283196645865538e-13,2.023125499869099e-14
A37,5084.520468600972,7.184385449646554e-13,1.9956782240090327e-14
A37,5158.2216507230905,7.086986050009431e-13,1.968623103645147e-14
A37,5232.991146814981,6.990978274608444e-13,1.941954563638658e-14
A37,5308.844442309919,6.896342239314077e-13,1.9156670520460178e-14
A37,5385.797247105755,6.803058344094795e-13,1.8897551535747865e-14
A37,5463.865498818579,6.711107268957651e-13,1.864213472107137e-14
A37,5543.065366083543,6.620469969946898e-13,1.8390367477143482e-14
A37,5623.413251903529,6.531127675199772e-13,1.8142197356298098e-14
A37,5704.92579704636,6.443061881058575e-13,1.7897573269348225e-14
A37,5787.619883491247,6.356254348238417e-13,1.765644423864651e-14
A37,5871.512637925207,6.270687098049549e-13,1.741876064282284e-14
A37,5956.621435290147,6.186342408673857e-13,1.718447293197047e-14
A37,6042.963902381372,6.103202811494364e-13,1.6953532911471364e-14
A37,6130.557921498252,6.021251087477302e-13,1.6725892418061548e-14
A37,6219.421634147808,5.940470263605859e-13,1.650150464399509e-14
A37,6309.573444801979,5.860843609364781e-13,1.6280322772699007e-14
A37,6401.032024709357,5.782354633275321e-13,1.606230134457107e-14
A37,6493.816315762163,5.704987079479614e-13,1.584739485089037e-14
A37,6587.945534419289,5.628724924373865e-13,1.5635559142590113e-14
A37,6683.439175686198,5.553552373289664e-13,1.5426749981042813e-14
A37,6780.317017152512,5.479453857222685e-13,1.5220924491197815e-14
A37,6878.59912308813,5.406414029608092e-13,1.5018039667811356e-14
A37,6978.3058485987185,5.334417763142114e-13,1.481805387438843e-14
A37,7079.4578438414355,5.263450146648899e-13,1.4620925303377788e-14
A37,7182.076058301764,5.193496481992235e-13,1.4426613522409205e-14
