candidate,vector,value
A37,@m.xn0.mapm045_vtg_core[gds],2.296811116221575e-07
A37,@m.xn0.mapm045_vtg_core[gm],7.611041102368395e-05
A37,@m.xn0.mapm045_vtg_core[gmbs],1.6904574747071306e-05
A37,@m.xn0.mapm045_vtg_core[vdsat],0.06307795997732757
A37,@m.xn0.mapm045_vtg_core[vth],0.42144922437696286
A37,@m.xn1.mapm045_vtg_core[gds],2.296811116221575e-07
A37,@m.xn1.mapm045_vtg_core[gm],7.611041102368395e-05
A37,@m.xn1.mapm045_vtg_core[gmbs],1.6904574747071306e-05
A37,@m.xn1.mapm045_vtg_core[vdsat],0.06307795997732757
A37,@m.xn1.mapm045_vtg_core[vth],0.42144922437696286
A37,@m.xp0.mapm045_vtg_core[gds],8.468620564097647e-07
A37,@m.xp0.mapm045_vtg_core[gm],0.00016850135947329704
A37,@m.xp0.mapm045_vtg_core[gmbs],3.525973369043736e-05
A37,@m.xp0.mapm045_vtg_core[vdsat],0.1298159606509793
A37,@m.xp0.mapm045_vtg_core[vth],0.38393602661652443
A37,@m.xr0.mapm045_vtg_core[gds],8.58489409426286e-07
A37,@m.xr0.mapm045_vtg_core[gm],0.000168368602937403
A37,@m.xr0.mapm045_vtg_core[gmbs],3.523195008578126e-05
A37,@m.xr0.mapm045_vtg_core[vdsat],0.12981048075905627
A37,@m.xr0.mapm045_vtg_core[vth],0.38394393248505365
A37,@m.xr1.mapm045_vtg_core[gds],8.58489409426286e-07
A37,@m.xr1.mapm045_vtg_core[gm],0.000168368602937403
A37,@m.xr1.mapm045_vtg_core[gmbs],3.523195008578126e-05
A37,@m.xr1.mapm045_vtg_core[vdsat],0.12981048075905627
A37,@m.xr1.mapm045_vtg_core[vth],0.38394393248505365
A37,i(Vdd),-3.7499616324038464e-05
A37,i(Vin),-3.836758881523711e-10
A37,i(Vn0b),-1.4915494480511337e-12
A37,i(Vn0d),3.7525211395087777e-06
A37,i(Vn0g),1.9183798993793744e-10
A37,i(Vn0s),-3.7527114859300317e-06
A37,i(Vn1b),-1.4915494480511337e-12
A37,i(Vn1d),3.7525211395087777e-06
A37,i(Vn1g),1.9183798993793744e-10
A37,i(Vn1s),-3.7527114859300317e-06
A37,i(Vp0b),9.630907182867077e-13
A37,i(Vp0d),-1.2505042279002053e-05
A37,i(Vp0g),-1.8006683366600384e-09
A37,i(Vp0s),1.2506841984349476e-05
A37,i(Vr0b),9.506007092596747e-13
A37,i(Vr0d),-1.2494585892318144e-05
A37,i(Vr0g),-1.8007959012855679e-09
A37,i(Vr0s),1.2496385737698426e-05
A37,i(Vr1b),9.506007092596747e-13
A37,i(Vr1d),-1.2494585892318134e-05
A37,i(Vr1g),-1.8007959012855679e-09
A37,i(Vr1s),1.2496385737698426e-05
A37,v(gate),0.4499996163241119
A37,v(in),0.45
A37,v(out),0.4999999999984522
A37,v(pbias),0.5122640647486569
A37,v(pdrive),0.5122640647486569
A37,v(source),0.052175122769918
A37,v(vdd),1.0
R37,@m.xn0.mapm045_vtg_core[gds],5.243393174768889e-07
R37,@m.xn0.mapm045_vtg_core[gm],0.00018264653472483056
R37,@m.xn0.mapm045_vtg_core[gmbs],4.2150168667071976e-05
R37,@m.xn0.mapm045_vtg_core[vdsat],0.08767406764957661
R37,@m.xn0.mapm045_vtg_core[vth],0.41121105645834527
R37,@m.xn1.mapm045_vtg_core[gds],5.243393174768944e-07
R37,@m.xn1.mapm045_vtg_core[gm],0.0001826465347248304
R37,@m.xn1.mapm045_vtg_core[gmbs],4.215016866707193e-05
R37,@m.xn1.mapm045_vtg_core[vdsat],0.08767406764957607
R37,@m.xn1.mapm045_vtg_core[vth],0.41121105645834527
R37,@m.xn2.mapm045_vtg_core[gds],5.243393174768889e-07
R37,@m.xn2.mapm045_vtg_core[gm],0.00018264653472483056
R37,@m.xn2.mapm045_vtg_core[gmbs],4.2150168667071976e-05
R37,@m.xn2.mapm045_vtg_core[vdsat],0.08767406764957661
R37,@m.xn2.mapm045_vtg_core[vth],0.41121105645834527
R37,i(Vdd),-3.74972514870765e-05
R37,i(Vin),-2.7485129232784032e-09
R37,i(Vn0b),-2.670736045594904e-12
R37,i(Vn0d),1.0832417162358809e-05
R37,i(Vn0g),9.161710279315116e-10
R37,i(Vn0s),-1.0833330662571611e-05
R37,i(Vn1b),-2.6707360455949007e-12
R37,i(Vn1d),1.0832417162358796e-05
R37,i(Vn1g),9.161710834426628e-10
R37,i(Vn1s),-1.0833330662571606e-05
R37,i(Vn2b),-2.670736045594904e-12
R37,i(Vn2d),1.0832417162358809e-05
R37,i(Vn2g),9.161710279315116e-10
R37,i(Vn2s),-1.0833330662571617e-05
R37,v(gate),0.44999725148707675
R37,v(in),0.45
R37,v(out),0.5000000000000062
R37,v(source),0.0026845581080928924
R37,v(vdd),1.0
AL37W,@m.xn0.mapm045_vtg_core[gds],2.1569748289214571e-07
AL37W,@m.xn0.mapm045_vtg_core[gm],7.150029138407459e-05
AL37W,@m.xn0.mapm045_vtg_core[gmbs],1.5912637343298e-05
AL37W,@m.xn0.mapm045_vtg_core[vdsat],0.06428357916624607
AL37W,@m.xn0.mapm045_vtg_core[vth],0.42079912029280675
AL37W,@m.xn1.mapm045_vtg_core[gds],2.1569748289214563e-07
AL37W,@m.xn1.mapm045_vtg_core[gm],7.150029138407456e-05
AL37W,@m.xn1.mapm045_vtg_core[gmbs],1.5912637343297983e-05
AL37W,@m.xn1.mapm045_vtg_core[vdsat],0.06428357916624607
AL37W,@m.xn1.mapm045_vtg_core[vth],0.42079912029280675
AL37W,@m.xp0.mapm045_vtg_core[gds],6.031725811553892e-07
AL37W,@m.xp0.mapm045_vtg_core[gm],0.00016398912915620265
AL37W,@m.xp0.mapm045_vtg_core[gmbs],3.4307712454940274e-05
AL37W,@m.xp0.mapm045_vtg_core[vdsat],0.1311262893466814
AL37W,@m.xp0.mapm045_vtg_core[vth],0.3842102967435683
AL37W,@m.xr0.mapm045_vtg_core[gds],8.698070355501728e-07
AL37W,@m.xr0.mapm045_vtg_core[gm],0.00017001151673441076
AL37W,@m.xr0.mapm045_vtg_core[gmbs],3.558692985133535e-05
AL37W,@m.xr0.mapm045_vtg_core[vdsat],0.1306064773307164
AL37W,@m.xr0.mapm045_vtg_core[vth],0.3839432018056174
AL37W,@m.xr1.mapm045_vtg_core[gds],8.698070355501728e-07
AL37W,@m.xr1.mapm045_vtg_core[gm],0.00017001151673441076
AL37W,@m.xr1.mapm045_vtg_core[gmbs],3.558692985133535e-05
AL37W,@m.xr1.mapm045_vtg_core[vdsat],0.1306064773307164
AL37W,@m.xr1.mapm045_vtg_core[vth],0.3839432018056174
AL37W,i(Vdd),-3.749963457503785e-05
AL37W,i(Vin),-3.65425217754671e-10
AL37W,i(Vn0b),-1.3913381365085652e-12
AL37W,i(Vn0d),3.5580748306130217e-06
AL37W,i(Vn0g),1.8271262280933342e-10
AL37W,i(Vn0s),-3.558256151903392e-06
AL37W,i(Vn1b),-1.3913381365085644e-12
AL37W,i(Vn1d),3.5580748306130217e-06
AL37W,i(Vn1g),1.8271267832048466e-10
AL37W,i(Vn1s),-3.558256151903392e-06
AL37W,i(Vp0b),1.858291298617587e-12
AL37W,i(Vp0d),-1.2116149661297451e-05
AL37W,i(Vp0g),-5.18056841869452e-09
AL37W,i(Vp0s),1.212132837150535e-05
AL37W,i(Vr0b),9.611478279936136e-13
AL37W,i(Vr0d),-1.2687326279626788e-05
AL37W,i(Vr0g),-1.8258929368464294e-09
AL37W,i(Vr0s),1.2689151211472773e-05
AL37W,i(Vr1b),9.611478279936136e-13
AL37W,i(Vr1d),-1.2687326279626793e-05
AL37W,i(Vr1g),-1.8258929368464294e-09
AL37W,i(Vr1s),1.2689151211472773e-05
AL37W,v(gate),0.44999963457478226
AL37W,v(in),0.45
AL37W,v(out),0.5000000000071417
AL37W,v(pbias),0.5111305903578036
AL37W,v(pdrive),0.5111305903578036
AL37W,v(source),0.04900774212905878
AL37W,v(vdd),1.0
AR37,@m.xn0.mapm045_vtg_core[gds],2.3794340832745926e-07
AR37,@m.xn0.mapm045_vtg_core[gm],7.880933654063459e-05
AR37,@m.xn0.mapm045_vtg_core[gmbs],1.74742036388134e-05
AR37,@m.xn0.mapm045_vtg_core[vdsat],0.062071486073221584
AR37,@m.xn0.mapm045_vtg_core[vth],0.4220125931562833
AR37,@m.xn1.mapm045_vtg_core[gds],2.3794340832745886e-07
AR37,@m.xn1.mapm045_vtg_core[gm],7.880933654063451e-05
AR37,@m.xn1.mapm045_vtg_core[gmbs],1.7474203638813378e-05
AR37,@m.xn1.mapm045_vtg_core[vdsat],0.062071486073221584
AR37,@m.xn1.mapm045_vtg_core[vth],0.4220125931562833
AR37,@m.xp0.mapm045_vtg_core[gds],8.599605894428787e-07
AR37,@m.xp0.mapm045_vtg_core[gm],0.00017025164471775293
AR37,@m.xp0.mapm045_vtg_core[gmbs],3.563801359775792e-05
AR37,@m.xp0.mapm045_vtg_core[vdsat],0.13066935155217027
AR37,@m.xp0.mapm045_vtg_core[vth],0.38393602661649995
AR37,@m.xr0.mapm045_vtg_core[gds],7.341992953655596e-07
AR37,@m.xr0.mapm045_vtg_core[gm],0.0001667991148204598
AR37,@m.xr0.mapm045_vtg_core[gmbs],3.490601099662853e-05
AR37,@m.xr0.mapm045_vtg_core[vdsat],0.13091957358129067
AR37,@m.xr0.mapm045_vtg_core[vth],0.3841038934604606
AR37,@m.xr1.mapm045_vtg_core[gds],7.341992953655596e-07
AR37,@m.xr1.mapm045_vtg_core[gm],0.0001667991148204598
AR37,@m.xr1.mapm045_vtg_core[gmbs],3.490601099662853e-05
AR37,@m.xr1.mapm045_vtg_core[vdsat],0.13091957358129067
AR37,@m.xr1.mapm045_vtg_core[vth],0.3841038934604606
AR37,i(Vdd),-3.7499607136717855e-05
AR37,i(Vin),-3.9286368440100833e-10
AR37,i(Vn0b),-1.5695635859226299e-12
AR37,i(Vn0d),3.855481965236241e-06
AR37,i(Vn0g),1.9643181525808018e-10
AR37,i(Vn0s),-3.855676827465911e-06
AR37,i(Vn1b),-1.5695635859226299e-12
AR37,i(Vn1d),3.855481965236239e-06
AR37,i(Vn1g),1.964318707692314e-10
AR37,i(Vn1s),-3.85567682746591e-06
AR37,i(Vp0b),9.73082725508334e-13
AR37,i(Vp0d),-1.2710963930209854e-05
AR37,i(Vp0g),-1.8276094526648023e-09
AR37,i(Vp0s),1.2712790566662925e-05
AR37,i(Vr0b),1.2193579479458094e-12
AR37,i(Vr0d),-1.239059859193141e-05
AR37,i(Vr0g),-2.8092064785489868e-09
AR37,i(Vr0s),1.2393406579128154e-05
AR37,i(Vr1b),1.2193579479458094e-12
AR37,i(Vr1d),-1.2390598591931402e-05
AR37,i(Vr1g),-2.8092064785489868e-09
AR37,i(Vr1s),1.2393406579128154e-05
AR37,v(gate),0.44999960713631565
AR37,v(in),0.45
AR37,v(out),0.4999999999737336
AR37,v(pbias),0.5110482279366407
AR37,v(pdrive),0.5110482279366407
AR37,v(source),0.05492416715748322
AR37,v(vdd),1.0
AI37,@m.xn0.mapm045_vtg_core[gds],2.1649594276057043e-07
AI37,@m.xn0.mapm045_vtg_core[gm],7.62456531173347e-05
AI37,@m.xn0.mapm045_vtg_core[gmbs],1.693353125459554e-05
AI37,@m.xn0.mapm045_vtg_core[vdsat],0.06300057138176458
AI37,@m.xn0.mapm045_vtg_core[vth],0.4215193745318322
AI37,@m.xn1.mapm045_vtg_core[gds],2.1649594276057043e-07
AI37,@m.xn1.mapm045_vtg_core[gm],7.62456531173347e-05
AI37,@m.xn1.mapm045_vtg_core[gmbs],1.693353125459554e-05
AI37,@m.xn1.mapm045_vtg_core[vdsat],0.06300057138176458
AI37,@m.xn1.mapm045_vtg_core[vth],0.4215193745318322
AI37,@m.xp0.mapm045_vtg_core[gds],8.468591051962449e-07
AI37,@m.xp0.mapm045_vtg_core[gm],0.00016850096300720534
AI37,@m.xp0.mapm045_vtg_core[gmbs],3.52596480488271e-05
AI37,@m.xp0.mapm045_vtg_core[vdsat],0.12981576763735617
AI37,@m.xp0.mapm045_vtg_core[vth],0.38393602661653486
AI37,@m.xr0.mapm045_vtg_core[gds],8.584866699983948e-07
AI37,@m.xr0.mapm045_vtg_core[gm],0.000168368203780164
AI37,@m.xr0.mapm045_vtg_core[gmbs],3.523186388242253e-05
AI37,@m.xr0.mapm045_vtg_core[vdsat],0.12981028762590735
AI37,@m.xr0.mapm045_vtg_core[vth],0.3839439326625798
AI37,@m.xr1.mapm045_vtg_core[gds],8.584866699983948e-07
AI37,@m.xr1.mapm045_vtg_core[gm],0.000168368203780164
AI37,@m.xr1.mapm045_vtg_core[gmbs],3.523186388242253e-05
AI37,@m.xr1.mapm045_vtg_core[vdsat],0.12981028762590735
AI37,@m.xr1.mapm045_vtg_core[vth],0.3839439326625798
AI37,i(Vdd),-3.749947670411249e-05
AI37,i(Vin),-5.232963963953778e-10
AI37,i(Vn0b),-1.8953632286750217e-12
AI37,i(Vn0d),3.752497939116381e-06
AI37,i(Vn0g),2.6164820310370374e-10
AI37,i(Vn0s),-3.752757691913486e-06
AI37,i(Vn1b),-1.8953632286750233e-12
AI37,i(Vn1d),3.7524979391163827e-06
AI37,i(Vn1g),2.6164820310370374e-10
AI37,i(Vn1s),-3.7527576919134876e-06
AI37,i(Vp0b),9.629519404086295e-13
AI37,i(Vp0d),-1.25049958783796e-05
AI37,i(Vp0g),-1.800662230433403e-09
AI37,i(Vp0s),1.2506795577649975e-05
AI37,i(Vr0b),9.506007092596747e-13
AI37,i(Vr0d),-1.2494539291847948e-05
AI37,i(Vr0g),-1.800789906081235e-09
AI37,i(Vr0s),1.2496339131154579e-05
AI37,i(Vr1b),9.506007092596747e-13
AI37,i(Vr1d),-1.2494539291847947e-05
AI37,i(Vr1g),-1.800789906081235e-09
AI37,i(Vr1s),1.2496339131154579e-05
AI37,v(gate),0.44999947670360363
AI37,v(in),0.45
AI37,v(out),0.5000000000146831
AI37,v(pbias),0.5122643401381118
AI37,v(pdrive),0.5122643401381118
AI37,v(source),0.05235329262844756
AI37,v(vdd),1.0
AB37,@m.xn0.mapm045_vtg_core[gds],2.2208448275217383e-07
AB37,@m.xn0.mapm045_vtg_core[gm],7.62922498797492e-05
AB37,@m.xn0.mapm045_vtg_core[gmbs],1.6938689042903897e-05
AB37,@m.xn0.mapm045_vtg_core[vdsat],0.06283516227371595
AB37,@m.xn0.mapm045_vtg_core[vth],0.4216012658718228
AB37,@m.xn1.mapm045_vtg_core[gds],2.2208448275217383e-07
AB37,@m.xn1.mapm045_vtg_core[gm],7.62922498797492e-05
AB37,@m.xn1.mapm045_vtg_core[gmbs],1.6938689042903897e-05
AB37,@m.xn1.mapm045_vtg_core[vdsat],0.06283516227371595
AB37,@m.xn1.mapm045_vtg_core[vth],0.4216012658718228
AB37,@m.xp0.mapm045_vtg_core[gds],7.905609444292011e-07
AB37,@m.xp0.mapm045_vtg_core[gm],0.0001681699277786061
AB37,@m.xp0.mapm045_vtg_core[gmbs],3.5194319632465056e-05
AB37,@m.xp0.mapm045_vtg_core[vdsat],0.1305369965433457
AB37,@m.xp0.mapm045_vtg_core[vth],0.3840201604799058
AB37,@m.xr0.mapm045_vtg_core[gds],8.008776269412693e-07
AB37,@m.xr0.mapm045_vtg_core[gm],0.0001680541810682784
AB37,@m.xr0.mapm045_vtg_core[gmbs],3.517010940118643e-05
AB37,@m.xr0.mapm045_vtg_core[vdsat],0.13053320820988729
AB37,@m.xr0.mapm045_vtg_core[vth],0.3840255856445955
AB37,@m.xr1.mapm045_vtg_core[gds],8.008776269412693e-07
AB37,@m.xr1.mapm045_vtg_core[gm],0.0001680541810682784
AB37,@m.xr1.mapm045_vtg_core[gmbs],3.517010940118643e-05
AB37,@m.xr1.mapm045_vtg_core[vdsat],0.13053320820988729
AB37,@m.xr1.mapm045_vtg_core[vth],0.3840255856445955
AB37,i(Vdd),-3.749954372008411e-05
AB37,i(Vin),-4.562801805222533e-10
AB37,i(Vn0b),-1.7130412862590036e-12
AB37,i(Vn0d),3.7518500062261956e-06
AB37,i(Vn0g),2.2814011790828204e-10
AB37,i(Vn0s),-3.7520764332458018e-06
AB37,i(Vn1b),-1.7130412862590036e-12
AB37,i(Vn1d),3.7518500062261956e-06
AB37,i(Vn1g),2.2814011790828204e-10
AB37,i(Vn1s),-3.7520764332458018e-06
AB37,i(Vp0b),1.0685896612017132e-12
AB37,i(Vp0d),-1.250370001251254e-05
AB37,i(Vp0g),-2.197216131261115e-09
AB37,i(Vp0s),1.2505896160051267e-05
AB37,i(Vr0b),1.0570988528968428e-12
AB37,i(Vr0d),-1.2494625887251614e-05
AB37,i(Vr0g),-2.1973583508305694e-09
AB37,i(Vr0s),1.2496822188622737e-05
AB37,i(Vr1b),1.0570988528968428e-12
AB37,i(Vr1d),-1.2494625887251605e-05
AB37,i(Vr1g),-2.1973583508305694e-09
AB37,i(Vr1s),1.2496822188622737e-05
AB37,v(gate),0.4499995437198195
AB37,v(in),0.45
AB37,v(out),0.5000000000060179
AB37,v(pbias),0.5114044927982135
AB37,v(pdrive),0.5114044927982135
AB37,v(source),0.052811578638622285
AB37,v(vdd),1.0
