candidate,uid,channel,step,first_derivative,refined_step,derivative,half_step_relative_change
AL37W,ads/gain/input/0,delvto_v,0.0001,3.2883544459930136,5e-05,3.2883543387718372,-3.260633185675488e-08
AL37W,ads/gain/input/0,ln_mulu0,0.001,-0.14593679118771186,0.0005,-0.14593678311752845,-5.52991699098726e-08
AL37W,ads/gain/input/1,delvto_v,0.0001,3.2883544445372337,0.0001,3.2883544445372337,
AL37W,ads/gain/input/1,ln_mulu0,0.001,-0.14593679117805292,0.001,-0.14593679117805292,
AL37W,ads/gain/reference/0,delvto_v,0.0001,-7.3590055032712876,5e-05,-7.359006535134771,1.4021778937944873e-07
AL37W,ads/gain/reference/0,ln_mulu0,0.001,-0.47136989572135746,0.0005,-0.471369918542186,4.841384382281433e-08
AL37W,ads/gain/reference/1,delvto_v,0.0001,-7.3590055032712876,0.0001,-7.3590055032712876,
AL37W,ads/gain/reference/1,ln_mulu0,0.001,-0.47136989572135746,0.001,-0.47136989572135746,
AL37W,ads/gain/load/0,delvto_v,0.0001,16.96004864724626,5e-05,16.96005387898547,3.0847430432245915e-07
AL37W,ads/gain/load/0,ln_mulu0,0.001,1.0953553270346694,0.0005,1.095355386937391,5.4687935735486803e-08
AR37,ads/gain/input/0,delvto_v,0.0001,3.2838058994624775,5e-05,3.2838058434914164,-1.7044570532753767e-08
AR37,ads/gain/input/0,ln_mulu0,0.001,-0.1436258972667137,0.0005,-0.14362589693328598,-2.321501435531559e-09
AR37,ads/gain/input/1,delvto_v,0.0001,3.283805899602643,0.0001,3.283805899602643,
AR37,ads/gain/input/1,ln_mulu0,0.001,-0.14362589709657203,0.001,-0.14362589709657203,
AR37,ads/gain/reference/0,delvto_v,0.0001,-7.473314011932352,5e-05,-7.473314997010205,1.318127207383668e-07
AR37,ads/gain/reference/0,ln_mulu0,0.001,-0.480665788830853,0.0005,-0.48066582480615905,7.484474018326637e-08
AR37,ads/gain/reference/1,delvto_v,0.0001,-7.47331401189738,0.0001,-7.47331401189738,
AR37,ads/gain/reference/1,ln_mulu0,0.001,-0.480665788830853,0.001,-0.480665788830853,
AR37,ads/gain/load/0,delvto_v,0.0001,17.179221893981467,5e-05,17.179229007113218,4.140543614639114e-07
AR37,ads/gain/load/0,ln_mulu0,0.001,1.10098400866257,0.0005,1.1009841237238915,1.0450771381620427e-07
AI37,ads/gain/input/0,delvto_v,0.0001,3.286453184777882,5e-05,3.286452998829681,-5.658020696408528e-08
AI37,ads/gain/input/0,ln_mulu0,0.001,-0.14496190970458844,0.0005,-0.14496190294688294,-4.661711150433234e-08
AI37,ads/gain/input/1,delvto_v,0.0001,3.2864531851062306,0.0001,3.2864531851062306,
AI37,ads/gain/input/1,ln_mulu0,0.001,-0.14496191013063653,0.001,-0.14496191013063653,
AI37,ads/gain/reference/0,delvto_v,0.0001,-7.405179121283966,5e-05,-7.405180016692436,1.209165174653748e-07
AI37,ads/gain/reference/0,ln_mulu0,0.001,-0.47204811973014515,0.0005,-0.4720481537518473,7.207252972207812e-08
AI37,ads/gain/reference/1,delvto_v,0.0001,-7.405179121286742,0.0001,-7.405179121286742,
AI37,ads/gain/reference/1,ln_mulu0,0.001,-0.47204811973064476,0.001,-0.47204811973064476,
AI37,ads/gain/load/0,delvto_v,0.0001,17.032706090446545,5e-05,17.03271277479712,3.9244207816757637e-07
AI37,ads/gain/load/0,ln_mulu0,0.001,1.0859750800712165,0.0005,1.0859751940775486,1.049806153119448e-07
AB37,ads/gain/input/0,delvto_v,0.0001,3.285803270532406,5e-05,3.285803223223027,-1.4398116587877041e-08
AB37,ads/gain/input/0,ln_mulu0,0.001,-0.14463580864923498,0.0005,-0.14463580316992353,-3.7883505443758736e-08
AB37,ads/gain/input/1,delvto_v,0.0001,3.285803272083665,0.0001,3.285803272083665,
AB37,ads/gain/input/1,ln_mulu0,0.001,-0.14463580878021354,0.001,-0.14463580878021354,
AB37,ads/gain/reference/0,delvto_v,0.0001,-7.428797982363122,5e-05,-7.42879886218184,1.1843352321072587e-07
AB37,ads/gain/reference/0,ln_mulu0,0.001,-0.4761208175743381,0.0005,-0.4761208606275935,9.04250641031723e-08
AB37,ads/gain/reference/1,delvto_v,0.0001,-7.428797982364787,0.0001,-7.428797982364787,
AB37,ads/gain/reference/1,ln_mulu0,0.001,-0.4761208175743381,0.001,-0.4761208175743381,
AB37,ads/gain/load/0,delvto_v,0.0001,17.08997811449453,5e-05,17.089984718578478,3.8643021671447286e-07
AB37,ads/gain/load/0,ln_mulu0,0.001,1.0955546471040911,0.0005,1.095554751198824,9.501555497948289e-08
