candidate,uid,sigma_vth,sigma_beta,j00,j01,j10,j11,sensitivity_delvto,sensitivity_ln_mulu0
A37,ads/gain/input/0,0.0048093841035844,0.007457812380660055,1.0148124177925544,-0.0042183018735098,-1.7561513962193742,0.9242180515411813,3.285872370704379,-0.14467544095161933
A37,ads/gain/input/1,0.0048093841035844,0.007457812380660055,1.0148124177925544,-0.0042183018735098,-1.7561513962193742,0.9242180515411813,3.2858723696468917,-0.14467544107837904
A37,ads/gain/reference/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.397146731302762,-0.4715366422524958
A37,ads/gain/reference/1,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.397146731302762,-0.4715366422524958
A37,ads/gain/load/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,17.01423489197301,1.084798656002417
R37,ads/gain/input/0,0.004365654724031755,0.006450395418892203,1.013533888732765,-0.0034380762936103704,-1.78347283421737,0.9391906053823895,2.2279320930296276,-0.11550164028539811
R37,ads/gain/input/1,0.004365654724031755,0.006450395418892203,1.013533888732765,-0.0034380762936103704,-1.78347283421737,0.9391906053823895,2.227932090044238,-0.11550164058671264
R37,ads/gain/input/2,0.004365654724031755,0.006450395418892203,1.013533888732765,-0.0034380762936103704,-1.78347283421737,0.9391906053823895,2.227932091538598,-0.11550164043283573
AL37W,ads/gain/input/0,0.005134951204069603,0.007962662544514625,1.014808796211908,-0.004216137379481344,-1.7562080496270616,0.9242495657328098,3.2883543387718372,-0.14593678311752845
AL37W,ads/gain/input/1,0.005134951204069603,0.007962662544514625,1.014808796211908,-0.004216137379481344,-1.7562080496270616,0.9242495657328098,3.2883544445372337,-0.14593679117805292
AL37W,ads/gain/reference/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.359006535134771,-0.471369918542186
AL37W,ads/gain/reference/1,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.3590055032712876,-0.47136989572135746
AL37W,ads/gain/load/0,0.0028090557158420323,0.004904914786765851,-1.023246469847805,-0.0016889030701350283,1.394384113676872,0.9695929906425815,16.96005387898547,1.095355386937391
AR37,ads/gain/input/0,0.004585661915275454,0.00711089101404363,1.0148147681878772,-0.004219706946595458,-1.7561146255709592,0.9241975936629343,3.2838058434914164,-0.14362589693328598
AR37,ads/gain/input/1,0.004585661915275454,0.00711089101404363,1.0148147681878772,-0.004219706946595458,-1.7561146255709592,0.9241975936629343,3.283805899602643,-0.14362589709657203
AR37,ads/gain/reference/0,0.0035799183716778283,0.006701284146729445,-1.0237657638766107,-0.00230080257922205,1.379001411704217,0.957961960372905,-7.473314997010205,-0.48066582480615905
AR37,ads/gain/reference/1,0.0035799183716778283,0.006701284146729445,-1.0237657638766107,-0.00230080257922205,1.379001411704217,0.957961960372905,-7.47331401189738,-0.480665788830853
AR37,ads/gain/load/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,17.179229007113218,1.1009841237238915
AI37,ads/gain/input/0,0.004349164830518367,0.006504002071251653,1.0138502522463733,-0.0036310282004958783,-1.7768033862520793,0.9355363267535999,3.286452998829681,-0.14496190294688294
AI37,ads/gain/input/1,0.004349164830518367,0.006504002071251653,1.0138502522463733,-0.0036310282004958783,-1.7768033862520793,0.9355363267535999,3.2864531851062306,-0.14496191013063653
AI37,ads/gain/reference/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.405180016692436,-0.4720481537518473
AI37,ads/gain/reference/1,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,-7.405179121286742,-0.47204811973064476
AI37,ads/gain/load/0,0.004229466460764283,0.008332512287204358,-1.0242043729650763,-0.002840021436723017,1.3653256535209324,0.9474055577937901,17.03271277479712,1.0859751940775486
AB37,ads/gain/input/0,0.004517279951956898,0.006860043002865862,1.0142558008491287,-0.003878555284983487,-1.7681627296259328,0.9308007038360044,3.285803223223027,-0.14463580316992353
AB37,ads/gain/input/1,0.004517279951956898,0.006860043002865862,1.0142558008491287,-0.003878555284983487,-1.7681627296259328,0.9308007038360044,3.285803272083665,-0.14463580878021354
AB37,ads/gain/reference/0,0.003932437420167474,0.007573913569747438,-1.0240030251655874,-0.0025910086495356532,1.3716735413257797,0.9523173762548021,-7.42879886218184,-0.4761208606275935
AB37,ads/gain/reference/1,0.003932437420167474,0.007573913569747438,-1.0240030251655874,-0.0025910086495356532,1.3716735413257797,0.9523173762548021,-7.428797982364787,-0.4761208175743381
AB37,ads/gain/load/0,0.003932437420167474,0.007573913569747438,-1.0240030251655874,-0.0025910086495356532,1.3716735413257797,0.9523173762548021,17.089984718578478,1.095554751198824
