candidate,trial,out_v,gain,bandwidth_hz,current_a,power_w,area_um2,terminal_supported,final_status
F75L,trial-000,0.5173558028748956,-6.221160207415314,9717511.97106616,7.908748316150588e-05,7.881312744388584e-05,7.106666666666666,True,
F75L,trial-001,0.516956114309312,-6.222046093364683,9718864.851598723,7.9088337978796e-05,7.881561748689108e-05,7.111106666666666,True,
F75L,trial-002,0.5175008330123744,-6.2203566002038215,9715592.480579888,7.908717275653035e-05,7.881222367570913e-05,7.106666666666666,True,
F75L,trial-003,0.5168763094574254,-6.22083095284907,9714560.421916775,7.902886211132023e-05,7.875646707960804e-05,7.106666666666666,True,
F75L,trial-004,0.5034567928699719,-6.074398727746608,9235868.786072168,7.51303977029583e-05,7.491283501328317e-05,7.164643196448843,True,
F75L,trial-005,0.5030708270616084,-6.075215331937729,9237117.536762582,7.513114784812701e-05,7.491516422884259e-05,7.169141172978625,True,
F75L,trial-006,0.5036146663633168,-6.073523751331372,9233902.640719276,7.513009067360967e-05,7.491188207410794e-05,7.164643196448843,True,
F75L,trial-007,0.502972387420883,-6.074007653352519,9233291.939222233,7.507405508164112e-05,7.485847321161294e-05,7.164643196448843,True,
F75L,trial-008,0.5017457819235398,-6.027704631116682,9105814.434385132,7.491663096694628e-05,7.470606327732178e-05,7.319666185260679,True,
F75L,trial-009,0.5013652722838094,-6.028494022028268,9106977.555034984,7.491736515275195e-05,7.470835420370414e-05,7.324319184779272,True,
F75L,trial-010,0.5019151958493004,-6.02677287616027,9103764.024831755,7.491630388063673e-05,7.470504306560945e-05,7.319666185260679,True,
F75L,trial-011,0.5012558786304582,-6.02732740945049,9103319.484779116,7.486042111962952e-05,7.465185674090344e-05,7.319666185260679,True,
F75L,trial-012,0.5008996478552128,-6.015839649277785,9072702.1660833,7.49521198709553e-05,7.474501396662749e-05,7.385736862874868,True,
F75L,trial-013,0.5005207872892136,-6.016619005364396,9073832.404424366,7.495284984912353e-05,7.47472939356679e-05,7.390455933071077,True,
F75L,trial-014,0.5010731369578418,-6.014889220756657,9070629.791394342,7.495178538700786e-05,7.474396968466916e-05,7.385736862874868,True,
F75L,trial-015,0.5004078988006022,-6.015467392863114,9070241.469307156,7.48958902301766e-05,7.469079518601682e-05,7.385736862874868,True,
F75L,trial-016,0.5004719263330061,-6.008471611085337,9052508.735581603,7.497439825800042e-05,7.476904229512765e-05,7.425500914941465,True,
F75L,trial-017,0.500094061058954,-6.00924516372744,9053619.251451243,7.497512585327459e-05,7.477131580756274e-05,7.430259749189739,True,
F75L,trial-018,0.5006478779715992,-6.007509872331282,9050423.736784203,7.497405924308661e-05,7.476798340726378e-05,7.425500914941465,True,
F75L,trial-019,0.49997903998911064,-6.0081026020154376,9050068.1709576,7.491815643304144e-05,7.471481598205344e-05,7.425500914941465,True,
F75L,trial-020,0.5002505469447752,-6.004592827962652,9041926.751799813,7.49861582823753e-05,7.478170804729294e-05,7.446543628665011,True,
F75L,trial-021,0.49987320349125985,-6.005363354886785,9043027.006670125,7.498688463582491e-05,7.478397818214986e-05,7.451323505627008,True,
F75L,trial-022,0.5004277919046758,-6.003625168099479,9039835.250920774,7.498581688699459e-05,7.478064148757181e-05,7.446543628665011,True,
F75L,trial-023,0.4997570620051389,-6.004225529324978,9039496.651313584,7.492991003498597e-05,7.472747776007229e-05,7.446543628665011,True,
F75L,trial-024,0.5001386404451127,-6.002570445246189,9036428.334701056,7.499226464924499e-05,7.478827225534193e-05,7.4574890746423,True,
F75L,trial-025,0.49976156776958114,-6.003339412679923,9037523.283141188,7.499299036397703e-05,7.47905406430454e-05,7.462279897050274,True,
F75L,trial-026,0.5003165568541064,-6.001599713500452,9034333.500217453,7.499192201640776e-05,7.478720171103404e-05,7.4574890746423,True,
F75L,trial-027,0.4996448438587754,-6.00220404241698,9034003.63357975,7.493601307759188e-05,7.473403991854572e-05,7.4574890746423,True,
F75L,trial-028,0.5000833970091408,-6.001555317005824,9033673.353011774,7.49953226939218e-05,7.479155631618918e-05,7.462975766532176,True,
F75L,trial-029,0.5004607198876359,-6.00078529784995,9032580.3573688,7.499459593611181e-05,7.478928586168891e-05,7.45817945743231,True,
F75L,trial-030,0.5002616497045113,-6.000583047297101,9031576.859857507,7.499497944057145e-05,7.479048377561917e-05,7.462975766532176,True,
F75L,trial-031,0.4995894441164428,-6.001189364880377,9031251.347437294,7.493906945984957e-05,7.473732295631512e-05,7.462975766532176,True,
F75L,trial-032,0.5000580613850347,-6.001080527239857,9032386.614537364,7.499674710936818e-05,7.479308438660132e-05,7.4655336450351015,True,
F75L,trial-033,0.5004353209419707,-6.000310870689335,9031294.855833044,7.499602049989055e-05,7.4790814339607e-05,7.460734778056734,True,
F75L,trial-034,0.500236470938197,-6.000107539896168,9030289.351071157,7.49964035662852e-05,7.479201091452861e-05,7.4655336450351015,True,
F75L,trial-035,0.4995640354624788,-6.000714786578277,9029965.863907736,7.494049310220738e-05,7.473885055237643e-05,7.4655336450351015,True,
F75L,trial-036,0.5000485583443186,-6.000906207853868,9031913.817365225,7.499727289920568e-05,7.479364905596097e-05,7.466477798784816,True,
F75L,trial-037,0.5004257945982912,-6.000136685225624,9030822.513473438,7.499654634466157e-05,7.47913791592593e-05,7.461677987652697,True,
F75L,trial-038,0.5002270256664516,-5.999932956549786,9029816.269936536,7.499692924970511e-05,7.47925752411938e-05,7.466477798784816,True,
F75L,trial-039,0.4995545055925838,-6.00054054448584,9029493.528973699,7.49410186062611e-05,7.473941504579563e-05,7.466477798784816,True,
F75L,trial-040,0.500046710672676,-6.000872810906461,9031823.17858506,7.49973738095276e-05,7.479375752559779e-05,7.46665928698207,True,
F75L,trial-041,0.5004239424529554,-6.000103314036552,9030731.961814972,7.499664726551843e-05,7.479148765772968e-05,7.461859294361754,True,
F75L,trial-042,0.5002251890693837,-5.999899508995673,9029725.57656464,7.499703013937842e-05,7.479268364480766e-05,7.46665928698207,True,
F75L,trial-043,0.499552652759137,-6.000507162337138,9029402.978894802,7.494111946174621e-05,7.473952348160353e-05,7.46665928698207,True,
F75L,trial-044,0.500046628256742,-6.000871492814069,9031819.578757524,7.499737785705978e-05,7.47937619103812e-05,7.466666652470588,True,
F75L,trial-045,0.5004238598483323,-6.000101997022648,9030728.365573935,7.499665131382876e-05,7.47914920439783e-05,7.461866652484783,True,
F75L,trial-046,0.5002251071016082,-5.999898188886833,9029721.974569816,7.499703418636533e-05,7.479268802722098e-05,7.466666652470588,True,
F75L,trial-047,0.4995525701458907,-6.000505844802766,9029399.38267012,7.494112350710305e-05,7.473952786506155e-05,7.466666652470588,True,
F75L,trial-048,0.5000466277265493,-6.00087149215358,9031819.5758461,7.499737786299414e-05,7.479376191847468e-05,7.466666666666418,True,
F75L,trial-049,0.5004238593144993,-6.000101996369034,9030728.362616118,7.499665131957614e-05,7.479149205188799e-05,7.461866666666419,True,
F75L,trial-050,0.5002251065733099,-5.999898188219655,9029721.971637286,7.499703419217439e-05,7.479268803519747e-05,7.466666666666418,True,
F75L,trial-051,0.4995525695945844,-6.000505844172748,9029399.379699873,7.494112351286707e-05,7.473952787294055e-05,7.466666666666418,True,
F75L,final,0.5000466277265493,-6.00087149215358,9031819.5758461,7.499737786299414e-05,7.479376191847468e-05,7.466666666666418,True,NOMINAL_DESIGN_FOUND
F75S,trial-000,0.522421674450013,-6.156823996912985,9871740.071639221,7.975588507239626e-05,7.946081462383833e-05,5.4,True,
F75S,trial-001,0.5220256575243187,-6.157773070675256,9873034.611887023,7.975702197569207e-05,7.946357174365827e-05,5.404440000000001,True,
F75S,trial-002,0.5225660722190923,-6.155990550410145,9869826.149389962,7.975547024596514e-05,7.945980901744608e-05,5.4,True,
F75S,trial-003,0.5219447569396916,-6.1566124574668235,9868591.79762523,7.969698640867554e-05,7.940386611091076e-05,5.4,True,
F75S,trial-004,0.5020305230186399,-6.04337206298064,9435428.147002112,7.532084030521703e-05,7.510911622723762e-05,5.404002144617108,True,
F75S,trial-005,0.5016454874904825,-6.04423761305944,9436712.275772039,7.532182796579695e-05,7.511167916252484e-05,5.408446146761724,True,
F75S,trial-006,0.5021806906156947,-6.042511174547381,9433485.112493696,7.532045489321151e-05,7.510811642952998e-05,5.404002144617108,True,
F75S,trial-007,0.5015532984074129,-6.043047876676659,9432639.035837019,7.526445015405558e-05,7.50546775239855e-05,5.404002144617108,True,
F75S,trial-008,0.5004491209297399,-6.006973510679536,9328784.047939884,7.498155657709394e-05,7.477629561962007e-05,5.4953721549545484,True,
F75S,trial-009,0.5000680997467718,-6.007818869443331,9329994.944336666,7.49825258367847e-05,7.477882372550429e-05,5.499907527109503,True,
F75S,trial-010,0.5006068158752998,-6.006073379355087,9326806.261862947,7.498115520332181e-05,7.477524906326399e-05,5.4953721549545484,True,
F75S,trial-011,0.4999683707202802,-6.006655678005617,9326092.251922475,7.492537172206565e-05,7.472207663764064e-05,5.4953721549545484,True,
F75S,trial-012,0.5000663528164067,-6.001007415655345,9311849.669749934,7.499695478354784e-05,7.479325985627136e-05,5.52593669405946,True,
F75S,trial-013,0.49968615007595757,-6.001847675831988,9313043.477670608,7.499792140971989e-05,7.47957819787838e-05,5.530502630753519,True,
F75S,trial-014,0.5002260243370794,-6.000097701231198,9309860.130520748,7.499654861086476e-05,7.479220041431654e-05,5.52593669405946,True,
F75S,trial-015,0.4995847059119214,-6.0006922326854735,9309175.460094418,7.494076185487847e-05,7.473903646829283e-05,5.52593669405946,True,
F75S,trial-016,0.5000017603603548,-6.000029654076389,9309079.366489878,7.499991560699259e-05,7.47964849547309e-05,5.531087812150984,True,
F75S,trial-017,0.4996216928477239,-6.000869065522046,9310270.354519462,7.500088180179083e-05,7.479900609230328e-05,5.535658899963135,True,
F75S,trial-018,0.500161761093869,-5.999118351044946,9307087.875239495,7.499950863378284e-05,7.479542336522461e-05,5.531087812150984,True,
F75S,trial-019,0.4995199643493916,-5.9997149121192965,9306408.044267341,7.494372109507198e-05,7.474226059329503e-05,5.531087812150984,True,
F75S,trial-020,0.4999999968203099,-6.0000000500113835,9308996.009374669,7.500000002476075e-05,7.47965765878752e-05,5.531239248992593,True,
F75S,trial-021,0.4996199333387646,-6.000839436665808,9310186.91321806,7.500096620685433e-05,7.47990976962349e-05,5.5358104882415855,True,
F75S,trial-022,0.5001600073321818,-5.999088699578074,9307004.460908901,7.499959302766043e-05,7.479551493445471e-05,5.531239248992593,True,
F75S,trial-023,0.4995181963276508,-5.999685321657446,9306324.772788959,7.494380546853493e-05,7.474235220037293e-05,5.531239248992593,True,
F75S,trial-024,0.49999999998970773,-6.000000000028347,9308995.884410776,7.499999999995261e-05,7.479657655005372e-05,5.531239355966221,True,
F75S,trial-025,0.49961993652183917,-6.000839386654462,9310186.788175436,7.50009661820865e-05,7.47990976584538e-05,5.535810595322188,True,
F75S,trial-026,0.5001600105247618,-5.999088649521749,9307004.335878333,7.499959300293101e-05,7.479551489669519e-05,5.531239355966221,True,
F75S,trial-027,0.4995181995068321,-5.99968527167697,9306324.647885622,7.494380544371067e-05,7.474235216260416e-05,5.531239355966221,True,
F75S,final,0.49999999998970773,-6.000000000028347,9308995.884410776,7.499999999995261e-05,7.479657655005372e-05,5.531239355966221,True,NOMINAL_DESIGN_FOUND
