candidate,capacitance_f,frequency_hz,gain_real,gain_imag
A75,2e-13,1000.0,-6.000003684201746,0.0007053090066713631
A75,2e-13,1029.2005271944283,-6.0000036793034335,0.000725904400910269
A75,2e-13,1059.2537251772892,-6.000003674114878,0.00074710119146544
A75,2e-13,1090.1844923851281,-6.000003668618879,0.0007689169394215583
A75,2e-13,1122.018454301964,-6.000003662797228,0.0007913697186558036
A75,2e-13,1154.781984689459,-6.000003656630616,0.0008144781308116238
A75,2e-13,1188.5022274370194,-6.000003650098616,0.0008382613207097499
A75,2e-13,1223.2071190499325,-6.00000364317957,0.0008627389922092063
A75,2e-13,1258.9254117941682,-6.000003635850538,0.0008879314245314788
A75,2e-13,1295.6866975170205,-6.000003628087237,0.0009138594890613434
A75,2e-13,1333.5214321633252,-6.0000036198639295,0.0009405446666382888
A75,2e-13,1372.4609610075634,-6.000003611153362,0.0009680090653528448
A75,2e-13,1412.5375446227558,-6.0000036019266645,0.0009962754388625793
A75,2e-13,1453.7843856076636,-6.0000035921532495,0.0010253672052429113
A75,2e-13,1496.2356560944354,-6.00000358180072,0.0010553084663883793
A75,2e-13,1539.926526059494,-6.00000357083477,0.001086124027980433
A75,2e-13,1584.8931924611159,-6.00000355921904,0.0011178394200382683
A75,2e-13,1631.1729092278408,-6.0000035469150355,0.001150480918069778
A75,2e-13,1678.804018122563,-6.000003533881979,0.0011840755648400813
A75,2e-13,1727.8259805078665,-6.00000352007666,0.0012186511927757123
A75,2e-13,1778.279410038926,-6.000003505453325,0.0012542364470230088
A75,2e-13,1830.2061063110596,-6.000003489963505,0.0012908608091798043
A75,2e-13,1883.6490894898043,-6.000003473555856,0.001328554621720079
A75,2e-13,1938.6526359522113,-6.0000034561759925,0.0013673491131318129
A75,2e-13,1995.2623149688839,-6.000003437766307,0.0014072764237888608
A75,2e-13,2053.5250264571505,-6.000003418265778,0.001448369632578287
A75,2e-13,2113.4890398366515,-6.000003397609772,0.0014906627843051935
A75,2e-13,2175.2040340195276,-6.0000033757298175,0.001534190917897785
A75,2e-13,2238.721138568345,-6.000003352553391,0.0015789900954360004
A75,2e-13,2304.092976055851,-6.0000033280036815,0.0016250974320277682
A75,2e-13,2371.373705661661,-6.000003301999314,0.0016725511265576485
A75,2e-13,2440.6190680419863,-6.000003274454082,0.001721390493333301
A75,2e-13,2511.8864315095866,-6.000003245276701,0.0017716559946560416
A75,2e-13,2585.2348395621975,-6.000003214370446,0.0018233892743424063
A75,2e-13,2660.725059798817,-6.000003181632882,0.001876633192224553
A75,2e-13,2738.4196342643686,-6.000003146955498,0.001931431859658034
A75,2e-13,2818.3829312644616,-6.000003110223351,0.0019878306760663686
A75,2e-13,2900.681198693162,-6.000003071314685,0.002045876366552688
A75,2e-13,2985.3826189179686,-6.000003030100538,0.0021056170206096045
A75,2e-13,3072.557365267456,-6.000002986444293,0.0021671021319593685
A75,2e-13,3162.277660168389,-6.0000029402012585,0.0022303826395573116
A75,2e-13,3254.617834980469,-6.0000028912181556,0.002295510969792534
A75,2e-13,3349.6543915782872,-6.000002839332621,0.0023625410799208045
A75,2e-13,3447.466065731505,-6.000002784372674,0.002431528502765642
A75,2e-13,3548.133892335766,-6.000002726156151,0.0025025303927245766
A75,2e-13,3651.741272548389,-6.000002664490081,0.002575605573118739
A75,2e-13,3758.3740428844544,-6.000002599170063,0.00265081458492495
A75,2e-13,3868.120546330535,-6.000002529979598,0.0027282197369307357
A75,2e-13,3981.0717055349864,-6.000002456689341,0.0028078851573536826
A75,2e-13,4097.32109813543,-6.000002379056368,0.0028898768469680456
A75,2e-13,4216.965034285838,-6.000002296823352,0.002974262733782474
A75,2e-13,4340.102636447455,-6.00000220971772,0.0030611127293141936
A75,2e-13,4466.835921509648,-6.000002117450768,0.0031504987865062484
A75,2e-13,4597.2698853087395,-6.000002019716649,0.0032424949593357387
A75,2e-13,4731.512589614823,-6.000001916191434,0.0033371774641624396
A75,2e-13,4869.67525165865,-6.000001806531958,0.003434624742868566
A75,2e-13,5011.872336272742,-6.000001690374758,0.0035349175278420403
A75,2e-13,5158.221650723077,-6.000001567334811,0.003638138908856954
A75,2e-13,5308.8444423099045,-6.000001437004299,0.003744374401906697
A75,2e-13,5463.865498818564,-6.000001298951222,0.003853712020046707
A75,2e-13,5623.413251903514,-6.000001152717995,0.0039662423463054704
A75,2e-13,5787.61988349123,-6.000000997819915,0.004082058608724191
A75,2e-13,5956.62143529013,-6.000000833743554,0.004201256757587159
A75,2e-13,6130.557921498234,-6.000000659945064,0.00432393554490687
A75,2e-13,6309.57344480196,-6.000000475848376,0.004450196606229567
A75,2e-13,6493.816315762142,-6.000000280843295,0.004580144544829018
A75,2e-13,6683.439175686176,-6.000000074283441,0.004713887018358102
A75,2e-13,6878.599123088107,-5.99999985548416,0.004851534828030091
A75,2e-13,7079.457843841412,-5.999999623720228,0.004993202010403221
A75,2e-13,7286.181745132311,-5.9999993782234435,0.005139005931844651
A75,2e-13,7498.942093324594,-5.999999118180082,0.005289067385751979
A75,2e-13,7717.915155850161,-5.9999988427282025,0.0054435106926126135
A75,2e-13,7943.282347242854,-5.999998550954793,0.005602463802983957
A75,2e-13,8175.23037943654,-5.999998241892761,0.005766058403479532
A75,2e-13,8413.951416451991,-5.9999979145176905,0.005934430025848603
A75,2e-13,8659.643233600696,-5.9999975677444635,0.00610771815923973
A75,2e-13,8912.5093813375,-5.999997200423673,0.006286066365740943
A75,2e-13,9172.759353897844,-5.999996811337807,0.006469622399292108
A75,2e-13,9440.608762859283,-5.999996399197213,0.006658538328067896
A75,2e-13,9716.279515771113,-5.999995962635813,0.006852970660432379
A75,2e-13,10000.000000000055,-5.999995500206588,0.007053080474569538
A75,2e-13,10292.00527194434,-5.999995010376791,0.007259033551896813
A75,2e-13,10592.537251772948,-5.999994491522833,0.007471000514371705
A75,2e-13,10901.844923851339,-5.999993941924951,0.007689156965805325
A75,2e-13,11220.184543019699,-5.9999933597614525,0.007913683637299225
A75,2e-13,11547.819846894648,-5.999992743102729,0.008144766536925934
A75,2e-13,11885.022274370254,-5.999992089904802,0.008382597103776644
A75,2e-13,12232.071190499388,-5.999991398002627,0.00862737236650343
A75,2e-13,12589.254117941748,-5.999990665102845,0.008879295106486657
A75,2e-13,12956.866975170273,-5.999989888776222,0.009138574025762534
A75,2e-13,13335.21432163332,-5.999989066449567,0.00940542391984913
A75,2e-13,13724.609610075704,-5.999988195397238,0.00968006585561372
A75,2e-13,14125.37544622763,-5.999987272732091,0.009962727354327896
A75,2e-13,14537.843856076708,-5.999986295395899,0.010253642580061598
A75,2e-13,14962.356560944427,-5.99998526014925,0.01055305253357136
A75,2e-13,15399.265260595015,-5.9999841635607725,0.010861205251842419
A75,2e-13,15848.931924611234,-5.99998300199577,0.011178356013449254
A75,2e-13,16311.729092278485,-5.999981771604204,0.01150476754990373
A75,2e-13,16788.040181225708,-5.999980468307912,0.011840710263164664
A75,2e-13,17278.259805078742,-5.999979087787062,0.012186462449487935
A75,2e-13,17782.79410038934,-5.999977625465911,0.012542310529801561
A75,2e-13,18302.061063110676,-5.999976076497553,0.01290854928679463
A75,2e-13,18836.490894898125,-5.999974435747929,0.013285482108915652
A75,2e-13,19386.5263595222,-5.999972697778739,0.013673421241480212
A75,2e-13,19952.623149688927,-5.999970856829501,0.014072688045094688
A75,2e-13,20535.250264571598,-5.9999689067984,0.01448361326160769
A75,2e-13,21134.89039836661,-5.99996684122206,0.014906537287807668
A75,2e-13,21752.040340195374,-5.999964653254175,0.015341810457091098
A75,2e-13,22387.21138568355,-5.999962335642775,0.015789793329331867
A75,2e-13,23040.929760558614,-5.999959880706218,0.016250856989189363
A75,2e-13,23713.737056616716,-5.999957280307709,0.016725383353099327
A75,2e-13,24406.19068041997,-5.999954525828354,0.01721376548519852
A75,2e-13,25118.864315095976,-5.99995160813858,0.01771640792244113
A75,2e-13,25852.348395622088,-5.9999485175679155,0.018233727009172716
A75,2e-13,26607.250597988284,-5.999945243872875,0.018766151241434128
A75,2e-13,27384.19634264381,-5.999941776203108,0.019314121621276343
A75,2e-13,28183.829312644742,-5.9999381030653325,0.01987809202137423
A75,2e-13,29006.81198693175,-5.999934212285361,0.020458529560236503
A75,2e-13,29853.826189179817,-5.99993009096767,0.021055914988315407
A75,2e-13,30725.573652674695,-5.999925725452705,0.021670743085330926
A75,2e-13,31622.77660168403,-5.999921101271627,0.02230352306913001
A75,2e-13,32546.17834980483,-5.9999162030983415,0.02295477901641277
A75,2e-13,33496.54391578302,-5.999911014698745,0.023625050295665077
A75,2e-13,34474.6606573152,-5.999905518876897,0.02431489201264695
A75,2e-13,35481.33892335782,-5.999899697418088,0.0250248754687958
A75,2e-13,36517.41272548406,-5.999893531028437,0.025755588632913027
A75,2e-13,37583.740428844714,-5.99988699927101,0.026507636626512655
A75,2e-13,38681.20546330552,-5.999880080498086,0.02728164222322109
A75,2e-13,39810.71705535004,-5.9998727517794475,0.028078246362627
A75,2e-13,40973.210981354474,-5.9998649888264035,0.028898108678991653
A75,2e-13,42169.650342858564,-5.999856765911313,0.02974190804524031
A75,2e-13,43401.02636447473,-5.999848055782383,0.03061034313266727
A75,2e-13,44668.35921509667,-5.99983882957336,0.03150413298679727
A75,2e-13,45972.69885308759,-5.9998290567079495,0.03242401761985852
A75,2e-13,47315.125896148435,-5.999818704798473,0.033370758620333896
A75,2e-13,48696.75251658671,-5.99980773953864,0.03434513978006938
A75,2e-13,50118.723362727644,-5.999796124589906,0.035347967739430004
A75,2e-13,51582.216507230994,-5.99978382146109,0.03638007265100675
A75,2e-13,53088.44442309928,-5.99977078938093,0.03744230886239005
A75,2e-13,54638.65498818588,-5.999756985163034,0.038535555618538817
A75,2e-13,56234.13251903538,-5.9997423630628814,0.039660717784285635
A75,2e-13,57876.19883491255,-5.999726874626329,0.04081872658753298
A75,2e-13,59566.21435290155,-5.999710468529163,0.04201054038370756
A75,2e-13,61305.579214982594,-5.999693090407207,0.04323714544205471
A75,2e-13,63095.734448019866,-5.999674682676251,0.04449955675436497
A75,2e-13,64938.16315762169,-5.999655184341493,0.04579881886674282
A75,2e-13,66834.39175686204,-5.9996345307955865,0.04713600673503676
A75,2e-13,68785.99123088135,-5.9996126536047685,0.04851222660456621
A75,2e-13,70794.5784384144,-5.999589480282404,0.049928616914793146
A75,2e-13,72861.81745132341,-5.999564934049021,0.0513863492295994
A75,2e-13,74989.42093324625,-5.999538933578287,0.05288662919384508
A75,2e-13,77179.15155850194,-5.999511392727858,0.05443069751689475
A75,2e-13,79432.82347242888,-5.999482220254422,0.056019830983813745
A75,2e-13,81752.30379436575,-5.999451319511742,0.05765534349494533
A75,2e-13,84139.5141645203,-5.9994185881311015,0.059338587134598456
A75,2e-13,86596.43233600735,-5.999383917682599,0.061070953269578565
A75,2e-13,89125.0938133754,-5.999347193316608,0.06285387367831526
A75,2e-13,91727.59353897884,-5.999308293384052,0.06468882171134345
A75,2e-13,94406.08762859325,-5.999267089034134,0.06657731348390955
A75,2e-13,97162.79515771156,-5.99922344378847,0.06852090910148226
A75,2e-13,100000.00000000097,-5.999177213089978,0.0705212139189542
A75,2e-13,102920.05271944383,-5.99912824382519,0.07257987983433276
A75,2e-13,105925.37251772993,-5.999076373818369,0.07469860661771878
A75,2e-13,109018.44923851384,-5.999021431295797,0.07687914327638225
A75,2e-13,112201.84543019746,-5.998963234318442,0.07912328945674303
A75,2e-13,115478.19846894697,-5.998901590181245,0.08143289688407152
A75,2e-13,118850.22274370304,-5.998836294776918,0.08380987084071655
A75,2e-13,122320.71190499439,-5.998767131922332,0.08625617168367497
A75,2e-13,125892.541179418,-5.998693872645182,0.08877381640230415
A75,2e-13,129568.66975170327,-5.9986162744287155,0.09136488021697625
A75,2e-13,133352.1432163338,-5.998534080411949,0.09403149821946136
A75,2e-13,137246.09610075763,-5.998447018542866,0.0967758670558131
A75,2e-13,141253.7544622769,-5.998354800681841,0.09960024665251241
A75,2e-13,145378.4385607677,-5.998257121652314,0.10250696198660489
A75,2e-13,149623.56560944492,-5.998153658235765,0.10549840490054097
A75,2e-13,153992.65260595083,-5.998044068104941,0.10857703596234819
A75,2e-13,158489.31924611304,-5.997927988708047,0.11174538637206716
A75,2e-13,163117.29092278559,-5.997805036060132,0.11500605991433163
A75,2e-13,167880.40181225786,-5.997674803491254,0.11836173495859728
A75,2e-13,172782.59805078822,-5.997536860307434,0.12181516650680219
A75,2e-13,177827.94100389423,-5.997390750375922,0.12536918828917143
A75,2e-13,183020.61063110761,-5.997235990627855,0.12902671490847695
A75,2e-13,188364.90894898213,-5.997072069472578,0.13279074403300964
