candidate,kind,refined,amplitude_peak_v,capacitance_f,numerical_usable,terminal_supported,out_v,gain,bandwidth_hz,current_a,thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,all_assessed_pass,dc_at_low_input_v,dc_at_high_input_v,settling_band_v,input_rise_settling_s,input_fall_settling_s,excursion_outside_dc_interval_v,capacitor_current_min_a,capacitor_current_max_a,transient_kcl_max_a,Vdd_min_delivered_current_a,Vdd_max_delivered_current_a,Vdd_average_positive_delivery_a,Vdd_average_absorption_a,Vin_min_delivered_current_a,Vin_max_delivered_current_a,Vin_average_positive_delivery_a,Vin_average_absorption_a
A75,sine,False,0.01,1e-12,True,True,0.49999999999186784,-6.000001801053732,1747488.9012599357,7.498916006439167e-05,0.009216627507093426,5.996508322114996,0.4389412544484883,0.5588484210111178,True,True,,,,,,,-3.772322743879626e-09,3.772460473283382e-09,2.1006417091906648e-19,7.493711858580679e-05,7.50389933474812e-05,7.498841874531792e-05,0.0,3.24341133215323e-10,4.459435588269507e-10,3.843243054157546e-10,0.0
A75,sine,False,0.02,1e-12,True,True,0.49999999999186784,-6.000001801053732,1747488.9012599357,7.498916006439167e-05,0.018521039786236135,5.985889328885292,0.37594879839284,0.61519012445305,True,True,,,,,,,-7.559377331499962e-09,7.559946119946548e-09,2.286988957586611e-19,7.48829430655038e-05,7.508832749912582e-05,7.498724982328048e-05,0.0,2.661942808106915e-10,5.164262387950119e-10,3.8705321892472434e-10,0.0
A75,capacitance,False,,2e-13,True,True,0.49999999999186784,-6.000003684201746,8531570.580530949,7.498916006439167e-05,,,,,,True,,,,,,,,,,,,,,,,,
A75,capacitance,False,,8e-12,True,True,0.49999999999186784,-5.999879347588435,219600.42060059973,7.498916006439167e-05,,,,,,False,,,,,,,,,,,,,,,,,
A75,capacitance,False,,1.6e-11,True,True,0.49999999999186784,-5.999506516688098,109849.29262940766,7.498916006439167e-05,,,,,,False,,,,,,,,,,,,,,,,,
A75,step,False,,1e-12,True,True,,,,,,,,,,,0.6151922950018109,0.37594624241588637,0.002392460525859246,4.1630562013368064e-07,4.1114427383243534e-07,2.127878464541766e-07,-2.4960942220791926e-06,2.484785829145325e-06,2.3684735271124746e-17,7.488293197367349e-05,7.508833990142863e-05,7.4971137348953e-05,0.0,-5.284513998480211e-08,5.177312904991937e-08,4.338605524203721e-10,6.018024275686999e-11
A75,step,False,,8e-12,True,True,,,,,,,,,,,0.6151922950018109,0.37594624241588637,0.002392460525859246,3.3402968072499903e-06,3.302261129932776e-06,1.85865617341463e-08,-2.6300697643644178e-06,2.621112460021724e-06,3.14161132004831e-16,7.488293970852011e-05,7.508828314858087e-05,7.497235807443103e-05,0.0,-4.8381823886090546e-08,4.78552846181206e-08,4.1599283535563973e-10,4.147601649707077e-11
R75,sine,False,0.01,1e-12,True,True,0.5000000000000068,-5.999999999999699,25185642.22272122,7.499999999999766e-05,0.02087729585401895,5.998269931987528,0.4375186648604871,0.5574722608773472,True,False,,,,,,,-3.782953906486365e-09,3.782961330948682e-09,8.131516293641283e-19,6.637393340163445e-05,8.436555582307754e-05,7.518201909962156e-05,0.0,4.828682923343e-09,7.085684261662513e-09,5.931495899129833e-09,0.0
R75,sine,False,0.02,1e-12,True,True,0.5000000000000068,-5.999999999999699,25185642.22272122,7.499999999999766e-05,0.04155856813130364,5.992789128446607,0.3702334711217609,0.6098440757415367,True,False,,,,,,,-7.640970015484509e-09,7.6409688468196e-09,8.673617379884035e-19,5.851877982683226e-05,9.445754006113787e-05,7.574260738820287e-05,0.0,3.855247768702781e-09,8.385317459488895e-09,6.011226712712895e-09,0.0
R75,capacitance,False,,2e-13,True,True,0.5000000000000068,-6.000000009146676,112618914.65920228,7.499999999999766e-05,,,,,,True,,,,,,,,,,,,,,,,,
R75,capacitance,False,,8e-12,True,True,0.5000000000000068,-5.99999943171638,3226425.1940363655,7.499999999999766e-05,,,,,,True,,,,,,,,,,,,,,,,,
R75,capacitance,False,,1.6e-11,True,True,0.5000000000000068,-5.999997709179448,1616038.871355966,7.499999999999766e-05,,,,,,True,,,,,,,,,,,,,,,,,
R75,step,False,,1e-12,True,True,,,,,,,,,,,0.6098441572860669,0.370233357312817,0.0023961079997324992,2.5661616272294112e-08,2.5455705159736598e-08,3.9226092446442706e-07,-1.975082169883291e-05,1.823089681943224e-05,7.371219520185823e-17,5.851872436636088e-05,9.445761596564006e-05,7.391974883220236e-05,0.0,-5.503925032398029e-07,6.281483761195724e-07,6.232795272227369e-09,4.3619870106236595e-10
R75,step,False,,8e-12,True,True,,,,,,,,,,,0.6098441572860669,0.370233357312817,0.0023961079997324992,2.216504998005728e-07,2.2409825889048694e-07,6.710431799117345e-08,-3.536670426981803e-05,3.477368779548906e-05,1.4224732503009818e-15,5.8518762060755846e-05,9.445756719599007e-05,7.392072180358352e-05,0.0,-4.3811348985869003e-07,4.805025569726762e-07,6.196985573659231e-09,4.0019066808954963e-10
F75S,sine,False,0.01,1e-12,True,True,0.4999999999908913,-6.000000000027329,9308995.884411108,7.499999999994958e-05,0.003513214308821483,5.9970268436864345,0.43961890761629174,0.5595392695432573,True,True,,,,,,,-3.7703198801302095e-09,3.770239232820565e-09,2.8444425159983473e-19,7.483733740494859e-05,7.5145484392842e-05,7.499574011552657e-05,0.0,-1.0843954169561143e-06,1.8794015050021921e-07,3.097039582497574e-08,4.811155884760259e-07
F75S,sine,False,0.02,1e-12,True,True,0.4999999999908913,-6.000000000027329,9308995.884411108,7.499999999994958e-05,0.007329193709488877,5.9872059112989175,0.3786013920385334,0.6179052808878953,True,True,,,,,,,-7.542846265465341e-09,7.542509916472995e-09,3.478129039662971e-19,7.464357150313148e-05,7.52802658832956e-05,7.49815989266639e-05,0.0,-1.706080181374046e-06,8.33723437738802e-07,2.082305650819403e-07,6.524443807999238e-07
