candidate,frequency_hz,output_psd_v2_per_hz,input_psd_v2_per_hz
A75,1000.0,2.987224247142791e-12,8.297837429025457e-14
A75,1014.4952080687361,2.9450021114129616e-12,8.180553906884827e-14
A75,1029.2005271944283,2.903383249325544e-12,8.064946141063583e-14
A75,1044.1190029805646,2.8623590412407185e-12,7.950990192758457e-14
A75,1059.2537251772892,2.8219209906768266e-12,7.838662456001057e-14
A75,1074.6078283213178,2.782060722550684e-12,7.727939671447395e-14
A75,1090.1844923851281,2.7427699814430233e-12,7.618798902608405e-14
A75,1105.98694343556,2.704040629888734e-12,7.511217550329732e-14
A75,1122.018454301964,2.6658646466914997e-12,7.405173328599048e-14
A75,1138.2823452540329,2.6282341252625543e-12,7.300644279728815e-14
A75,1154.781984689459,2.5911412719831513e-12,7.19760874971986e-14
A75,1171.520789831561,2.554578404590426e-12,7.096045404160112e-14
A75,1188.5022274370194,2.5185379505863437e-12,6.995933203123506e-14
A75,1205.7298145138755,2.4830124456693554e-12,6.89725141779852e-14
A75,1223.2071190499328,2.447994532188483e-12,6.79997960490089e-14
A75,1240.9377607517208,2.4134769576194807e-12,6.704097624046435e-14
A75,1258.9254117941684,2.3794525730627686e-12,6.609585611655692e-14
A75,1277.1737975811443,2.345914331762833e-12,6.516423999086106e-14
A75,1295.686697517021,2.3128552876487806e-12,6.424593486006276e-14
A75,1314.4679457894238,2.280268593895748e-12,6.334075059303266e-14
A75,1333.5214321633257,2.248147501506855e-12,6.244849965903636e-14
A75,1352.851102786652,2.216485357915434e-12,6.156899732472302e-14
A75,1372.4609610075638,2.1852756056072147e-12,6.070206137657049e-14
A75,1392.3550682035861,2.154511780762217e-12,5.984751232596095e-14
A75,1412.5375446227565,2.124187511916022e-12,5.900517312562239e-14
A75,1433.012570236965,2.094296518640193e-12,5.81748693829695e-14
A75,1453.7843856076643,2.0648326102415377e-12,5.73564290702983e-14
A75,1474.8572927641271,2.0357896844799615e-12,5.654968274657804e-14
A75,1496.235656094436,2.007161726304641e-12,5.5754463261148856e-14
A75,1517.923903249387,1.9789428066082466e-12,5.497060598415868e-14
A75,1539.926526059495,1.9511270809989783e-12,5.419794850350847e-14
A75,1562.2480814652934,1.923708788590129e-12,5.343633086413512e-14
A75,1584.8931924611168,1.896682250806968e-12,5.268559525794278e-14
A75,1607.866549052564,1.8700418702106415e-12,5.1945586272140826e-14
A75,1631.1729092278417,1.8437821293388984e-12,5.121615057189276e-14
A75,1654.817099943185,1.8178975895633802e-12,5.0497137157927395e-14
A75,1678.804018122564,1.7923828899632248e-12,4.97883970416301e-14
A75,1703.1386316718808,1.7672327462147677e-12,4.9089783512152314e-14
A75,1727.8259805078674,1.7424419494971226e-12,4.840115180366405e-14
A75,1752.871177601897,1.7180053654133748e-12,4.7722359372196e-14
A75,1778.2794100389272,1.693917932927212e-12,4.705326555476396e-14
A75,1804.0559400917907,1.6701746633147285e-12,4.639373185618681e-14
A75,1830.2061063110607,1.6467706391312244e-12,4.5743621599786207e-14
A75,1856.735324630711,1.6237010131927494e-12,4.510280022443264e-14
A75,1883.6490894898054,1.60096100757221e-12,4.447113492651586e-14
A75,1910.9529749704457,1.5785459126098228e-12,4.3848494967480973e-14
A75,1938.6526359522127,1.5564510859376932e-12,4.323475130675697e-14
A75,1966.7538092833438,1.5346719515183436e-12,4.262977692005354e-14
A75,1995.2623149688852,1.5132039986969718e-12,4.2033446422927115e-14
A75,2024.1840573760674,1.492042781267258e-12,4.144563640011968e-14
A75,2053.525026457152,1.471183916550506e-12,4.086622501943205e-14
A75,2083.291298990005,1.4506230844879633e-12,4.0295092372396106e-14
A75,2113.489039836653,1.4303560267460837e-12,3.9732120078117066e-14
A75,2144.1245032200786,1.4103785458345984e-12,3.917719163558018e-14
A75,2175.2040340195294,1.3906865042371717e-12,3.8630192017113705e-14
A75,2206.7340690845967,1.3712758235544886e-12,3.809100803264298e-14
A75,2238.7211385683468,1.3521424836595704e-12,3.7559527912415787e-14
A75,2271.171867279773,1.3332825218651806e-12,3.703564168352746e-14
A75,2304.0929760558533,1.3146920321031145e-12,3.6519240741540904e-14
A75,2337.4912831534966,1.2963671641152113e-12,3.601021823961729e-14
A75,2371.3737056616637,1.278304122655933e-12,3.550846864865176e-14
A75,2405.7472609339593,1.2604991667063375e-12,3.5013888159357395e-14
A75,2440.619068041989,1.2429486086992752e-12,3.452637423052663e-14
A75,2475.9963492497827,1.2256488137556566e-12,3.4045826004427067e-14
A75,2511.8864315095893,1.208596198931645e-12,3.3572143842788353e-14
A75,2548.296747979356,1.1917872324765874e-12,3.3105229755881443e-14
A75,2585.2348395622007,1.1752184331015602e-12,3.264498692581759e-14
A75,2622.7083564682007,1.15888636925836e-12,3.219132014969611e-14
A75,2660.7250597988204,1.1427876584288015e-12,3.1744135349790707e-14
A75,2699.2928231543046,1.1269189664241614e-12,3.130334003116342e-14
A75,2738.4196342643727,1.1112770066946409e-12,3.086884277830072e-14
A75,2778.1135966425472,1.0958585396486902e-12,3.044055372760568e-14
A75,2818.382931264466,1.0806603719820574e-12,3.001838405003317e-14
A75,2859.235978270519,1.0656793560164265e-12,2.960224643888617e-14
A75,2900.6811986931666,1.050912389047503e-12,2.9192054577985715e-14
A75,2942.727176209295,1.0363564127024171e-12,2.878772364521235e-14
A75,2985.382618917973,1.0220084123063007e-12,2.8389169765732463e-14
A75,3028.6563611439774,1.007865416257926e-12,2.7996310531740827e-14
A75,3072.5573652674607,9.939244954142553e-13,2.7609064440250473e-14
A75,3117.0947235801405,9.801827624837873e-13,2.7227351429507754e-14
A75,3162.277660168394,9.66637371428575e-13,2.685109230083794e-14
A75,3208.115532823651,9.53285516874781e-13,2.6480209272220886e-14
A75,3254.617834980474,9.40124433531659e-13,2.6114625383668038e-14
A75,3301.7941976827356,9.271513956188362e-13,2.5754265068463792e-14
A75,3349.6543915782927,9.143637163017777e-13,2.5399053541533925e-14
A75,3398.208328942576,9.017587471353175e-13,2.5048917388874534e-14
A75,3447.4660657315108,8.893338775151376e-13,2.4703783938354867e-14
A75,3497.437803664196,8.770865341370917e-13,2.4363581867874165e-14
A75,3548.133892335772,8.650141804642447e-13,2.402824055802416e-14
A75,3599.564831360914,8.531143162015327e-13,2.3697690719532397e-14
A75,3651.7412725483955,8.413844767779293e-13,2.3371863727191942e-14
A75,3704.674022107176,8.298222328360036e-13,2.3050692267168908e-14
A75,3758.3740428844612,8.184251897287829e-13,2.2734109651587716e-14
A75,3812.8524566362084,8.071909870237927e-13,2.2422050486300904e-14
A75,3868.1205463305423,7.961172980141932e-13,2.2114449965498465e-14
A75,3924.189758484557,7.852018292368867e-13,2.1811244560558325e-14
A75,3981.071705534994,7.744423199975289e-13,2.151237129402859e-14
A75,4038.7781682432824,7.638365419023082e-13,2.1217768450198392e-14
A75,4097.321098135438,7.533822983964254e-13,2.0927374827780044e-14
A75,4156.712619977334,7.430774243091683e-13,2.064113047286251e-14
A75,4216.965034285847,7.329197854054777e-13,2.0358975909599092e-14
A75,4278.0908198764055,7.229072779439286e-13,2.008085289622791e-14
A75,4340.102636447464,7.130378282410239e-13,1.9806703633048283e-14
A75,4403.01332720244,7.033093922417105e-13,1.9536471542216515e-14
A75,4466.835921509658,6.937199550960378e-13,1.9270100452270366e-14
A75,4531.583637600846,6.84267530741859e-13,1.9007535402433202e-14
A75,4597.26988530875,6.749501614934968e-13,1.874872180292133e-14
A75,4663.908268844436,6.657659176362868e-13,1.8493606264515016e-14
A75,4731.512589614835,6.567128970269124e-13,1.8242135733858267e-14
A75,4800.0968490811465,6.477892246994509e-13,1.7994258349081488e-14
A75,4869.675251658663,6.389930524770475e-13,1.7749922549276984e-14
A75,4940.26220765863,6.303225585891396e-13,1.7509077956985473e-14
A75,5011.872336272756,6.217759472941417e-13,1.7271674461003005e-14
A75,5084.520468600972,6.133514485075394e-13,1.7037663126572117e-14
A75,5158.2216507230905,6.050473174352719e-13,1.680699525064769e-14
