candidate,vector,value
A75,@m.xn0.mapm045_vtg_core[gds],2.296811116229576e-07
A75,@m.xn0.mapm045_vtg_core[gm],7.611041102367385e-05
A75,@m.xn0.mapm045_vtg_core[gmbs],1.6904574747069103e-05
A75,@m.xn0.mapm045_vtg_core[vdsat],0.06307795997733026
A75,@m.xn0.mapm045_vtg_core[vth],0.42144922437696225
A75,@m.xn1.mapm045_vtg_core[gds],2.296811116229577e-07
A75,@m.xn1.mapm045_vtg_core[gm],7.61104110236739e-05
A75,@m.xn1.mapm045_vtg_core[gmbs],1.6904574747069114e-05
A75,@m.xn1.mapm045_vtg_core[vdsat],0.06307795997733026
A75,@m.xn1.mapm045_vtg_core[vth],0.42144922437696225
A75,@m.xp0.mapm045_vtg_core[gds],8.468620564011871e-07
A75,@m.xp0.mapm045_vtg_core[gm],0.00016850135947285203
A75,@m.xp0.mapm045_vtg_core[gmbs],3.525973369034086e-05
A75,@m.xp0.mapm045_vtg_core[vdsat],0.12981596065073817
A75,@m.xp0.mapm045_vtg_core[vth],0.383936026616521
A75,@m.xr0.mapm045_vtg_core[gds],8.584894094228078e-07
A75,@m.xr0.mapm045_vtg_core[gm],0.00016836860293689763
A75,@m.xr0.mapm045_vtg_core[gmbs],3.523195008567211e-05
A75,@m.xr0.mapm045_vtg_core[vdsat],0.12981048075881266
A75,@m.xr0.mapm045_vtg_core[vth],0.3839439324850539
A75,@m.xr1.mapm045_vtg_core[gds],8.584894094228078e-07
A75,@m.xr1.mapm045_vtg_core[gm],0.00016836860293689763
A75,@m.xr1.mapm045_vtg_core[gmbs],3.523195008567211e-05
A75,@m.xr1.mapm045_vtg_core[vdsat],0.12981048075881266
A75,@m.xr1.mapm045_vtg_core[vth],0.3839439324850539
A75,@m.xr2.mapm045_vtg_core[gds],8.584894094228078e-07
A75,@m.xr2.mapm045_vtg_core[gm],0.00016836860293689763
A75,@m.xr2.mapm045_vtg_core[gmbs],3.523195008567211e-05
A75,@m.xr2.mapm045_vtg_core[vdsat],0.12981048075881266
A75,@m.xr2.mapm045_vtg_core[vth],0.3839439324850539
A75,@m.xr3.mapm045_vtg_core[gds],8.584894094228078e-07
A75,@m.xr3.mapm045_vtg_core[gm],0.00016836860293689763
A75,@m.xr3.mapm045_vtg_core[gmbs],3.523195008567211e-05
A75,@m.xr3.mapm045_vtg_core[vdsat],0.12981048075881266
A75,@m.xr3.mapm045_vtg_core[vth],0.3839439324850539
A75,@m.xr4.mapm045_vtg_core[gds],8.584894094228078e-07
A75,@m.xr4.mapm045_vtg_core[gm],0.00016836860293689763
A75,@m.xr4.mapm045_vtg_core[gmbs],3.523195008567211e-05
A75,@m.xr4.mapm045_vtg_core[vdsat],0.12981048075881266
A75,@m.xr4.mapm045_vtg_core[vth],0.3839439324850539
A75,i(Vdd),-7.498877638858674e-05
A75,i(Vin),-3.836758881523711e-10
A75,i(Vn0b),-1.4915494480459754e-12
A75,i(Vn0d),3.7525211395082462e-06
A75,i(Vn0g),1.9183798993793744e-10
A75,i(Vn0s),-3.7527114859295e-06
A75,i(Vn1b),-1.4915494480459748e-12
A75,i(Vn1d),3.7525211395082467e-06
A75,i(Vn1g),1.918379344267862e-10
A75,i(Vn1s),-3.752711485929508e-06
A75,i(Vp0b),9.630907182867077e-13
