candidate,uid,channel,step,first_derivative,refined_step,derivative,half_step_relative_change
F75S,ads/gain/input/0,delvto_v,0.0001,2.5002476536994944,5e-05,2.500247473581907,-7.203989860204985e-08
F75S,ads/gain/input/0,ln_mulu0,0.001,-0.12349578251960591,0.0005,-0.12349578049991594,-1.635432345103993e-08
F75S,ads/gain/input/1,delvto_v,0.0001,2.5002476359717307,0.0001,2.5002476359717307,
F75S,ads/gain/input/1,ln_mulu0,0.001,-0.12349577920059418,0.001,-0.12349577920059418,
F75S,ads/gain/input/2,delvto_v,0.0001,2.5002476251975714,0.0001,2.5002476251975714,
F75S,ads/gain/input/2,ln_mulu0,0.001,-0.12349578325318578,0.001,-0.12349578325318578,
F75S,ads/gain/reference/0,delvto_v,0.0001,-4.599818108484421,5e-05,-4.599818340727535,5.048962981035743e-08
F75S,ads/gain/reference/0,ln_mulu0,0.001,-0.44994319526453497,0.0005,-0.4499432158359684,4.5720067953780585e-08
F75S,ads/gain/load/0,delvto_v,0.0001,6.025036541862094,5e-05,6.0250371498205,1.0090534763307346e-07
F75S,ads/gain/load/0,ln_mulu0,0.001,0.5894837321925861,0.0005,0.5894837556543187,3.9800474915807627e-08
F75L,ads/gain/input/0,delvto_v,0.0001,2.500246016393648,5e-05,2.5002458819006756,-5.37918954934824e-08
F75L,ads/gain/input/0,ln_mulu0,0.001,-0.12252291808140248,0.0005,-0.12252291566983153,-1.968261109652758e-08
F75L,ads/gain/input/1,delvto_v,0.0001,2.5002460714473873,0.0001,2.5002460714473873,
F75L,ads/gain/input/1,ln_mulu0,0.001,-0.12252291051098596,0.001,-0.12252291051098596,
F75L,ads/gain/input/2,delvto_v,0.0001,2.5002459980283387,0.0001,2.5002459980283387,
F75L,ads/gain/input/2,ln_mulu0,0.001,-0.12252291452316544,0.001,-0.12252291452316544,
F75L,ads/gain/reference/0,delvto_v,0.0001,-4.710033122778401,5e-05,-4.710033403324543,5.9563517895711016e-08
F75L,ads/gain/reference/0,ln_mulu0,0.001,-0.4748534176093333,0.0005,-0.47485345904263454,8.725492905981014e-08
F75L,ads/gain/load/0,delvto_v,0.0001,6.187894147113293,5e-05,6.1878947712901144,1.0087063651020856e-07
F75L,ads/gain/load/0,ln_mulu0,0.001,0.6242142765314485,0.0005,0.6242142962300523,3.1557438884277644e-08
