candidate,refined,capacitance_f,amplitude_peak_v,time_s,input_v,output_v,capacitor_current_a,supply_delivered_current_a,input_delivered_current_a
A75,False,1e-12,,0.0,0.43,0.61519229500181,0.0,7.488294081931332e-05,2.6920861893875436e-10
A75,False,1e-12,,2e-08,0.43,0.6151922950029779,7.36953900681847e-17,7.488294081989355e-05,2.692086186221673e-10
A75,False,1e-12,,4e-08,0.43,0.615192295003906,6.98963456557955e-17,7.488294081993488e-05,2.692086196586646e-10
A75,False,1e-12,,6.000000000000001e-08,0.43,0.6151922950049319,2.834538159746032e-17,7.488294081973071e-05,2.692086205932469e-10
A75,False,1e-12,,8e-08,0.43,0.6151922950055245,4.342446541238916e-17,7.488294081988327e-05,2.692086210919799e-10
A75,False,1e-12,,1e-07,0.43,0.6151922950060923,2.479787208908919e-17,7.488294081980103e-05,2.692086216601018e-10
A75,False,1e-12,,1.2000000000000002e-07,0.43,0.6151922950062788,-2.1944251971131087e-18,7.488294081966815e-05,2.6920862182273213e-10
A75,False,1e-12,,1.4e-07,0.43,0.6151922950064077,-2.4268781428914764e-17,7.48829408195275e-05,2.6920862202656215e-10
A75,False,1e-12,,1.6e-07,0.43,0.6151922950066997,1.368696822545671e-17,7.488294081976963e-05,2.692086221978661e-10
A75,False,1e-12,,1.8e-07,0.43,0.6151922950069709,6.7350638954776306e-18,7.488294081976002e-05,2.6920862251878993e-10
A75,False,1e-12,,2e-07,0.43,0.6151922950070634,-1.0351962342890278e-17,7.488294081965803e-05,2.6920862277683006e-10
A75,False,1e-12,,2.2e-07,0.43,0.6151922950071709,-2.706602303393475e-17,7.488294081955854e-05,2.692086229871653e-10
A75,False,1e-12,,2.4000000000000003e-07,0.43,0.6151922950072145,2.137179322403417e-17,7.488294081984177e-05,2.692086228874187e-10
A75,False,1e-12,,2.6e-07,0.43,0.61519229500733,-5.8633653488006826e-18,7.488294081969902e-05,2.6920862311293273e-10
A75,False,1e-12,,2.8e-07,0.43,0.6151922950074558,4.870236158796583e-18,7.488294081979367e-05,2.6920862312811154e-10
A75,False,1e-12,,3e-07,0.43,0.6151922950076417,1.8184238836914903e-17,7.488294081987609e-05,2.6920862311293273e-10
A75,False,1e-12,,3.2e-07,0.43,0.6151922950074854,-1.6106907474449584e-17,7.488294081964792e-05,2.6920862318232165e-10
A75,False,1e-12,,3.4000000000000003e-07,0.43,0.6151922950074923,-1.2238474123000529e-17,7.488294081969452e-05,2.6920862317364804e-10
A75,False,1e-12,,3.6e-07,0.43,0.6151922950074087,-2.833237117140366e-17,7.488294081959205e-05,2.6920862320617413e-10
A75,False,1e-12,,3.8e-07,0.43,0.6151922950073233,-1.5443375744879553e-17,7.488294081967292e-05,2.6920862311943793e-10
A75,False,1e-12,,4e-07,0.43,0.6151922950075751,2.5860390218140918e-17,7.488294081992468e-05,2.692086230890803e-10
A75,False,1e-12,,4.2e-07,0.43,0.6151922950076426,8.825405684031691e-18,7.488294081983307e-05,2.6920862318232165e-10
A75,False,1e-12,,4.4e-07,0.43,0.6151922950075159,-2.913901758774503e-17,7.488294081958002e-05,2.6920862322135294e-10
A75,False,1e-12,,4.6e-07,0.43,0.6151922950074805,-2.0365653607953174e-17,7.488294081963111e-05,2.6920862323653176e-10
A75,False,1e-12,,4.800000000000001e-07,0.43,0.615192295007322,3.491130995379605e-18,7.48829408197683e-05,2.6920862308257504e-10
A75,False,1e-12,,5e-07,0.43,0.6151922950072731,7.329206686024378e-18,7.48829408197907e-05,2.692086230413754e-10
A75,False,1e-12,,5.2e-07,0.43,0.6151922950073764,-1.1657341758560385e-17,7.488294081967719e-05,2.6920862318232165e-10
A75,False,1e-12,,5.4e-07,0.43,0.6151922950071866,-1.3834419720913732e-18,7.488294081973301e-05,2.692086230348702e-10
A75,False,1e-12,,5.6e-07,0.43,0.615192295007441,1.7347234759771966e-17,7.488294081982879e-05,2.6920862313678515e-10
A75,False,1e-12,,5.800000000000001e-07,0.43,0.6151922950073604,-3.6429192995601166e-18,7.488294081970156e-05,2.6920862319099526e-10
A75,False,1e-12,,6e-07,0.43,0.6151922950073468,-1.634109514369036e-17,7.488294081962955e-05,2.692086231432904e-10
A75,False,1e-12,,6.2e-07,0.43,0.6151922950076149,1.7429634124876195e-17,7.48829408198397e-05,2.692086231042591e-10
A75,False,1e-12,,6.4e-07,0.43,0.6151922950077592,-1.0273899786477674e-17,7.488294081968701e-05,2.6920862328206826e-10
A75,False,1e-12,,6.6e-07,0.43,0.61519229500761,-5.3256010712636495e-18,7.488294081971381e-05,2.6920862315846923e-10
A75,False,1e-12,,6.800000000000001e-07,0.43,0.6151922950076976,2.0070750617064755e-17,7.488294081987263e-05,2.6920862315846923e-10
A75,False,1e-12,,7e-07,0.43,0.6151922950076857,-1.5295924249413052e-17,7.48829408196543e-05,2.6920862322785815e-10
A75,False,1e-12,,7.2e-07,0.43,0.6151922950076332,1.0963452368196032e-17,7.488294081979562e-05,2.692086231975005e-10
A75,False,1e-12,,7.4e-07,0.43,0.6151922950077494,1.1622647289342679e-18,7.488294081977334e-05,2.6920862325171063e-10
A75,False,1e-12,,7.6e-07,0.43,0.6151922950077402,-6.032500887844444e-18,7.488294081975296e-05,2.692086233514572e-10
A75,False,1e-12,,7.8e-07,0.43,0.6151922950077893,-1.9576354426363053e-17,7.488294081965771e-05,2.6920862337530966e-10
A75,False,1e-12,,8e-07,0.43,0.6151922950077603,5.7939764095886594e-18,7.488294081981213e-05,2.6920862326688944e-10
A75,False,1e-12,,8.2e-07,0.43,0.6151922950078834,-6.22765727862933e-18,7.488294081974915e-05,2.6920862342301456e-10
A75,False,1e-12,,8.4e-07,0.43,0.6151922950078427,8.187894806388204e-18,7.488294081982484e-05,2.692086233514572e-10
A75,False,1e-12,,8.6e-07,0.43,0.6151922950079423,-1.6219664502137415e-18,7.488294081978003e-05,2.692086234837299e-10
A75,False,1e-12,,8.8e-07,0.43,0.615192295008006,-4.35155383946695e-17,7.48829408195182e-05,2.692086236160025e-10
A75,False,1e-12,,9.000000000000001e-07,0.43,0.6151922950078839,8.591218014423996e-18,7.488294081983121e-05,2.6920862342951977e-10
A75,False,1e-12,,9.2e-07,0.43,0.6151922950078252,-3.2430655383227774e-17,7.488294081956159e-05,2.6920862338398327e-10
A75,False,1e-12,,9.4e-07,0.43,0.6151922950077621,-7.467984564391169e-18,7.488294081971011e-05,2.692086233904885e-10
A75,False,1e-12,,9.600000000000001e-07,0.43,0.6151922950076995,-9.883587004448868e-18,7.488294081968892e-05,2.6920862327556305e-10
A75,False,1e-12,,9.8e-07,0.43,0.6151922950075229,-3.0587511689990356e-17,7.48829408195363e-05,2.6920862320617413e-10
