candidate,condition,out_v,gain,bandwidth_hz,current_a
R37,nominal,0.5000000000000062,-5.999999999999938,13639741.688986896,3.749999999999978e-05
R37,supply_095,0.45665490251901164,-5.986092766604294,13644051.410839157,3.7000921259142125e-05
R37,hot_85,0.613502653877871,-3.7425446294602764,13568624.03085744,2.8988192117421195e-05
R37,load_80k_2p,0.4859537541965402,-5.827247433834385,7049775.210647494,3.855339225472943e-05
R37,load_120k,0.5098255425239298,-6.120920049104074,13376432.514691029,3.6763137428599256e-05
A37,nominal,0.4999999999984522,-5.999999999994579,1747127.5867924634,3.7499999999926617e-05
A37,supply_095,0.400106498205533,-6.036194884130005,1734098.0600267206,3.435558412967999e-05
A37,hot_85,0.504821538974671,-5.315928394829222,1734622.1601392524,3.5466802899165985e-05
A37,load_80k_2p,0.4075449519076423,-4.903309225526026,1070939.8877180177,3.75750726960522e-05
A37,load_120k,0.5884075246777634,-6.994027624301422,1500504.4579932343,3.742064576515308e-05
R75,nominal,0.5000000000000061,-5.999999999999706,25185642.222723454,7.49999999999977e-05
R75,supply_095,0.45393543955908117,-5.988043200310866,25177315.08829199,7.440973885237622e-05
R75,hot_85,0.6084181546925354,-4.177942568041148,25167324.932462662,5.873954703822591e-05
R75,load_80k_2p,0.4924362186912085,-5.907417293724626,12967360.772722155,7.613447970553346e-05
R75,load_120k,0.5051733279764086,-6.063337976074056,24928530.052985236,7.422406051768247e-05
A75,nominal,0.4999999999931346,-6.00000180105283,1747488.9012599294,7.49891600644749e-05
A75,supply_095,0.40010678022511464,-6.036201278454809,1734431.7580279273,6.865806411262818e-05
A75,hot_85,0.5048397464995699,-5.315917882518949,1734979.6882079798,7.094965244574991e-05
A75,load_80k_2p,0.4075448792790169,-4.903316247565488,1071039.54223691,7.506423183724356e-05
A75,load_120k,0.5884075919737288,-6.99403858241253,1500835.7886447627,7.490980640289641e-05
