candidate,index,condition,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,dc_ac_current_pass,sine_thd_fraction,sine_gain,sine_stationary,sine_min_v,sine_max_v,all_assessed_pass,forecast_v,realization_sha256,attempt_sha256
R37,1000,nominal,True,True,0.5146791602530518,0.014679160253051826,-5.822334998184231,5.822178384106707,5.82233501404768,13631607.15324215,3.639903551750882e-05,3.6397583320780734e-05,True,0.014138695133405257,5.8228226148361575,True,0.4847409578339068,0.5429708100927813,True,0.5162070550690684,790afb1847473d5899b7cc1edfe6694442d57a84df7bc2f0b2657f9456e0a61a,c96301d94b46b512ab25548a62dc5656986aa56be00efbaef950e689955498f9
R37,1000,supply_097,True,True,0.4886491364745431,-0.011350863525456889,-5.814744410813456,5.814588039356931,5.814744426653219,13633289.247812327,3.610131135000385e-05,3.5016897865962885e-05,True,,,,,,True,0.49019279266434734,790afb1847473d5899b7cc1edfe6694442d57a84df7bc2f0b2657f9456e0a61a,7e8b418a7dd6a1e0ddcebfd84dd2e627347f3ba9c854c9e873d321bbbdd9d6f9
R37,1001,nominal,True,True,0.4903199436310455,-0.009680056368954526,-6.10550184797459,6.105337944803459,6.105501864579241,13645279.802195076,3.822601880881855e-05,3.822446984074403e-05,True,0.013659700529003607,6.105807144421398,True,0.4589563697802861,0.5200154440207381,True,0.49105134648192905,d7f98a277facccf354efbd6a98fb28c621d730c6770f7e5dff89d77ea40e6575,df895ff6012e76744f10b9a81a62235eb95030e5036de7bc2ab0d073ed1e4893
R37,1001,supply_097,True,True,0.4643232317853967,-0.035676768214603305,-6.096944700969506,6.096781093147618,6.0969447175451625,13648028.64214902,3.792579559017558e-05,3.6786556522450936e-05,False,,,,,,False,0.465037084077208,d7f98a277facccf354efbd6a98fb28c621d730c6770f7e5dff89d77ea40e6575,ce99c370f2d13e4c58588957c4a183e8b3e004e91cb9d19a4e36fc1db8e4d889
R37,1002,nominal,True,True,0.502202198440356,0.0022021984403559625,-5.9723340432084004,5.972173556510137,5.972334059465515,13638517.127719589,3.733482647596189e-05,3.733332620445846e-05,True,0.013903291450331583,5.9727330376279495,True,0.4715074606837131,0.5312361162185941,True,0.5028373351159885,f70b3ed48c454adb6f43d525ba589285b25e12b99baacbbb79e456ca74e7b5e1,b6d73760f7b4e9982ddb31e6f3944bbea95fe6e1e023dde675259c9cf34c8709
R37,1002,supply_097,True,True,0.4761890430656468,-0.0238109569343532,-5.964273893331912,5.964113674144533,5.964273909562837,13640693.469398687,3.70358368214632e-05,3.5923342354469685e-05,True,,,,,,True,0.47682307271126745,f70b3ed48c454adb6f43d525ba589285b25e12b99baacbbb79e456ca74e7b5e1,9e61b094d0ab45150095ff67876ede83f5bbf5aaa97119fd455c2a437ceb871f
R37,1003,nominal,True,True,0.47868030532323647,-0.021319694676763534,-6.236175169572842,6.236007926976279,6.2361751865175,13652180.655227205,3.9099018382038546e-05,3.909741953802421e-05,True,0.013424379323519725,6.236377657920835,True,0.4466608968281396,0.5090253185857225,True,0.4792295774662872,03050d7998fad62e0fb1d1bed5a624d3d1179853560201b012b96657bffeeb27,2c96b33712dfee80144418bf87017aa850660761957c26d288d169545ae42ff6
R37,1003,supply_097,True,True,0.4527003247400936,-0.047299675259906415,-6.227066785245814,6.2268998699402305,6.227066802158255,13655591.457605839,3.87975400672919e-05,3.763210168838148e-05,False,,,,,,False,0.45321531506156615,03050d7998fad62e0fb1d1bed5a624d3d1179853560201b012b96657bffeeb27,23e3bc4de28f90a683e9b9b201a3d7d50d8abf6ab4860d9b81755d5eb8fd28df
R37,1004,nominal,True,True,0.5183202968722798,0.018320296872279762,-5.790869210157753,5.790713400672773,5.790869225939133,13629772.392861834,3.6125935504039554e-05,3.612450243765857e-05,True,,,,,,True,0.5188441818864342,f1d501cea13f202018e02a1c28772d4d47c5791942dd7802e959a67bb9457ba1,efc364a9cd056b6d53f998f19ae72456f90edd21f1abb9f0dd6844eb0c5bab39
R37,1004,supply_097,True,True,0.4922857992228402,-0.007714200777159785,-5.78339354978044,5.783237976513775,5.783393565538776,13631314.931657871,3.582854698979642e-05,3.47523344519171e-05,True,,,,,,True,0.4928299194817132,f1d501cea13f202018e02a1c28772d4d47c5791942dd7802e959a67bb9457ba1,b62cf1075f11a87b473cb525560b1fd37f92c03d1e452cdd1014b5eddc148418
R37,1005,nominal,True,True,0.48584690624868543,-0.014153093751314572,-6.155562568636771,6.155397383878629,6.155562585372136,13647862.877839426,3.856151177771692e-05,3.855994094514949e-05,True,,,,,,True,0.48630849821568073,7ada8ece9933ace2fd89f667b2182b8e10eec53c2192c4f4ac590e5d515be47d,e9762c369d0aadfde3efda380c6a3b52d95b964a81d86285ccfc57587442ebb4
R37,1005,supply_097,True,True,0.45985648020552317,-0.040143519794476834,-6.146804353722571,6.146639475882788,6.146804370427775,13650851.465036305,3.826081702225794e-05,3.711150671050165e-05,False,,,,,,False,0.4602942358109597,7ada8ece9933ace2fd89f667b2182b8e10eec53c2192c4f4ac590e5d515be47d,87c9325cb17d4e111d09f5c1eaff82ea0eaf37956e175b894da108438eb89b70
R37,1006,nominal,True,True,0.4848541282497769,-0.015145871750223083,-6.166280363724802,6.166114905547986,6.166280380487975,13648450.64463316,3.8635972078643375e-05,3.863439717149189e-05,True,,,,,,True,0.48533612131789383,880bcbdb442a4ed166856ec468f401b4d7053623e0aec92984d44c3c34dfe2f8,f50aa234c722a32607a180eba779bb05f158e9337346c2f887735e9a90240fd2
R37,1006,supply_097,True,True,0.45886512421555214,-0.041134875784447855,-6.157475613202089,6.157310464645894,6.157475629934828,13651495.704998156,3.833517065088604e-05,3.718362589324822e-05,False,,,,,,False,0.4593218589131728,880bcbdb442a4ed166856ec468f401b4d7053623e0aec92984d44c3c34dfe2f8,39da357f377405a860347b41064d70d0ff1f81e07e25dbc273a3e6da9099915a
R37,1007,nominal,True,True,0.4806393972269405,-0.01936060277305951,-6.2123061161488495,6.212139483541679,6.212306133031754,13650940.894958729,3.895209003768021e-05,3.895049516508352e-05,True,,,,,,True,0.4810082139035868,d1746f960b7cddd50850e5690798baea9fa88204b63e224de01fc6668ea9569e,7515e6b429d2db3541549babb44cf002bbc0afdd1c121ba90d13bc0e437f9d30
R37,1007,supply_097,True,True,0.4546564319293218,-0.045343568070678186,-6.203300126418595,6.203133815214246,6.2033001432698756,13654232.23566745,3.8650835615900683e-05,3.7489802096316855e-05,False,,,,,,False,0.45499395149886573,d1746f960b7cddd50850e5690798baea9fa88204b63e224de01fc6668ea9569e,954ea10385e89cfff8c0c0182a4a24ad68946815cf01514751908297f0c904e6
R37,1008,nominal,True,True,0.4942212632683505,-0.005778736731649525,-6.062655854899052,6.062493048061402,6.062655871392323,13643013.100783512,3.793341520389874e-05,3.7931880578601464e-05,True,,,,,,True,0.49469125195311087,5f6d158c637816f6402ba1ab1f3078b6f03851c86fab44fb8a16aed021f346dd,2d21aa6830f0f7cf983ffe38fd249d22f629d9a18149207d77ffaec3e1a33ed5
R37,1008,supply_097,True,True,0.46821905924619367,-0.03178094075380633,-6.054269725984317,6.054107204787024,6.054269742449573,13645560.70715221,3.763360399269728e-05,3.650314416865603e-05,False,,,,,,False,0.4686769895483898,5f6d158c637816f6402ba1ab1f3078b6f03851c86fab44fb8a16aed021f346dd,d1eb709cd378bb1ef7b1b154d48dd9a973e98b67d41f298c7000da9924c0282d
R37,1009,nominal,True,True,0.5159220817357844,0.015922081735784355,-5.8163805563811355,5.816224091316647,5.816380572228423,13631119.931604039,3.630579082798397e-05,3.630435645713617e-05,True,,,,,,True,0.5176773374827112,67306533932fd205d4ec10ad8e89ce6f598f1efa43109748543426ef408073de,9906851d462021753b27016b79d4668655b26c322d9069d91bcff08fe1dbfca5
R37,1009,supply_097,True,True,0.48989082742754,-0.010109172572460023,-5.808818638395385,5.8086624140590395,5.808818654219178,13632753.774565827,3.600815898738796e-05,3.4926556904934634e-05,True,,,,,,True,0.4916630750779901,67306533932fd205d4ec10ad8e89ce6f598f1efa43109748543426ef408073de,9757eb8784ac1637a36340ecb657b61e9d2aafb1e52c00fb60201b55206ee5e0
R37,1010,nominal,True,True,0.5112602378981925,0.011260237898192527,-5.870485147943336,5.8703272834718145,5.870485163933721,13633547.215912865,3.6655454662708104e-05,3.6653992146610856e-05,True,,,,,,True,0.5119010577461535,248f2f893eba748bd3c7843fe53c23f0afa5ef43209169b51f7fc5163dd6328b,73ae7e5b1b9c886d1d87b36bb00f70d7e471145dbbfa3bac34604c464ac0a322
R37,1010,supply_097,True,True,0.48523496245392717,-0.014765037546072834,-5.86276485050408,5.862607235138171,5.862764866470127,13635349.116208829,3.635737426828963e-05,3.526526920673803e-05,True,,,,,,True,0.4858867953414324,248f2f893eba748bd3c7843fe53c23f0afa5ef43209169b51f7fc5163dd6328b,94e27d14f010f14f248544afc9fbdf5e683c4f8bf4b70b18d350bb8be6d5a180
