source_case,original_analysis_index,l_um,w_um,gate_v,out_v,source_v,body_v,id_a,gm_s,gds_s,gm_over_id_per_v,estimated_total_width_32p5u_um,optimistic_gain_32p5u
feasibility-L0.12,0,0.12,2.0,0.45,0.5,0.0,0.0,3.1156885326678726e-05,0.0004978107666633003,4.09726010689052e-06,15.977552359415066,2.086216234982333,-5.816599670440741
feasibility-L0.12,1,0.12,2.0,0.5,0.5,0.0,0.0,6.360670275030916e-05,0.0008019229918864124,7.408005557715704e-06,12.607523377440197,1.0219048809236393,-4.6150123388121544
feasibility-L0.12,2,0.12,2.0,0.55,0.5,0.0,0.0,0.0001108620179990846,0.0010785417892291154,1.1714723310585492e-05,9.728686241648795,0.5863144219559192,-3.5753374149136175
feasibility-L0.24,0,0.24,2.0,0.45,0.5,0.0,0.0,1.355732935365308e-05,0.00022363156860004502,8.295822592119095e-07,16.495252329308247,4.79445459385299,-6.162820202295765
feasibility-L0.24,1,0.24,2.0,0.5,0.5,0.0,0.0,2.8444224453900294e-05,0.0003745622765771648,1.620167408366656e-06,13.168306880161907,2.2851739236324,-4.927624045839826
feasibility-L0.24,2,0.24,2.0,0.55,0.5,0.0,0.0,5.0958707132153175e-05,0.0005228250316447175,2.812516283491116e-06,10.25977818253621,1.2755425649130578,-3.8417837830144292
feasibility-L0.32,0,0.32,2.0,0.45,0.5,0.0,0.0,9.86771293261258e-06,0.0001637408350614289,5.158102361113717e-07,16.593595312270274,6.587139334503377,-6.220287863472244
feasibility-L0.32,1,0.32,2.0,0.5,0.5,0.0,0.0,2.0812943720223028e-05,0.0002763808788745967,1.015639159102642e-06,13.27927863496068,3.1230565398993675,-4.984371706144103
feasibility-L0.32,2,0.32,2.0,0.55,0.5,0.0,0.0,3.7494918930744565e-05,0.0003888121983316952,1.784079798477838e-06,10.369730337325315,1.7335682234720662,-3.8940520823900995
feasibility-L0.40,0,0.39999999999999997,2.0,0.45,0.5,0.0,0.0,7.758351010905362e-06,0.00012916031632346093,3.725524123495354e-07,16.64790831736144,8.378068987679743,-6.250612890041849
feasibility-L0.40,1,0.39999999999999997,2.0,0.5,0.5,0.0,0.0,1.6411912191640643e-05,0.00021895649881189464,7.335854684748885e-07,13.34131551857921,3.9605378849825645,-5.015375711896966
feasibility-L0.40,2,0.39999999999999997,2.0,0.55,0.5,0.0,0.0,2.965889447674077e-05,0.00030940357514347606,1.291291335581326e-06,10.43206702751911,2.191585396110249,-3.923418700221791
