candidate,frequency_hz,zout_real_ohm,zout_imag_ohm
R75,1000.0,6144.239272769109,-0.24384572891204104
R75,1029.2005271944283,6144.239272195575,-0.25096615272695133
R75,1059.2537251772892,6144.239271588056,-0.25829449666899157
R75,1090.1844923851281,6144.239270944539,-0.26583683211529785
R75,1122.018454301964,6144.239270262891,-0.273599407730402
R75,1154.781984689459,6144.2392695408535,-0.2815886546431161
R75,1188.5022274370194,6144.239268776032,-0.289811191774583
R75,1223.2071190499325,6144.239267965894,-0.2982738313219099
R75,1258.9254117941682,6144.2392671077505,-0.30698358440192824
R75,1295.6866975170205,6144.239266198759,-0.3159476668597491
R75,1333.5214321633252,6144.239265235906,-0.32517350524693606
R75,1372.4609610075634,6144.239264216001,-0.33466874297424365
R75,1412.5375446227558,6144.239263135662,-0.34444124664401327
R75,1453.7843856076636,6144.23926199131,-0.35449911256748695
R75,1496.2356560944354,6144.23926077915,-0.3648506734724219
R75,1539.926526059494,6144.239259495165,-0.3755045054065729
R75,1584.8931924611159,6144.2392581351,-0.3864694348427642
R75,1631.1729092278408,6144.2392566944445,-0.3977545459914252
R75,1678.804018122563,6144.239255168426,-0.40936918832666236
R75,1727.8259805078665,6144.239253551986,-0.42132298433209237
R75,1778.279410038926,6144.239251839765,-0.433625837472857
R75,1830.2061063110596,6144.239250026088,-0.4462879404004281
R75,1883.6490894898043,6144.239248104945,-0.45931978339699114
R75,1938.6526359522113,6144.239246069966,-0.47273216306641425
R75,1995.2623149688839,6144.239243914407,-0.4865361912789938
R75,2053.5250264571505,6144.239241631123,-0.500743304377391
R75,2113.4890398366515,6144.239239212548,-0.5153652726513871
R75,2175.2040340195276,6144.239236650661,-0.530414210089305
R75,2238.721138568345,6144.2392339369735,-0.5459025844141772
R75,2304.092976055851,6144.239231062489,-0.5618432274129723
R75,2371.373705661661,6144.239228017682,-0.5782493455674409
R75,2440.6190680419863,6144.239224792458,-0.5951345309953866
R75,2511.8864315095866,6144.239221376128,-0.6125127727114243
R75,2585.2348395621975,6144.239217757368,-0.6303984682165633
R75,2660.725059798817,6144.239213924182,-0.6488064354262005
R75,2738.4196342643686,6144.239209863867,-0.6677519249464264
R75,2818.3829312644616,6144.2392055629625,-0.6872506327087955
R75,2900.681198693162,6144.239201007213,-0.7073187129740428
R75,2985.3826189179686,6144.239196181517,-0.7279727917155082
R75,3072.557365267456,6144.239191069883,-0.7492299803933672
R75,3162.277660168389,6144.239185655364,-0.7711078901310674
R75,3254.617834980469,6144.239179920015,-0.7936246463057246
R75,3349.6543915782872,6144.23917384482,-0.8167989035645674
R75,3447.466065731505,6144.239167409653,-0.8406498612798603
R75,3548.133892335766,6144.239160593178,-0.8651972794551139
R75,3651.741272548389,6144.239153372802,-0.890461495095765
R75,3758.3740428844544,6144.239145724591,-0.9164634390578877
R75,3868.120546330535,6144.239137623197,-0.9432246533888835
