candidate,component,variance_v2,rms_v,fraction_of_observed_variance
R75,series_input,1.6551220211999997e-11,4.068319089255413e-06,0.32910432768334574
R75,output_load,1.7356566431288638e-13,4.1661212693929877e-07,0.0034511782533828902
R75,drain_resistor,2.603279936022489e-12,1.6134682940865274e-06,0.0517635970123255
R75,feedback_resistor,0.0,0.0,0.0
R75,selected_passives,1.9328065812335377e-11,4.396369617347406e-06,0.3843191029490542
R75,unassigned_remainder,3.096364663188712e-11,5.564498776339799e-06,0.6156808970509458
R75,observed_total,5.02917124442225e-11,7.091664998025675e-06,1.0
F75L,series_input,1.6551220212e-10,1.2865154570388962e-05,0.39545122356511364
F75L,output_load,1.3863298079277778e-12,1.1774250752925971e-06,0.0033122984999761707
F75L,drain_resistor,0.0,0.0,0.0
F75L,feedback_resistor,2.751781770875281e-11,5.2457428176334386e-06,0.06574714458139101
F75L,selected_passives,1.944163496366806e-10,1.3943326347636012e-05,0.4645106666464809
F75L,unassigned_remainder,2.2412376923779625e-10,1.4970763816111596e-05,0.5354893333535191
F75L,observed_total,4.1854011887447685e-10,2.0458253074846757e-05,1.0
