candidate,frequency_hz,observed_input_psd_v2_per_hz,series_input_input_psd_v2_per_hz,output_load_input_psd_v2_per_hz,drain_resistor_input_psd_v2_per_hz,feedback_resistor_input_psd_v2_per_hz,selected_passives_input_psd_v2_per_hz,unassigned_input_psd_v2_per_hz,incoherent_feedback_input_psd_v2_per_hz,feedback_cross_input_psd_v2_per_hz
R75,1000.0,2.1305206290087226e-15,1.6567788e-17,1.7373938015623663e-19,2.60588546846667e-18,0.0,1.9347412848622902e-17,2.1111732161600998e-15,0.0,0.0
R75,1014.4952080687361,2.1005918766964487e-15,1.6567788e-17,1.7373938015623865e-19,2.6058854684666996e-18,0.0,1.9347412848622936e-17,2.081244463847826e-15,0.0,0.0
R75,1029.2005271944283,2.0710907493603338e-15,1.6567788e-17,1.7373938015624067e-19,2.6058854684667304e-18,0.0,1.934741284862297e-17,2.0517433365117106e-15,0.0,0.0
R75,1044.1190029805646,2.042011137057987e-15,1.6567788e-17,1.7373938015624303e-19,2.6058854684667655e-18,0.0,1.9347412848623007e-17,2.022663724209364e-15,0.0,0.0
R75,1059.2537251772892,2.0133470171351014e-15,1.6567788e-17,1.737393801562453e-19,2.6058854684667998e-18,0.0,1.9347412848623044e-17,1.9939996042864782e-15,0.0,0.0
R75,1074.6078283213178,1.9850924530012012e-15,1.6567788e-17,1.737393801562477e-19,2.6058854684668356e-18,0.0,1.934741284862308e-17,1.965745040152578e-15,0.0,0.0
R75,1090.1844923851281,1.9572415928766822e-15,1.6567788e-17,1.7373938015625002e-19,2.6058854684668702e-18,0.0,1.9347412848623118e-17,1.937894180028059e-15,0.0,0.0
R75,1105.98694343556,1.9297886686046415e-15,1.6567788e-17,1.7373938015625242e-19,2.6058854684669065e-18,0.0,1.9347412848623158e-17,1.9104412557560184e-15,0.0,0.0
R75,1122.018454301964,1.9027279944321097e-15,1.6567788e-17,1.7373938015625478e-19,2.605885468466942e-18,0.0,1.9347412848623195e-17,1.8833805815834866e-15,0.0,0.0
R75,1138.2823452540329,1.8760539658569596e-15,1.6567788e-17,1.7373938015625748e-19,2.6058854684669823e-18,0.0,1.9347412848623238e-17,1.8567065530083364e-15,0.0,0.0
R75,1154.781984689459,1.849761058442319e-15,1.6567788e-17,1.737393801562602e-19,2.6058854684670228e-18,0.0,1.934741284862328e-17,1.8304136455936958e-15,0.0,0.0
R75,1171.520789831561,1.823843826697629e-15,1.6567788e-17,1.7373938015626297e-19,2.6058854684670648e-18,0.0,1.9347412848623328e-17,1.8044964138490057e-15,0.0,0.0
R75,1188.5022274370194,1.798296902925243e-15,1.6567788e-17,1.737393801562657e-19,2.6058854684671056e-18,0.0,1.934741284862337e-17,1.7789494900766196e-15,0.0,0.0
R75,1205.7298145138755,1.7731149961346958e-15,1.6567788e-17,1.7373938015626865e-19,2.60588546846715e-18,0.0,1.9347412848623417e-17,1.7537675832860724e-15,0.0,0.0
R75,1223.2071190499328,1.7482928909205442e-15,1.6567788e-17,1.7373938015627166e-19,2.6058854684671946e-18,0.0,1.9347412848623466e-17,1.7289454780719207e-15,0.0,0.0
R75,1240.9377607517208,1.723825446408939e-15,1.6567788e-17,1.7373938015627479e-19,2.605885468467242e-18,0.0,1.9347412848623515e-17,1.7044780335603154e-15,0.0,0.0
R75,1258.9254117941684,1.6997075951657835e-15,1.6567788e-17,1.7373938015627797e-19,2.6058854684672893e-18,0.0,1.9347412848623568e-17,1.68036018231716e-15,0.0,0.0
R75,1277.1737975811443,1.6759343421747483e-15,1.6567788e-17,1.7373938015628122e-19,2.6058854684673382e-18,0.0,1.9347412848623617e-17,1.6565869293261248e-15,0.0,0.0
R75,1295.686697517021,1.6525007637748195e-15,1.6567788e-17,1.737393801562845e-19,2.605885468467387e-18,0.0,1.934741284862367e-17,1.6331533509261958e-15,0.0,0.0
R75,1314.4679457894238,1.6294020066689217e-15,1.6567788e-17,1.7373938015628793e-19,2.605885468467439e-18,0.0,1.9347412848623725e-17,1.610054593820298e-15,0.0,0.0
R75,1333.5214321633257,1.6066332868899759e-15,1.6567788e-17,1.737393801562914e-19,2.6058854684674908e-18,0.0,1.934741284862378e-17,1.5872858740413521e-15,0.0,0.0
R75,1352.851102786652,1.5841898888393034e-15,1.6567788e-17,1.737393801562952e-19,2.605885468467548e-18,0.0,1.934741284862384e-17,1.5648424759906797e-15,0.0,0.0
R75,1372.4609610075638,1.5620671642803467e-15,1.6567788e-17,1.7373938015629903e-19,2.6058854684676056e-18,0.0,1.9347412848623904e-17,1.5427197514317228e-15,0.0,0.0
R75,1392.3550682035861,1.540260531406052e-15,1.6567788e-17,1.7373938015630293e-19,2.605885468467664e-18,0.0,1.9347412848623965e-17,1.5209131185574281e-15,0.0,0.0
R75,1412.5375446227565,1.5187654738594206e-15,1.6567788e-17,1.7373938015630688e-19,2.605885468467723e-18,0.0,1.9347412848624027e-17,1.4994180610107966e-15,0.0,0.0
R75,1433.012570236965,1.4975775398290917e-15,1.6567788e-17,1.7373938015631104e-19,2.605885468467786e-18,0.0,1.9347412848624098e-17,1.4782301269804676e-15,0.0,0.0
R75,1453.7843856076643,1.4766923410959145e-15,1.6567788e-17,1.7373938015631523e-19,2.605885468467849e-18,0.0,1.9347412848624163e-17,1.4573449282472903e-15,0.0,0.0
R75,1474.8572927641271,1.4561055521559942e-15,1.6567788e-17,1.7373938015631961e-19,2.605885468467914e-18,0.0,1.934741284862423e-17,1.4367581393073701e-15,0.0,0.0
R75,1496.235656094436,1.4358129092924788e-15,1.6567788e-17,1.7373938015632395e-19,2.6058854684679792e-18,0.0,1.93474128486243e-17,1.4164654964438544e-15,0.0,0.0
R75,1517.923903249387,1.4158102097253551e-15,1.6567788e-17,1.7373938015632867e-19,2.60588546846805e-18,0.0,1.9347412848624375e-17,1.3964627968767308e-15,0.0,0.0
R75,1539.926526059495,1.3960933107076749e-15,1.6567788e-17,1.7373938015633336e-19,2.6058854684681206e-18,0.0,1.9347412848624452e-17,1.3767458978590503e-15,0.0,0.0
R75,1562.2480814652934,1.3766581287013842e-15,1.6567788e-17,1.7373938015633832e-19,2.605885468468195e-18,0.0,1.934741284862453e-17,1.3573107158527597e-15,0.0,0.0
R75,1584.8931924611168,1.357500638497259e-15,1.6567788e-17,1.7373938015634333e-19,2.6058854684682696e-18,0.0,1.9347412848624612e-17,1.3381532256486344e-15,0.0,0.0
R75,1607.866549052564,1.3386168724160889e-15,1.6567788e-17,1.7373938015634855e-19,2.6058854684683482e-18,0.0,1.9347412848624696e-17,1.3192694595674642e-15,0.0,0.0
R75,1631.1729092278417,1.3200029194515703e-15,1.6567788e-17,1.737393801563538e-19,2.605885468468427e-18,0.0,1.9347412848624782e-17,1.3006555066029456e-15,0.0,0.0
R75,1654.817099943185,1.3016549244961946e-15,1.6567788e-17,1.7373938015635924e-19,2.605885468468509e-18,0.0,1.9347412848624865e-17,1.2823075116475697e-15,0.0,0.0
R75,1678.804018122564,1.2835690875063953e-15,1.6567788e-17,1.7373938015636473e-19,2.6058854684685913e-18,0.0,1.9347412848624955e-17,1.2642216746577704e-15,0.0,0.0
R75,1703.1386316718808,1.2657416627524937e-15,1.6567788e-17,1.737393801563707e-19,2.6058854684686806e-18,0.0,1.934741284862505e-17,1.2463942499038686e-15,0.0,0.0
R75,1727.8259805078674,1.248168958005407e-15,1.6567788e-17,1.737393801563767e-19,2.60588546846877e-18,0.0,1.9347412848625146e-17,1.2288215451567818e-15,0.0,0.0
R75,1752.871177601897,1.2308473338100202e-15,1.6567788e-17,1.737393801563829e-19,2.605885468468864e-18,0.0,1.9347412848625244e-17,1.211499920961395e-15,0.0,0.0
R75,1778.2794100389272,1.2137732026927976e-15,1.6567788e-17,1.737393801563892e-19,2.6058854684689576e-18,0.0,1.9347412848625346e-17,1.1944257898441723e-15,0.0,0.0
