candidate,frequency_hz,output_psd_v2_per_hz,input_psd_v2_per_hz
R37,1000.0,2.1342994950580538e-13,5.928609676223276e-15
R37,1014.4952080687361,2.104064849978672e-13,5.844624552390381e-15
R37,1029.2005271944283,2.0742622004995472e-13,5.7618394163030884e-15
R37,1044.1190029805646,2.044885374224665e-13,5.680237122470963e-15
R37,1059.2537251772892,2.0159282869498073e-13,5.599800770272474e-15
R37,1074.6078283213178,1.9873849414024718e-13,5.520513700672976e-15
R37,1090.1844923851281,1.9592494259997799e-13,5.442359492553045e-15
R37,1105.98694343556,1.9315159136241296e-13,5.3653219595333476e-15
R37,1122.018454301964,1.9041786604163573e-13,5.289385146390794e-15
R37,1138.2823452540329,1.8772320045861176e-13,5.214533325988341e-15
R37,1154.781984689459,1.8506703652393033e-13,5.140750995783722e-15
R37,1171.520789831561,1.8244882412221523e-13,5.0680228748560646e-15
R37,1188.5022274370194,1.7986802099819455e-13,4.996333900496776e-15
R37,1205.7298145138755,1.773240926443931e-13,4.925669225338984e-15
R37,1223.2071190499328,1.7481651219043067e-13,4.856014214030996e-15
R37,1240.9377607517208,1.7234476029390426e-13,4.787354440457642e-15
R37,1258.9254117941684,1.6990832503282552e-13,4.719675684500669e-15
R37,1277.1737975811443,1.6750670179959811e-13,4.6529639293501244e-15
R37,1295.686697517021,1.65139393196509e-13,4.5872053583346956e-15
R37,1314.4679457894238,1.6280590893271384e-13,4.52238635233188e-15
R37,1333.5214321633257,1.6050576572269086e-13,4.458493486675816e-15
R37,1352.851102786652,1.5823848718615031e-13,4.395513528651775e-15
R37,1372.4609610075638,1.5600360374937053e-13,4.333433434473677e-15
R37,1392.3550682035861,1.5380065254794652e-13,4.272240346868651e-15
R37,1412.5375446227565,1.51629177330925e-13,4.2119215921269155e-15
R37,1433.012570236965,1.4948872836631114e-13,4.1524646777687554e-15
R37,1453.7843856076643,1.4737886234792567e-13,4.093857289657378e-15
R37,1474.8572927641271,1.4529914230359229e-13,4.03608728975193e-15
R37,1496.235656094436,1.4324913750463492e-13,3.9791427132912954e-15
R37,1517.923903249387,1.4122842337667213e-13,3.923011766624024e-15
R37,1539.926526059495,1.3923658141168348e-13,3.867682824445301e-15
R37,1562.2480814652934,1.3727319908133223e-13,3.813144427714467e-15
R37,1584.8931924611168,1.3533786975152664e-13,3.7593852809596996e-15
R37,1607.866549052564,1.3343019259820353e-13,3.706394250263539e-15
R37,1631.1729092278417,1.3154977252431346e-13,3.654160360622981e-15
R37,1654.817099943185,1.296962200779929e-13,3.602672794016632e-15
R37,1678.804018122564,1.2786915137190359e-13,3.5519208868207097e-15
R37,1703.1386316718808,1.260681880037291e-13,3.5018941279486242e-15
R37,1727.8259805078674,1.24292956977802e-13,3.4525821563200224e-15
R37,1752.871177601897,1.2254309062785347e-13,3.4039747590740768e-15
R37,1778.2794100389272,1.208182265408665e-13,3.356061869090705e-15
R37,1804.0559400917907,1.1911800748201733e-13,3.308833563274875e-15
R37,1830.2061063110607,1.1744208132068867e-13,3.2622800601252323e-15
R37,1856.735324630711,1.1579010095753955e-13,3.2163917180903286e-15
R37,1883.6490894898054,1.1416172425261952e-13,3.1711590331849117e-15
