case,candidate,amplitude_peak_v,refined,harmonic,peak_v,fraction_of_fundamental,in_phase_with_input_cosine_v,negative_sine_quadrature_v
R75-10m,R75,0.01,False,1,0.059982511329689146,1.0,-0.05998250639640271,2.4327387762700214e-05
R75-10m,R75,0.01,False,2,0.001252259108023762,0.020877070337065724,-0.0012522586901324258,1.023042662468686e-06
R75-10m,R75,0.01,False,3,5.7976071773841365e-06,9.665495906828651e-05,5.797601513684437e-06,-8.103812681543858e-09
R75-10m,R75,0.01,False,4,5.500009317006857e-07,9.169354858746225e-06,5.499993310007732e-07,-1.326940211287472e-09
R75-10m,R75,0.01,False,5,2.159740123525113e-08,3.600616372419407e-07,2.1597220208306222e-08,-8.842731679959812e-11
R75-10m,R75,0.01,False,6,3.032443317759336e-09,5.055545775820806e-08,3.0324111328433508e-09,-1.3971285944821966e-11
R75-10m,R75,0.01,False,7,4.715820434475602e-10,7.861992320654043e-09,4.712107035507212e-10,-1.871086746815754e-11
R75-10m,R75,0.01,False,8,9.645427239264269e-11,1.6080399145425804e-09,9.645340349388371e-11,4.0941084521191587e-13
R75-10m,R75,0.01,False,9,2.157675250604591e-11,3.597173914151575e-10,-1.3791551871116267e-11,1.659365377767862e-11
R75-10m,R75,0.01,False,10,5.159211926671459e-11,8.601193601772119e-10,-5.1587797309277695e-11,-6.67786798149895e-13
R75-20m,R75,0.02,False,1,0.11985532961474159,1.0,-0.11985531976078928,4.8601412614106827e-05
R75-20m,R75,0.02,False,2,0.004980760951731565,0.04155644115069003,-0.004980759299136128,4.057383752334286e-06
R75-20m,R75,0.02,False,3,4.945125196848063e-05,0.00041259118077965207,4.945119776000236e-05,-7.322124894012043e-08
R75-20m,R75,0.02,False,4,9.694178143688707e-06,8.08823285109582e-05,9.694148895638241e-06,-2.3813247735124386e-08
R75-20m,R75,0.02,False,5,8.913178014587397e-07,7.436613827050977e-06,8.913092119029116e-07,-3.913051782397092e-09
R75-20m,R75,0.02,False,6,2.1525967915492276e-07,1.7959958880998056e-06,2.1525764779642122e-07,-9.35165777907761e-10
R75-20m,R75,0.02,False,7,4.4822014625371625e-08,3.739676388980432e-07,4.4821102212216966e-08,-2.8599223595783016e-10
R75-20m,R75,0.02,False,8,9.686009882778933e-09,8.081417750811145e-08,9.685869721673032e-09,-5.210742815339941e-11
R75-20m,R75,0.02,False,9,2.9561534940459646e-09,2.466434745578784e-08,2.9555819340983883e-09,5.8128402622099267e-11
R75-20m,R75,0.02,False,10,8.762340416123075e-10,7.310764105599983e-09,8.761482031490363e-10,-1.2264656495547679e-11
F75L-10m,F75L,0.01,False,1,0.05998045497577913,1.0,-0.059980416285845176,6.812692701750341e-05
F75L-10m,F75L,0.01,False,2,0.0001917266338270953,0.0031964851534473514,-0.00019172659082405895,1.284120436404761e-07
F75L-10m,F75L,0.01,False,3,9.471483422207161e-06,0.00015790949611889184,9.471334210666748e-06,-5.3164715730630786e-08
F75L-10m,F75L,0.01,False,4,6.016383587846155e-07,1.0030573443091833e-05,-6.016159084325531e-07,5.197449559127961e-09
F75L-10m,F75L,0.01,False,5,7.643695653295221e-08,1.2743644002670276e-06,7.643216381725873e-08,-8.559545736479149e-10
F75L-10m,F75L,0.01,False,6,4.399596548064122e-09,7.335050309039396e-08,-4.399127978538891e-09,6.420914400669467e-11
F75L-10m,F75L,0.01,False,7,9.741474548076476e-10,1.6241081452300098e-08,9.739742624577834e-10,-1.836844517194022e-11
F75L-10m,F75L,0.01,False,8,1.0848774639768517e-10,1.8087182973435914e-09,1.084806013418336e-10,-1.2450907447323258e-12
F75L-10m,F75L,0.01,False,9,1.4513793859362692e-11,2.419753879030019e-10,1.411846759315762e-11,3.3643847896803005e-12
F75L-10m,F75L,0.01,False,10,3.988631269357264e-11,6.649884984980397e-10,-3.987983311796811e-11,7.189233425534626e-13
F75L-20m,F75L,0.02,False,1,0.11977277618182715,1.0,-0.1197726990875328,0.0001358955090454073
F75L-20m,F75L,0.02,False,2,0.0007992366275380844,0.006672940654934495,-0.0007992363594177215,6.546626285879653e-07
F75L-20m,F75L,0.02,False,3,8.58929079200366e-05,0.0007171321452016984,8.589149124291056e-05,-4.933183849248509e-07
F75L-20m,F75L,0.02,False,4,1.1294525286515617e-05,9.429960335368188e-05,-1.1294092928067646e-05,9.882499639786927e-08
F75L-20m,F75L,0.02,False,5,2.832605733053419e-06,2.364982948005846e-05,2.832428984768275e-06,-3.1643090425189056e-08
F75L-20m,F75L,0.02,False,6,3.9977226172064614e-07,3.337755660883668e-06,-3.9973330586012984e-07,5.580808845736517e-09
F75L-20m,F75L,0.02,False,7,8.146095230164195e-08,6.801291153005923e-07,8.145157513733464e-08,-1.235984440644634e-09
F75L-20m,F75L,0.02,False,8,1.005904392529247e-08,8.398439316478586e-08,-1.0057677539021881e-08,1.6579267781827122e-10
F75L-20m,F75L,0.02,False,9,4.130759941423793e-09,3.4488304213245284e-08,4.130334437553024e-09,-5.928851183023415e-11
F75L-20m,F75L,0.02,False,10,1.2145689815868596e-09,1.014060974710164e-08,1.2142665424146993e-09,-2.7103044205268082e-11
R75-20m-refined,R75,0.02,True,1,0.11985564670469989,1.0,-0.11985563685080088,4.860134544026149e-05
R75-20m-refined,R75,0.02,True,2,0.004980813581517397,0.0415567703187912,-0.004980811928834729,4.057512270804434e-06
R75-20m-refined,R75,0.02,True,3,4.945242801459046e-05,0.00041259990141667046,4.945237391647156e-05,-7.314754770172335e-08
R75-20m-refined,R75,0.02,True,4,9.694509485118791e-06,8.088487903289283e-05,9.694480226161645e-06,-2.381809436291777e-08
R75-20m-refined,R75,0.02,True,5,8.913798399682739e-07,7.437111762989806e-06,8.913708971518357e-07,-3.9928451757227354e-09
R75-20m-refined,R75,0.02,True,6,2.1535932713012905e-07,1.7968225365362296e-06,2.1535730853964566e-07,-9.324379345539304e-10
R75-20m-refined,R75,0.02,True,7,4.4824095900154267e-08,3.7398401437515737e-07,4.482361773077261e-08,-2.0704297088831824e-10
R75-20m-refined,R75,0.02,True,8,9.60868012236106e-09,8.016877290758696e-08,9.608516254840825e-09,-5.6116613548958096e-11
R75-20m-refined,R75,0.02,True,9,2.9608029239711263e-09,2.4703074117700492e-08,2.960728926038703e-09,-2.0932776062411138e-11
R75-20m-refined,R75,0.02,True,10,9.554858032493452e-10,7.97197153008126e-09,9.554579719028303e-10,-7.292745599362824e-12
F75L-20m-refined,F75L,0.02,True,1,0.11977313420104406,1.0,-0.11977305710691498,0.00013589556647608235
F75L-20m-refined,F75L,0.02,True,2,0.0007992461677611817,0.0066730003609959355,-0.0007992458996378167,6.546702010173505e-07
F75L-20m-refined,F75L,0.02,True,3,8.589521850914497e-05,0.0007171492929705452,8.589380188971973e-05,-4.933149737625342e-07
F75L-20m-refined,F75L,0.02,True,4,1.1295081788274108e-05,9.430396777723839e-05,-1.1294649412906249e-05,9.882936475546612e-08
F75L-20m-refined,F75L,0.02,True,5,2.8328187150059564e-06,2.3651536998697514e-05,2.832641762331353e-06,-3.1662570715666216e-08
F75L-20m-refined,F75L,0.02,True,6,3.9979844582118086e-07,3.3379642979877523e-06,-3.9975947357869664e-07,5.582164912915282e-09
F75L-20m-refined,F75L,0.02,True,7,8.14721493220289e-08,6.802205675379138e-07,8.146302393144576e-08,-1.2193633977084498e-09
F75L-20m-refined,F75L,0.02,True,8,1.00779442151841e-08,8.414194286898982e-08,-1.0076593554075327e-08,1.6499075831759352e-10
F75L-20m-refined,F75L,0.02,True,9,4.133267936595076e-09,3.450914066970326e-08,4.132572497946335e-09,-7.581810405507822e-11
F75L-20m-refined,F75L,0.02,True,10,1.2319431709951087e-09,1.0285638588427034e-08,1.2316572951793575e-09,-2.6538345708664346e-11
