case,relative_time_s,output_v,supply_v,supply_a,capacitor_a,load_a,nmos_drain_a,passive_output_v,passive_supply_a
R75-input_first-fast-8p,0.0,3.5134110711460735e-06,0.0,-5.269701576474064e-10,-1.0667192801052777e-16,3.513411071146073e-11,-5.621041616772223e-10,3.51341107045592e-06,-5.269701575438915e-10
R75-input_first-fast-8p,1e-10,1.2945300503047292e-05,0.009999999999979248,1.4979402304039232e-06,1.474281337089207e-06,1.2945300503047292e-10,2.3529440309209807e-08,1.2874407568364087e-05,1.4979508635066856e-06
R75-input_first-fast-8p,1.0153766333659037e-10,1.3295753366521402e-05,0.010153766333666828,1.520950800265059e-06,1.4966092741236522e-06,1.3295753366521404e-10,2.420856860728435e-08,1.3164512847352728e-05,1.5209704847926238e-06
R75-input_first-fast-8p,1.030989707585481e-10,1.3651595015079354e-05,0.01030989707584335,1.5443151952152787e-06,1.5192805396526957e-06,1.3651595015079354e-10,2.489813961199396e-08,1.3463605456643388e-05,1.5443433914283716e-06
R75-input_first-fast-8p,1.0468428583230433e-10,1.4012908310291646e-05,0.010468428583238145,1.5680388559062516e-06,1.5423004129253363e-06,1.4012908310291647e-10,2.5598313897393565e-08,1.3771963719932008e-05,1.568074994748589e-06
R75-input_first-fast-8p,1.0629397771471914e-10,1.437977738746931e-05,0.010629397771452874,1.5921273066228506e-06,1.5656742543427088e-06,1.437977738746931e-10,2.6309254505867865e-08,1.4089874576321486e-05,1.592170788619975e-06
R75-input_first-fast-8p,1.0792842123904192e-10,1.4752287676030621e-05,0.010792842123897741,1.61658615662042e-06,1.5894075067556812e-06,1.4752287676030622e-10,2.703112698759918e-08,1.4417633846850048e-05,1.6166363507416172e-06
R75-input_first-fast-8p,1.0958799700219594e-10,1.5130525918709538e-05,0.010958799700219462,1.641421101385993e-06,1.6135056966886564e-06,1.513052591870954e-10,2.776409943779066e-08,1.475554650923598e-05,1.6414773438678784e-06
R75-input_first-fast-8p,1.1127309145340246e-10,1.5514580192115462e-05,0.011127309145322166,1.666637923988236e-06,1.6379744356494684e-06,1.551458019211546e-10,2.850834253650824e-08,1.5103926981135541e-05,1.666699517118942e-06
R75-input_first-fast-8p,1.129840969841721e-10,1.5904539927389533e-05,0.011298409698430652,1.6922424964337311e-06,1.66281942144543e-06,1.5904539927389534e-10,2.926402958870961e-08,1.5463099412149168e-05,1.6923087072963934e-06
R75-input_first-fast-8p,1.1472141201967543e-10,1.630049593047483e-05,0.011472141201984233,1.7182407809979076e-06,1.6880464394747816e-06,1.630049593047483e-10,3.0031336563525025e-08,1.583339798483525e-05,1.7183108401720452e-06
R75-input_first-fast-8p,1.1648544111152124e-10,1.6702540403834444e-05,0.011648544111165851,1.7446388316510402e-06,1.7136613641103835e-06,1.6702540403834445e-10,3.0810442136343834e-08,1.6215167225046483e-05,1.744711931870644e-06
R75-input_first-fast-8p,1.1827659503195865e-10,1.711076696759038e-05,0.011827659503177098,1.7714427954462208e-06,1.7396701600465133e-06,1.7110766967590382e-10,3.160152772977877e-08,1.6608762321840918e-05,1.7715180902130308e-06
R75-input_first-fast-8p,1.2009529086953256e-10,1.752527068162774e-05,0.012009529086936737,1.7986589139707067e-06,1.7660788837071595e-06,1.7525270681627743e-10,3.240477755650066e-08,1.7014549457289888e-05,1.7987355161213384e-06
R75-input_first-fast-8p,1.2194195212620544e-10,1.7946148067312786e-05,0.012194195212609824,1.8262935247719204e-06,1.7928936846297143e-06,1.7946148067312783e-10,3.322037866132503e-08,1.7432906146461612e-05,1.826370504997253e-06
R75-input_first-fast-8p,1.2381700881597267e-10,1.8373497130272767e-05,0.01238170088160269,1.854353062853161e-06,1.8201208069163173e-06,1.8373497130272769e-10,3.404852096535618e-08,1.7864221587931804e-05,1.8544294481685709e-06
R75-input_first-fast-8p,1.2572089756499874e-10,1.880741738307926e-05,0.012572089756515598,1.8828440621629816e-06,1.8477665906790448e-06,1.880741738307926e-10,3.4889397309944304e-08,1.8308897025085415e-05,1.8829188343277875e-06
R75-input_first-fast-8p,1.2765406171328808e-10,1.9248009868510607e-05,0.012765406171349462,1.911773157122591e-06,1.8758374735220029e-06,1.924800986851061e-10,3.574320350176482e-08,1.8767346118620356e-05,1.9118452510071168e-06
R75-input_first-fast-8p,1.296169514179223e-10,1.969537718300745e-05,0.012961695141797323,1.9411470841659313e-06,1.9043399920357155e-06,1.9695377183007452e-10,3.661013835827189e-08,1.9239995330542676e-05,1.941215386064492e-06
R75-input_first-fast-8p,1.3161002375788182e-10,2.0149623500707373e-05,0.013161002375789894,1.9709726833177843e-06,1.9332807833284134e-06,2.0149623500707374e-10,3.749040375427419e-08,1.9727284320007092e-05,1.971036029205905e-06
R75-input_first-fast-8p,1.3363374284048466e-10,2.0610854597479572e-05,0.013363374284041121,2.0012568997718726e-06,1.962666586557322e-06,2.0610854597479576e-10,3.838420466851069e-08,2.022966635140999e-05,2.001314073505904e-06
R75-input_first-fast-8p,1.3568857990945625e-10,2.107917787573172e-05,0.013568857990932565,2.0320067855196697e-06,1.9925042445091495e-06,2.1079177875731723e-10,3.9291749231722884e-08,2.0747608715071648e-05,2.0320565169770273e-06
R75-input_first-fast-8p,1.3777501345466466e-10,2.1554702389409876e-05,0.013777501345482474,2.0632295009918805e-06,2.022800705192871e-06,2.1554702389409876e-10,4.021324877510107e-08,2.1281593160914976e-05,2.0632704641499856e-06
R75-input_first-fast-8p,1.3989352932353948e-10,2.2037538869094894e-05,0.013989352932357202,2.094932316706262e-06,2.053563023438665e-06,2.2037538869094895e-10,4.114891787891769e-08,2.1832116345538022e-05,2.094963127658192e-06
R75-input_first-fast-8p,1.4204462083420985e-10,2.2527799748353713e-05,0.014204462083433227,2.1271226149978336e-06,2.0847983625767957e-06,2.2527799748353714e-10,4.209897442359241e-08,2.23996902930972e-05,2.1271418299027977e-06
R75-input_first-fast-8p,1.442287888903769e-10,2.30255991893184e-05,0.014422878889020326,2.1598078916983863e-06,2.116513996067297e-06,2.30255991893184e-10,4.306363963926065e-08,2.2984842870405858e-05,2.159814004664779e-06
R75-input_first-fast-8p,1.4644654209795256e-10,2.3531053109906113e-05,0.014644654209804736,2.1929957579237332e-06,2.1487173092342036e-06,2.3531053109906115e-10,4.404313815852214e-08,2.358811827674503e-05,2.1929871988228035e-06
R75-input_first-fast-8p,1.4869839688349716e-10,2.404427921007386e-05,0.014869839688368814,2.2266939417975846e-06,2.1814158009382844e-06,2.404427921007386e-10,4.5037698067318856e-08,2.421007754871831e-05,2.226669074005321e-06
R75-input_first-fast-8p,1.5098487761447233e-10,2.456539699971413e-05,0.015098487761430655,2.2609102902831602e-06,2.2146170853543172e-06,2.456539699971413e-10,4.604755095899286e-08,2.4851299080802817e-05,2.260867408348285e-06
R75-input_first-fast-8p,1.5330651672134654e-10,2.522286572376506e-05,0.015330651672126069,2.2956335218526e-06,2.2481228554874684e-06,2.522286572376506e-10,4.725843770805048e-08,2.5512379161865156e-05,2.295590098256833e-06
R75-input_first-fast-8p,1.5566385482157447e-10,2.599892168045902e-05,0.015566385482163507,2.330874409468982e-06,2.281969677768164e-06,2.599892168045902e-10,4.8644742484163305e-08,2.6193932528311282e-05,2.3308451601454175e-06
R75-input_first-fast-8p,1.5805744084548908e-10,2.6786910764937884e-05,0.01580574408452956,2.3666571832877082e-06,2.316336950219887e-06,2.678691076493788e-10,5.005236396031493e-08,2.689659293428705e-05,2.3666407322579536e-06
R75-input_first-fast-8p,1.604878321641232e-10,2.758701646879359e-05,0.016048783216406196,2.4029901757060944e-06,2.35123267562549e-06,2.758701646879359e-10,5.1481629916052826e-08,2.7621013739479598e-05,2.4029850765170926e-06
R75-input_first-fast-8p,1.6295559471900028e-10,2.839942510474884e-05,0.016295559471918623,2.439881847229682e-06,2.3866649798083223e-06,2.839942510474884e-10,5.293287317044125e-08,2.836786851504537e-05,2.4398865803453677e-06
R75-input_first-fast-8p,1.6546130315391714e-10,2.922432585029719e-05,0.016546130315391344,2.477340788453946e-06,2.4226421135355473e-06,2.9224325850297195e-10,5.4406431660017634e-08,2.913785166829007e-05,2.47735375855975e-06
R75-input_first-fast-8p,1.6800554094875957e-10,3.0061910792179712e-05,0.016800554094858342,2.515375722083991e-06,2.4591724544579402e-06,3.006191079217971e-10,5.590264851824325e-08,2.993167908657305e-05,2.515395255301438e-06
R75-input_first-fast-8p,1.7058890055536967e-10,3.0912374970722215e-05,0.017058890055530886,2.553995504947914e-06,2.496264509043609e-06,3.091237497072222e-10,5.742187215470494e-08,3.075008880110017e-05,2.554019845956312e-06
R75-input_first-fast-8p,1.732119835355022e-10,3.1775916425148495e-05,0.01732119835356184,2.593209130054491e-06,2.5339269145542793e-06,3.1775916425148494e-10,5.896445633606011e-08,3.1593841671220635e-05,2.5932364391167776e-06
R75-input_first-fast-8p,1.7587540070090857e-10,3.2652736239869456e-05,0.01758754007010639,2.6330257286951788e-06,2.572168441064147e-06,3.2652736239869457e-10,6.053076026872534e-08,3.246372208980219e-05,2.6330540785849134e-06
R75-input_first-fast-8p,1.7857977225556783e-10,3.354303859133007e-05,0.017857977225552213,2.6734545725714417e-06,2.6109979935030515e-06,3.3543038591330067e-10,6.212114868256113e-08,3.33605387104116e-05,2.6734819453977548e-06
R75-input_first-fast-8p,1.8132572794010905e-10,3.4447030795692755e-05,0.018132572794003727,2.7145050759600702e-06,2.650424613736139e-06,3.4447030795692757e-10,6.373599191605101e-08,3.4285125196884565e-05,2.7145293598873423e-06
R75-input_first-fast-8p,1.841139071784497e-10,3.536492335679972e-05,0.01841139071785106,2.7561867978911602e-06,2.690457482655682e-06,3.5364923356799725e-10,6.537566600197884e-08,3.5238340996055574e-05,2.7562057837499866e-06
R75-input_first-fast-8p,1.8694495922669676e-10,3.6296930015250615e-05,0.018694495922677846,2.7985094443767403e-06,2.73110592232155e-06,3.629693001525062e-10,6.704055275509855e-08,3.6221072134311786e-05,2.7985208221627916e-06
R75-input_first-fast-8p,1.8981954332433025e-10,3.724326779831678e-05,0.01898195433242309,2.8414828706773936e-06,2.7723793981381646e-06,3.724326779831679e-10,6.87310398612983e-08,3.72342320387076e-05,2.841484225934598e-06
R75-input_first-fast-8p,1.9273832884771177e-10,3.820415707055265e-05,0.019273832884754837,2.885117083600528e-06,2.8142875210618565e-06,3.820415707055265e-10,7.044752096800986e-08,3.827876238342753e-05,2.8851058936848903e-06
R75-input_first-fast-8p,1.9570199546596002e-10,3.917982158496477e-05,0.019570199546613213,2.929422243823979e-06,2.8568400498325506e-06,3.917982158496477e-10,7.219039577561438e-08,3.9355633962324353e-05,2.9293958740442015e-06
