candidate,case_id,numerical_usable,terminal_supported,out_v,error_v,gain,current_a,bandwidth_hz,dc_ac_current_pass,predicted_out_v,parameter,log_step
R37,R37-baseline,True,True,0.5000000000000062,6.217248937900877e-15,-5.999999999999938,3.749999999999978e-05,13639741.688986896,True,0.5000000000000062,,0.0
R37,R37-rs-minus-0.001,True,True,0.49998013731538316,-1.9862684616844817e-05,-6.000533705491071,3.750148973809004e-05,13639763.556175563,True,0.49998012706593953,rs,-0.001
R37,R37-rs-plus-0.001,True,True,0.5000198797441027,1.9879744102668795e-05,-5.999465864384644,3.7498508982225716e-05,13639719.805350095,True,0.5000198729340729,rs,0.001
R37,R37-rs-minus-0.0005,True,True,0.49999006652463573,-9.933475364265476e-06,-6.00026690651238,3.7500745028821165e-05,13639752.624634137,True,0.4999900635329729,rs,-0.0005
R37,R37-rs-plus-0.0005,True,True,0.500009937738825,9.937738824961073e-06,-5.999732985973934,3.749925465112663e-05,13639730.749227596,True,0.5000099364670396,rs,0.0005
R37,R37-rd-minus-0.001,True,True,0.5004334140596189,0.00043341405961894175,-5.99493035061796,3.750497977800623e-05,13651594.980933521,True,0.5004335727561338,rd,-0.001
R37,R37-rd-plus-0.001,True,True,0.49956626975637186,-0.0004337302436281387,-6.005072963249068,3.749501639960682e-05,13627905.968062477,True,0.4995664272438787,rd,0.001
R37,R37-rd-minus-0.0005,True,True,0.5002167465451162,0.0002167465451161643,-5.997464761043686,3.7502490366622526e-05,13645666.135082815,True,0.50021678637807,rd,-0.0005
R37,R37-rd-plus-0.0005,True,True,0.499783174408738,-0.0002168255912620154,-6.002536067423849,3.7497508677766674e-05,13633821.635645809,True,0.49978321362194245,rd,0.0005
R37,R37-rload-minus-0.001,True,True,0.4999421639381356,-5.7836061864380284e-05,-5.9992884191456195,3.750433739143881e-05,13641330.272362525,True,0.499942186061793,rload,-0.001
R37,R37-rload-plus-0.001,True,True,0.5000577916552547,5.779165525465757e-05,-6.000711036745447,3.7495665938579826e-05,13638154.791927196,True,0.5000578139382194,rload,0.001
R37,R37-rload-minus-0.0005,True,True,0.49997108752151065,-2.89124784893513e-05,-5.999644277599601,3.750216827938352e-05,13640535.769767817,True,0.49997109303089965,rload,-0.0005
R37,R37-rload-plus-0.0005,True,True,0.5000289013764001,2.8901376400103373e-05,-6.000355586377506,3.749783255307928e-05,13638948.029786535,True,0.5000289069691128,rload,0.0005
R37,R37-rsrc-minus-0.001,True,True,0.4999999835164841,-1.6483515885568067e-08,-6.000000515393701,3.7500001236210465e-05,13639766.541643368,True,0.49999998350712044,rsrc,-0.001
R37,R37-rsrc-plus-0.001,True,True,0.5000000164991252,1.6499125177205087e-08,-5.99999948410255,3.7499998762469695e-05,13639716.810954731,True,0.5000000164928919,rsrc,0.001
R37,R37-rsrc-minus-0.0005,True,True,0.49999999175543564,-8.244564364545681e-09,-6.000000257769796,3.750000061819198e-05,13639754.118482243,True,0.49999999175356336,rsrc,-0.0005
R37,R37-rsrc-plus-0.0005,True,True,0.5000000082469394,8.24693935363996e-09,-5.999999742123283,3.749999938133778e-05,13639729.253145758,True,0.5000000082464491,rsrc,0.0005
A37,A37-baseline,True,True,0.4999999999984522,-1.547817429781162e-12,-5.999999999994579,3.7499999999926617e-05,1747127.5867924634,True,0.4999999999984522,,0.0
A37,A37-rs-minus-0.001,True,True,0.499616398062399,-0.000383601937601008,-6.004733958480872,3.7500325045993895e-05,1747104.2239788421,True,0.4996164448817291,rs,-0.001
A37,A37-rs-plus-0.001,True,True,0.5003834690815674,0.0003834690815673891,-5.995268412395241,3.749967493216067e-05,1747151.125922425,True,0.5003835551151753,rs,0.001
A37,A37-rs-minus-0.0005,True,True,0.4998082156280896,-0.00019178437191041953,-6.0023666828761675,3.750016252561248e-05,1747115.8833604858,True,0.49980822244009065,rs,-0.0005
A37,A37-rs-plus-0.0005,True,True,0.500191751155014,0.0001917511550140194,-5.997633909834208,3.74998374688007e-05,1747139.334303023,True,0.5001917775568138,rs,0.0005
A37,A37-rbias-minus-0.001,True,True,0.500984634251253,0.0009846342512529471,-5.999276863850377,3.75318978555134e-05,1747360.2198498552,True,0.5009845126232966,rbias,-0.001
