candidate,case_id,numerical_usable,terminal_supported,out_v,error_v,gain,current_a,bandwidth_hz,dc_ac_current_pass,predicted_out_v,mode,coordinate_fraction
R37,R37-common_internal--0.2,True,True,0.5857735566049134,0.08577355660491337,-5.041630843736444,3.8833647032014615e-05,16598097.094824554,False,0.5923146929592128,common_internal,-0.2
R37,R37-common_internal--0.1,True,True,0.5421175343697444,0.042117534369744414,-5.533686489311474,3.815683361112543e-05,14954393.224804277,False,0.5435877424899526,common_internal,-0.1
R37,R37-common_internal--0.05,True,True,0.520870590398304,0.020870590398303968,-5.7700027395372215,3.7825987300872294e-05,14261866.72612322,True,0.5212200831902454,common_internal,-0.05
R37,R37-common_internal--0.02,True,True,0.5083035815943162,0.008303581594316212,-5.908753161695709,3.762982057198996e-05,13880777.591193449,True,0.5083578786479775,common_internal,-0.02
R37,R37-common_internal-0.02,True,True,0.4917553825619825,-0.00824461743801752,-6.090250198629375,3.737093496837557e-05,13408123.16142312,True,0.4918076348258125,common_internal,0.02
R37,R37-common_internal-0.05,True,True,0.47949796351242724,-0.02050203648757276,-6.223766263985881,3.7178734664645974e-05,13077170.846019292,True,0.47981546408936177,common_internal,0.05
R37,R37-common_internal-0.1,True,True,0.459357081486337,-0.04064291851366297,-6.441360701897644,3.686205189184207e-05,12566954.762690967,False,0.4605700907209621,common_internal,0.1
R37,R37-common_internal-0.2,True,True,0.4201314014180437,-0.07986859858195627,-6.858073479273691,3.624185458346392e-05,11675565.256599735,False,0.4245734038194216,common_internal,0.2
R37,R37-ratio_internal--0.2,True,True,0.44731741698086536,-0.05268258301913464,-6.648196814795639,3.707512383398187e-05,12399212.215547526,False,0.4494085202172936,ratio_internal,-0.2
R37,R37-ratio_internal--0.1,True,True,0.4756491263998939,-0.024350873600106127,-6.3004206377174725,3.7308241814424986e-05,13036081.745964363,True,0.476112487381309,ratio_internal,-0.1
R37,R37-ratio_internal--0.05,True,True,0.488261206177951,-0.01173879382204901,-6.144976333188951,3.740860710468112e-05,13342158.07370433,True,0.48837069836564057,ratio_internal,-0.05
R37,R37-ratio_internal--0.02,True,True,0.4954026529176112,-0.004597347082388792,-6.056810082853381,3.746444604564077e-05,13521204.28808795,True,0.4954196083517119,ratio_internal,-0.02
R37,R37-ratio_internal-0.02,True,True,0.5044734322081301,0.004473432208130124,-5.94468344503929,3.753429329972004e-05,13757195.319776736,True,0.5044896848356148,ratio_internal,0.02
R37,R37-ratio_internal-0.05,True,True,0.5109632982218479,0.010963298221847939,-5.8643692719098555,3.758350185433591e-05,13930381.26693718,True,0.5110617877578667,ratio_internal,0.05
R37,R37-ratio_internal-0.1,True,True,0.5212341075482558,0.02123410754825583,-5.737120468857254,3.766002193196074e-05,14214806.010201894,True,0.5216088836368338,ratio_internal,0.1
R37,R37-ratio_internal-0.2,True,True,0.5399723447234672,0.039972344723467224,-5.504552241538612,3.7795088611074654e-05,14764567.45378842,False,0.5413362487966644,ratio_internal,0.2
R37,R37-rload--0.05,True,True,0.4969756244057304,-0.0030243755942696016,-5.962792823343028,3.7726811790116985e-05,13723445.209110282,True,0.4970345369214823,rload,-0.05
R37,R37-rload-0.05,True,True,0.502768327621554,0.00276832762155399,-6.034062467309022,3.729239040896543e-05,13564245.51578697,True,0.5028207474713304,rload,0.05
R37,R37-rsrc--0.2,True,True,0.49999670173758703,-3.2982624129651583e-06,-6.000103130403007,3.7500247381952e-05,13644704.912449215,True,0.49999632002730005,rsrc,-0.2
R37,R37-rsrc-0.2,True,True,0.5000032981682128,3.298168212761965e-06,-5.999896873493171,3.749975262495671e-05,13634758.811446298,True,0.500003006756638,rsrc,0.2
