candidate,parameter,estimate_v_per_logR,observed_v_per_logR,half_step_relative_change,estimate_relative_error
R37,rd,-0.43357275612752716,-0.4335721363781797,-3.516222268906688e-08,1.4294030807882052e-06
R37,rload,0.057813938213173335,0.057813854889454674,-6.348070069606138e-08,1.4412413567033155e-06
R37,rs,0.01987293406669303,0.01987121418922655,-8.5817732919935e-09,8.655120165812491e-05
R37,rsrc,1.649288575837465e-05,1.649150371818564e-05,1.1108073408427899e-05,8.380316389744458e-05
A37,rbias,-0.984512624844348,-0.9843298218819574,9.409887979927589e-08,0.00018571312006088192
A37,rload,0.4526157885151262,0.45261274920105343,-1.1920395559528174e-08,6.7150429989837335e-06
A37,rs,0.38355511672305964,0.38353552692443893,4.5211564270175586e-08,5.107688139815991e-05
A37,rsrc,2.3022308737737098e-06,2.298781442977571e-06,-0.0015906592983349066,0.0015005475212426234
R75,rd,-0.4607830451050788,-0.46078166887664196,-6.005315134061107e-08,2.9867256658988595e-06
R75,rload,0.030721289025095744,0.030721194425264997,-1.7919806705180008e-07,3.079301847286331e-06
R75,rs,0.08889832340659365,0.08888606440321523,5.214120024632507e-09,0.0001379181704210808
R75,rsrc,3.5444614994094666e-05,3.543498611202622e-05,-4.9948944568667386e-05,0.0002717337615993909
A75,rbias,-0.9844754306412297,-0.9843265901044451,9.577386839154656e-08,0.00015121052126487733
A75,rload,0.45261578851063483,0.45261288315889825,-2.392314057964029e-08,6.4190654855966756e-06
A75,rs,0.3835551167232583,0.38353563027243576,1.2717313646604111e-08,5.080740688612195e-05
A75,rsrc,2.302230873775204e-06,2.300538259891738e-06,-0.0011770921873983653,0.000735746895835554
