case_id,candidate,kind,refined,sequence,capacitance_f,ramp_time_s,out_min_v,out_max_v,observations,Vdd_absorbed_energy_j,Vdd_absorption_peak_a,Vdd_max_delivered_current_a,Vdd_min_delivered_current_a,Vdd_positive_delivered_energy_j,Vdd_positive_delivery_peak_a,Vdd_signed_energy_j,Vin_absorbed_energy_j,Vin_absorption_peak_a,Vin_max_delivered_current_a,Vin_min_delivered_current_a,Vin_positive_delivered_energy_j,Vin_positive_delivery_peak_a,Vin_signed_energy_j
analytic-control,CONTROL,control,False,control,8e-12,1e-06,0.0,0.214285714285708,10015,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.884111770624638e-06,-0.0,1.699332178404262e-11,2.884111770624638e-06,1.699332178404262e-11
A75-input_first-fast-1p,A75,startup,False,input_first,1e-12,1e-08,1.1173249153312304e-05,0.5000000000050762,10122,0.0,4.939696887382493e-14,7.540812523145481e-05,-4.939696887382493e-14,1.3492669168863877e-09,7.540812523145481e-05,1.3492669168863877e-09,7.632670730893502e-16,1.0609490231884783e-07,1.5277897510469762e-09,-1.0609490231884783e-07,4.414695086799136e-15,1.5277897510469762e-09,3.651428013709786e-15
A75-input_first-fast-8p,A75,startup,False,input_first,8e-12,1e-08,1.1173249154117757e-05,0.4999999999883061,10105,0.0,4.939692434831945e-14,7.543732591191017e-05,-4.939692434831945e-14,1.349496798784333e-09,7.543732591191017e-05,1.349496798784333e-09,5.269855288393599e-16,2.644204841152284e-08,1.5277897522938087e-09,-2.644204841152284e-08,4.205574442025985e-15,1.5277897522938087e-09,3.678588913186625e-15
A75-input_first-slow-1p,A75,startup,False,input_first,1e-12,1e-06,1.1173249153543022e-05,0.5000000000075805,2084,0.0,4.939690764787672e-14,7.511302204216877e-05,-4.939690764787672e-14,1.2933388354494505e-09,7.511302204216877e-05,1.2933388354494505e-09,5.1971019395920905e-16,3.501905056842343e-09,1.527789731965018e-09,-3.501905056842343e-09,4.461566074398407e-15,1.527789731965018e-09,3.941855880439199e-15
A75-input_first-slow-8p,A75,startup,False,input_first,8e-12,1e-06,1.1173249154206228e-05,0.49999999997289857,2080,0.0,4.9396903944422287e-14,7.526129151116193e-05,-4.9396903944422287e-14,1.2935469690275498e-09,7.526129151116193e-05,1.2935469690275498e-09,3.1015880471081623e-16,9.397758275785442e-10,1.5277897250803342e-09,-9.397758275785442e-10,4.294561439539179e-15,1.5277897250803342e-09,3.984402634828363e-15
A75-supply_first-fast-1p,A75,startup,False,supply_first,1e-12,1e-08,0.5000000000011091,0.9222626599609994,10054,0.0,0.0,7.498877688372636e-05,7.169635844536435e-05,1.493130764988552e-09,7.498877688372636e-05,1.493130764988552e-09,0.0,2.0970028690472102e-09,5.546426382361355e-07,-2.0970028690472102e-09,4.5739877086924706e-15,5.546426382361355e-07,4.5739877086924706e-15
A75-supply_first-fast-8p,A75,startup,False,supply_first,8e-12,1e-08,0.5000000000082085,0.9221250988827282,10049,0.0,0.0,7.498877641350689e-05,7.170575270737869e-05,1.492745777341454e-09,7.498877641350689e-05,1.492745777341454e-09,0.0,2.097002869172021e-09,5.547112588031989e-07,-2.097002869172021e-09,4.551189031521658e-15,5.547112588031989e-07,4.551189031521658e-15
A75-supply_first-slow-1p,A75,startup,False,supply_first,1e-12,1e-06,0.4999999996935793,0.9221088838960213,2034,0.0,0.0,7.498877654535964e-05,7.17068632607778e-05,1.4906931736956428e-09,7.498877654535964e-05,1.4906931736956428e-09,0.0,2.0970028686492123e-09,8.707417752541052e-09,-2.0970028686492123e-09,4.296610321231453e-15,8.707417752541052e-09,4.296610321231453e-15
A75-supply_first-slow-8p,A75,startup,False,supply_first,8e-12,1e-06,0.500000000017473,0.9221052937964488,2024,0.0,0.0,7.49887764030734e-05,7.17071069958697e-05,1.4902000832076737e-09,7.49887764030734e-05,1.4902000832076737e-09,0.0,2.0970028688381416e-09,6.347511062284369e-09,-2.0970028688381416e-09,4.2831409067772976e-15,6.347511062284369e-09,4.2831409067772976e-15
A75-together-fast-1p,A75,startup,False,together,1e-12,1e-08,-4.975922099534154e-21,0.5000000000165138,10142,0.0,1.9244989284915647e-28,7.540545735965132e-05,-1.9244989284915647e-28,1.349266697497164e-09,7.540545735965132e-05,1.349266697497164e-09,5.29905876877833e-16,8.802367279601292e-08,7.560443237325412e-07,-8.802367279601292e-08,4.3873606038724506e-15,7.560443237325412e-07,3.857454726994618e-15
