case_id,candidate,kind,refined,sequence,capacitance_f,ramp_time_s,maximum_input_kcl_identity_residual_a,input_series_min_a,input_series_max_a,input_gate_term_min_a,input_gate_term_max_a
analytic-control,CONTROL,control,False,control,8e-12,1e-06,8.004461351553138e-20,0.0,2.8841117706246434e-06,0.0,0.0
A75-input_first-fast-1p,A75,startup,False,input_first,1e-12,1e-08,2.5039649173552725e-16,0.0,0.0,-1.0609490225244045e-07,1.527789950106495e-09
A75-input_first-fast-8p,A75,startup,False,input_first,8e-12,1e-08,2.6150956400350367e-16,0.0,0.0,-2.6442048384200945e-08,1.5277898945953439e-09
A75-input_first-slow-1p,A75,startup,False,input_first,1e-12,1e-06,2.660090030193185e-16,0.0,0.0,-3.501904932701194e-09,1.5277898945953439e-09
A75-input_first-slow-8p,A75,startup,False,input_first,8e-12,1e-06,2.5955800009302976e-16,0.0,0.0,-9.397757572138232e-10,1.5277898945953439e-09
A75-supply_first-fast-1p,A75,startup,False,supply_first,1e-12,1e-08,2.5012544119240587e-16,0.0,0.0,-2.097002869047204e-09,5.54642638235861e-07
A75-supply_first-fast-8p,A75,startup,False,supply_first,8e-12,1e-08,2.835730782135837e-16,0.0,0.0,-2.0970028691721414e-09,5.547112588034225e-07
A75-supply_first-slow-1p,A75,startup,False,supply_first,1e-12,1e-06,2.5787748672567723e-16,0.0,0.0,-2.097002868649522e-09,8.707417953335295e-09
A75-supply_first-slow-8p,A75,startup,False,supply_first,8e-12,1e-06,2.7050844203513336e-16,0.0,0.0,-2.0970028688384104e-09,6.347511183335541e-09
A75-together-fast-1p,A75,startup,False,together,1e-12,1e-08,2.4454180000410553e-16,0.0,0.0,-8.80236727396344e-08,7.560443238130432e-07
A75-together-fast-8p,A75,startup,False,together,8e-12,1e-08,2.518059545597584e-16,0.0,0.0,-2.6065927527518795e-08,1.0903190578726019e-06
A75-together-slow-1p,A75,startup,False,together,1e-12,1e-06,2.485533480423019e-16,0.0,0.0,-1.8608034990233754e-23,6.549385209030534e-09
A75-together-slow-8p,A75,startup,False,together,8e-12,1e-06,2.706168622523819e-16,0.0,0.0,-1.040619201919668e-09,6.5541819531684934e-09
R75-input_first-fast-1p,R75,startup,False,input_first,1e-12,1e-08,1.0076574991080278e-15,0.0,0.0,-5.413198103099148e-07,8.660805073112954e-09
R75-input_first-fast-8p,R75,startup,False,input_first,8e-12,1e-08,9.118140270603092e-16,0.0,0.0,-2.9552150349054784e-07,8.660804962090651e-09
R75-input_first-slow-1p,R75,startup,False,input_first,1e-12,1e-06,9.479721695127008e-16,0.0,0.0,-3.955556215906597e-09,8.660804795557198e-09
R75-input_first-slow-8p,R75,startup,False,input_first,8e-12,1e-06,6.950278026718326e-16,0.0,0.0,-3.701227990760003e-09,8.660804795557198e-09
R75-supply_first-fast-1p,R75,startup,False,supply_first,1e-12,1e-08,1.0045675229164441e-15,0.0,0.0,-1.0449370839186122e-08,4.657987625944493e-06
R75-supply_first-fast-8p,R75,startup,False,supply_first,8e-12,1e-08,7.64037270950535e-16,0.0,0.0,-1.0449370839120053e-08,4.364646653765014e-06
R75-supply_first-slow-1p,R75,startup,False,supply_first,1e-12,1e-06,7.246807320893112e-16,0.0,0.0,-1.0449370839155629e-08,7.516873151702796e-08
R75-supply_first-slow-8p,R75,startup,False,supply_first,8e-12,1e-06,7.31944886644964e-16,0.0,0.0,-1.0449370839216615e-08,6.918204137340567e-08
R75-together-fast-1p,R75,startup,False,together,1e-12,1e-08,8.374377580278036e-16,0.0,0.0,-1.354908219508566e-07,4.233339400638858e-06
R75-together-fast-8p,R75,startup,False,together,8e-12,1e-08,9.500863637490475e-16,0.0,0.0,-1.336803924778529e-07,4.57677785176136e-06
R75-together-slow-1p,R75,startup,False,together,1e-12,1e-06,7.682656594232284e-16,0.0,0.0,-6.021013305669063e-23,6.711527605895995e-08
R75-together-slow-8p,R75,startup,False,together,8e-12,1e-06,7.542794513981654e-16,0.0,0.0,-3.766314616007587e-23,6.238112665313267e-08
F75L-input_first-fast-1p,F75L,startup,False,input_first,1e-12,1e-08,2.7970902475041165e-16,-4.5496934362535596e-07,3.995161224126959e-06,-7.632235005610771e-08,2.4894717600496756e-09
F75L-input_first-fast-8p,F75L,startup,False,input_first,8e-12,1e-08,2.4790259574862453e-16,-4.549693430267076e-07,3.995161224127166e-06,-3.222484006910003e-08,2.4894674200869426e-09
F75L-input_first-slow-1p,F75L,startup,False,input_first,1e-12,1e-06,2.8241824019346013e-16,-4.5496934296128716e-07,3.995161224126946e-06,-5.517899773463145e-10,2.4894699937857727e-09
F75L-input_first-slow-8p,F75L,startup,False,input_first,8e-12,1e-06,2.697393311559428e-16,-4.549693429204572e-07,3.995161224126935e-06,3.2898936100619636e-11,2.4894668145107476e-09
F75L-supply_first-fast-1p,F75L,startup,False,supply_first,1e-12,1e-08,2.7967434933913343e-16,-8.498356512283151e-06,-4.5496934292040776e-07,-1.1660723548361835e-08,1.7050609831612753e-06
F75L-supply_first-fast-8p,F75L,startup,False,supply_first,8e-12,1e-08,2.48828402139588e-16,-8.498356512283146e-06,-4.549693429456219e-07,-3.308268627478693e-09,1.7253108045769203e-06
F75L-supply_first-slow-1p,F75L,startup,False,supply_first,1e-12,1e-06,2.7808026683321564e-16,-8.498356512283127e-06,-4.549693426996026e-07,-3.308268640094864e-09,2.0740650560649696e-08
F75L-supply_first-slow-8p,F75L,startup,False,supply_first,8e-12,1e-06,2.851390254117364e-16,-8.498356512283124e-06,-4.549693428494635e-07,-3.308268640094864e-09,2.066123206866489e-08
F75L-together-fast-1p,F75L,startup,False,together,1e-12,1e-08,2.363256912579409e-16,-4.5496934387589396e-07,3.1583504048934417e-06,-2.8713828486621133e-08,1.4487808307080257e-06
F75L-together-fast-8p,F75L,startup,False,together,8e-12,1e-08,3.1259355319292e-16,-4.549693430931948e-07,3.953377707298972e-06,-2.7876866825028334e-08,1.5753606741331083e-06
F75L-together-slow-1p,F75L,startup,False,together,1e-12,1e-06,2.958203855005765e-16,-2.6511632071517533e-06,7.021445752645661e-07,-8.235476593965922e-24,2.0551294050379972e-08
F75L-together-slow-8p,F75L,startup,False,together,8e-12,1e-06,2.8503767510718334e-16,-1.215358805712335e-06,1.2824309540081341e-06,-8.686793432303373e-26,2.0392188089650307e-08
A75-supply-cycle-1p,A75,cycle,False,cycle,1e-12,1e-06,2.6785214671254387e-16,0.0,0.0,-3.5019461219754078e-09,5.481136378104878e-09
A75-supply-cycle-8p,A75,cycle,False,cycle,8e-12,1e-06,2.7208053518523734e-16,0.0,0.0,-9.399812039845301e-10,5.8251367063277826e-09
R75-supply-cycle-1p,R75,cycle,False,cycle,1e-12,1e-06,8.210663052232725e-16,0.0,0.0,-3.955587135617833e-09,1.6152605919472762e-08
R75-supply-cycle-8p,R75,cycle,False,cycle,8e-12,1e-06,9.543689623303653e-16,0.0,0.0,-3.7002357844428957e-09,1.6420054316235166e-08
