case_id,candidate,kind,refined,sequence,capacitance_f,ramp_time_s,state,origin_s,horizon_s,target_v,status,raw_time_s,resolved_entry_time_s,relative_bracket_start_s,relative_bracket_end_s,endpoint_error_v,time_outside_fixed_center_s,time_outside_original_swing_s
analytic-control,CONTROL,control,False,control,8e-12,1e-06,control_final,3e-06,2e-05,0.21428571428571427,OBSERVED_FINAL_ENTRY,1.8450000000001382e-06,1.8450000000001382e-06,1.843000000000138e-06,1.8450000000001382e-06,-6.2727600891321345e-15,1.7e-05,1.7e-05
A75-input_first-fast-1p,A75,startup,False,input_first,1e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,5.57776302172318e-07,5.57776302172318e-07,5.557763021723179e-07,5.57776302172318e-07,1.1884382367099988e-11,2.627763021722959e-07,5.27763021722801e-08
A75-input_first-fast-8p,A75,startup,False,input_first,8e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.445301125374009e-06,4.445301125374009e-06,4.44330112537401e-06,4.445301125374009e-06,-3.561761996451196e-12,2.1103011253738343e-06,4.3830112537370867e-07
A75-input_first-slow-1p,A75,startup,False,input_first,1e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.674213554160609e-07,4.674213554160609e-07,4.57421355416061e-07,4.674213554160609e-07,4.68775018802603e-12,1.6641951461133276e-07,0.0
A75-input_first-slow-8p,A75,startup,False,input_first,8e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.273294490721844e-06,4.273294490721844e-06,4.2632944907218445e-06,4.273294490721844e-06,-1.8969270598745425e-11,1.928294490721867e-06,2.582944907218828e-07
A75-supply_first-fast-1p,A75,startup,False,supply_first,1e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,5.440656687265374e-07,5.440656687265374e-07,5.420656687265373e-07,5.440656687265374e-07,9.760636743294526e-12,2.4906566872651525e-07,4.106566872649962e-08
A75-supply_first-fast-8p,A75,startup,False,supply_first,8e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.327478570244366e-06,4.327478570244366e-06,4.325478570244365e-06,4.327478570244366e-06,1.6340706565642904e-11,1.9924785702441902e-06,3.344785702440657e-07
A75-supply_first-slow-1p,A75,startup,False,supply_first,1e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.679019504079394e-07,4.679019504079394e-07,4.579019504079395e-07,4.679019504079394e-07,4.7572501493675645e-12,1.7536840230625619e-07,0.0
A75-supply_first-slow-8p,A75,startup,False,supply_first,8e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.204780417089777e-06,4.204780417089777e-06,4.1947804170897775e-06,4.204780417089777e-06,2.5605184639232448e-11,1.8697804170897998e-06,2.0978041708981566e-07
A75-together-fast-1p,A75,startup,False,together,1e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,5.56317071303236e-07,5.56317071303236e-07,5.543170713032358e-07,5.56317071303236e-07,2.3706814289425893e-11,2.6331707130321394e-07,5.131707130319801e-08
A75-together-fast-8p,A75,startup,False,together,8e-12,1e-08,both_on,2.01e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.445420012630309e-06,4.445420012630309e-06,4.443420012630308e-06,4.445420012630309e-06,-2.977673663195901e-12,2.1104200126301335e-06,4.3842001263000836e-07
A75-together-slow-1p,A75,startup,False,together,1e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,3.02932910049298e-07,3.02932910049298e-07,2.929329100492981e-07,3.02932910049298e-07,4.494737915194946e-12,2.773626352912084e-09,0.0
A75-together-slow-8p,A75,startup,False,together,8e-12,1e-06,both_on,3e-06,2e-05,0.49999999999186784,OBSERVED_FINAL_ENTRY,4.003144930237905e-06,4.003144930237905e-06,3.993144930237905e-06,4.003144930237905e-06,-1.1957823620178942e-11,1.6681449302379276e-06,0.0
R75-input_first-fast-1p,R75,startup,False,input_first,1e-12,1e-08,both_on,2.01e-06,2e-05,0.5000000000000068,OBSERVED_FINAL_ENTRY,3.675647463879719e-08,3.675647463879719e-08,3.5143011871781714e-08,3.675647463879719e-08,-1.3933298959045715e-13,1.5921751385942885e-08,1.0305520651388922e-09
