candidate,state,out_v,vdd_v,vin_v,gate_v,source_v,input_delivered_a,supply_delivered_a,input_gate_a,input_drain_a,input_series_term_a,input_gate_term_a,input_identity_residual_a,output_load_a,feedback_out_to_gate_a,signed_port_power_w
A75,both_off,-4.975922099534154e-21,0.0,0.0,-1.759911864106704e-24,3.686483894225357e-22,1.759911864106704e-27,3.230172297118e-27,1.7599118641067915e-27,5.302844126779118e-26,0.0,1.7599118641067915e-27,-8.753070727558537e-41,-4.975922099534154e-26,0.0,0.0
A75,input_only,1.1173249154255254e-05,0.0,0.45,0.44999847221029715,9.823094785358101e-06,1.5277897028541897e-09,-4.939690226887965e-14,1.5277897280618902e-09,-1.1178191696239207e-10,0.0,1.5277897280618902e-09,-2.5207700510287978e-17,1.1173249154255254e-10,0.0,6.875053662843853e-10
A75,supply_only,0.922102338799535,1.0,0.0,2.097002868613787e-06,3.0154572684514535e-06,-2.097002868613787e-09,7.170730765504259e-05,-2.097002868613523e-09,2.532642433150294e-09,0.0,-2.097002868613523e-09,-2.6387061540441583e-22,9.221023387995349e-06,0.0,7.170730765504259e-05
A75,both_on,0.49999999999186784,1.0,0.45,0.44999961632411184,0.05217512276990882,3.836758882065812e-10,7.498877638850346e-05,3.8367597987587487e-10,7.505042279016237e-06,0.0,3.8367597987587487e-10,-9.16692936836494e-17,4.9999999999186785e-06,0.0,7.498894904265316e-05
R75,both_off,-6.905294541967588e-25,0.0,0.0,-7.837172234124486e-30,1.898110276563818e-26,7.837172234124487e-33,1.0357126108205242e-28,7.83717223411791e-33,1.1047655562402005e-28,0.0,7.83717223411791e-33,6.576797284711983e-45,-6.905294541967588e-30,0.0,0.0
R75,input_only,3.51341107045592e-06,0.0,0.45,0.44999133919525136,1.3884962845597884e-06,8.660804748665454e-09,-5.269701575438915e-10,8.660804406979139e-09,-5.621042682484568e-10,0.0,8.660804406979139e-09,3.416863146588067e-16,3.51341107045592e-11,0.0,3.897362136899454e-09
R75,supply_only,0.9374201676895194,1.0,0.0,1.0449370839056289e-05,2.712791235253279e-07,-1.044937083905629e-08,9.386235607052051e-06,-1.0449370839053985e-08,1.2033930157049796e-08,0.0,-1.0449370839053985e-08,-2.304525186572735e-21,9.374201676895194e-06,0.0,9.386235607052051e-06
R75,both_on,0.5000000000000068,1.0,0.45,0.4499940936281501,0.012027257763498316,5.9063718498854854e-09,7.499409362814778e-05,5.90637239117342e-09,6.999409362814816e-05,0.0,5.90637239117342e-09,-5.412879346133881e-16,5.000000000000067e-06,0.0,7.499675149548022e-05
F75L,both_off,6.5892057198607714e-21,0.0,0.0,5.8157935103386525e-22,-8.06496776018883e-23,-5.815793510338652e-26,1.5897977569326932e-26,1.918328584918025e-27,-1.2030489078852042e-25,-5.990187018055246e-26,1.7439350771982046e-27,-3.226152281437682e-38,6.589205719860771e-26,6.007626368826906e-26,0.0
F75L,input_only,0.01053226534605397,0.0,0.45,0.4100326811094829,0.0026086281324405663,3.996731889051731e-06,-5.5398786673582e-11,1.7277314023900203e-09,3.889626039628852e-06,3.9951612241267825e-06,1.5706649112636549e-09,1.3684895286026532e-17,1.053226534605397e-07,-3.995004157634289e-06,1.798529350073279e-06
F75L,supply_only,0.9348192163511436,1.0,0.0,0.08501664780893066,5.706919630840177e-06,-8.501664780893066e-06,5.5457108676151473e-05,-3.6390954485931992e-09,1.21553099955042e-08,-8.498356512283124e-06,-3.308268589630181e-09,-2.0311850075158122e-17,9.348192163511436e-06,8.49802568542213e-06,5.5457108676151473e-05
F75L,both_on,0.5000466277256138,1.0,0.45,0.45452479876715485,0.021415520521097704,-4.524798767154741e-07,7.499737786299599e-05,2.7384128298280075e-09,3.194327852545235e-05,-4.5496934296012545e-07,2.4894662089345525e-09,3.571681884812769e-17,5.000466277256138e-06,4.5521828958458965e-07,7.479376191847403e-05
